Sample	Top over-represented sequence	Sum of remaining over-represented sequences
1179-1	0.0	0.0
1211-1	0.0	0.0
1258-1	0.0	0.0
126BG_CB_M1	0.0	0.0
146BO_JB_M1	0.0	0.0
149BP_AB_M1	0.0	0.0
153BR_JB_M1	0.0	0.0
163BV_JE_M1	0.0	0.0
164BW_KC_M1	0.0	0.0
167BZ_SP_M1	0.0	0.0
193CP_LS_R1	0.0	0.0
204H_AM_M1	0.0	0.0
205E_BD_M1	0.0	0.0
210DB_BW_M1	0.0	0.0
227DJ_JP_M1	0.0	0.0
247DT_SH_M1	0.0	0.0
250DV_LR_M1	0.0	0.0
251DW_SD_M1	0.0	0.0
252DX_DC_M1	0.0	0.0
253DY_HA_M1	0.0	0.0
254DZ_WP_M1	0.0	0.0
255EA_GC_M1	0.0	0.0
26I_SK_M1	0.0	0.0
361AL_CC_M1	0.0	0.0
373HQ_BTG_M1	0.0	0.0
37L_NA_M1	0.0	0.0
41M_MW_M1	0.0	0.0
431-1_A_3	0.13075707847086657	0.101339400459669
431-2_A_2	0.0	0.0
432-3_A_2	0.0	0.0
437-2_A_2	0.0	0.0
437-3_A_2	0.0	0.0
447-3_A_3	0.0	0.0
46N_RL_M1	0.0	0.0
49O_NM_M1	0.0	0.0
65T_CR_M1	0.0	0.0
81AB_MM_M1	0.0	0.0
92AI_SM_R1	0.0	0.0
9C_DH_M1	0.0	0.0
B09-24-1RNA_UNKNOWN	0.0	0.0
B09-25-1RNA	0.0	0.0
B09-40-1M	0.0	0.0
B10-02-1RNA	0.0	0.0
B11-11-1M	0.0	0.0
B11-25-1M	0.0	0.0
B11-48-1M	0.0	0.0
B12-21-1M	0.0	0.0
B12-30RNA	1.4919428929288492	0.0
B13-07-1M	0.0	0.0
B13-07-1RNA	0.0	0.0
B13-15RNA	0.0	0.0
B13-52-1M	0.0	0.0
B14-07RNA	0.0	0.0
B14-117-1RNA-2	0.0	0.0
B14-130-1M	0.0	0.0
B14-48-1RNA	0.0	0.0
B14-70-1RNA	0.0	0.0
B14-78-1-U	0.0	0.0
B15-15_1_1	0.11943311760460645	0.10637148643063807
B15-25_1_2	0.1823158702596775	1.1460888824953828
B15-28_1_1	0.13728279917696412	0.12231376669738064
B16-47_1_2	0.25692046127874485	1.1382956463816745
B16-48_1_1	0.12380979105123997	0.11876246211725773
BB0280_CH_AffF_2	0.0	0.0
BEG_1025-1_T999_R1	0.14797786136426866	0.10284568958996049
BEG_1078-1_T1071_R1	0.14729651754693834	0.0
BEG_1230-1_T1227_R1	0.14817347136961082	0.0
BEG_14-4_T65_R1	0.17099728656657567	0.14726241667154058
BEG_1438-1_T1339_R1	0.1483867244929784	0.24022534844294124
BEG_851-1_T840_R1	0.14506579405118922	0.10589876107945626
BEG_887-1_T1240_R1	0.14473364474783235	0.0
BEG_916-1_T916_R1	0.18230593867809652	0.14771880848034502
BON_B09-27-1_1	0.0	0.0
BON_B12-33-2_1	0.0	0.0
BON_B12-71_2_R1	0.0	0.0
BON_B12-74-1_1	0.0	0.0
BON_B12-76-1_2	0.0	0.0
BON_B13-55_1_2	0.0	0.0
BON_B14-163-1_2	0.0	0.0
BON_B14-20_1	0.0	0.0
BON_B14-51_1_2	0.0	0.0
BON_B14-60-1_2	0.0	0.0
BON_B14-71-2_1	0.0	0.0
BON_B14-75-1_1	0.0	0.0
BON_B15-118_1	0.0	0.0
BON_B15-125_1_2	0.0	0.0
BON_B15-26_1_1	0.0	0.0
BON_B15-76-2_2	0.0	0.0
BON_B15-98_1_2	0.0	0.0
BON_B16-19_1	0.0	0.0
BON_B16-22_1	0.0	0.0
BON_B16-50_1_2	0.12059458067489326	0.0
BON_B16-53-1_1	0.19872655669785053	0.15619603458312484
BON_B16-57_1_2	0.0	0.0
BON_B16-75-1_2	0.0	0.0
BON_B16_30_1_1	0.24893281957520202	0.1415607932785335
BON_B16_80_1_1	0.0	0.0
BON_B17-23_1_R1	0.12016835697412476	0.0
BON_B17-28_1_R1	0.13987577534627663	0.0
BON_B18-24_1_R1	0.11259263035570241	0.0
BON_B18-25_1_R1	0.11191254461014846	0.21216458914488975
BON_B18-54_1_R1	0.0	0.0
BON_UC219-1_1	0.0	0.0
BON_UC473_1	0.0	0.0
CLA_143BN_BB_2	0.0	0.0
CLA_179CI_GG_2	0.10533101190612326	0.0
CLA_180CJ_DP_2	0.0	0.0
CLA_214DF_AB_2	0.0	0.0
CLA_329FK_RR_2	0.0	0.0
CLA_338FT_DM_2	0.0	0.0
CLA_388HV_XX_1	0.0	0.0
CLA_62R_CaM_2	0.5125087053171969	0.0
CLA_62R_CaM_3	0.12200512733180978	0.0
CLA_79Z_CP_2	0.11770799172724715	0.0
HK006_0016_R1	0.0	0.0
HK010_0026_R1	0.0	0.0
HK011_0029_R1	0.17765399595609022	0.0
HK018_0047_2	0.0	0.0
HK024_0065_R1	0.2132933395319093	0.0
HK028_0073_R1	0.17069685937340806	0.15330009232032743
HK044_0109_R1	0.0	0.0
HK069-0177_2	0.34260905308092554	0.2861516931822727
HK072-001_2	0.18931733278139753	0.16551160971546677
HK085-001_R1	0.0	0.0
HK088-001_2	0.0	0.0
HK101-001_R1	0.0	0.0
HK106-001_R1	0.1582806918503685	0.0
ICCV_458_10CC06258_02	0.14448553791987512	0.22151528568350543
INMR_GB_408_R1	0.0	0.0
INMR_GI_456_R1	0.0	0.0
INMR_HW_389_R1	0.0	0.0
INMR_HZ_401_R1	0.0	0.0
INMR_IG_561_R1	0.0	0.0
INMR_IK_581_R1	0.0	0.0
INMR_IV_615_R1	0.0	0.0
K1157-1-4	0.0	0.0
LIA_EDW01_1	0.1167867245534956	0.0
LIA_MAS02_2	0.19085392679345015	0.10429825583706326
LIA_TIS03_2	0.0	0.0
MAN_0063_01_02	0.14033747580583517	0.0
MAN_0063_01_03	0.5163426913027416	0.3844749996661577
MAN_1001_01_M1_D1	0.10297377320124884	0.0
MAN_1438-01-M1_R1	0.0	0.0
MBEL028_001_3	0.0	0.0
MBEL028_002_1	0.0	0.0
MBRU030_2	0.14996636324466991	0.0
MCOP008_001_2	0.14920180311561138	0.22945623385377123
MESP014_2	0.3395314003854512	0.0
MESP021_001_2	0.14688685574449767	0.0
MESP039_2	0.0	0.0
MGLA003_001_2	0.22861992243944357	0.3009087849980007
MMAD002_001_2	0.0	0.0
MTEH041_001_2	0.3594865157310254	0.31325331989598404
MUN_FAM1_CTRL_01_R1	0.0	0.0
MUN_FAM1_CTRL_02_R1	0.184030246462065	0.21777357074088477
MUN_FAM1_CTRL_03_R1	0.0	0.0
MUN_FAM1_CTRL_04_R1	0.40396940115421465	0.10773070734575563
MUN_FAM2_TOTALMDC1A1_02_R1	0.12573978578205802	0.0
MUN_FAM2_TOTALMDC1A1_03_R1	0.0	0.0
MUN_FAM2_TOTALMDC1A1_04_R1	0.15718940326621486	0.0
MUN_FAM2_TOTALMDC1A1_05_R1	0.0	0.0
MUN_FAM3_PARTIALMDC1A1_01_R1	0.20464010150270948	0.0
MUN_FAM3_PARTIALMDC1A1_02_R1	0.2198366372366166	0.12891573173509416
MUN_FAM3_PARTIALMDC1A1_03_R1	0.11368533413890777	0.0
MUN_FAM3_PARTIALMDC1A1_05_R1	3.060072469114532	0.4731812431352216
MUN_FAM4_ATYPICALMDC1A_01_R1	0.0	0.0
MUN_FAM4_ATYPICALMDC1A_01_R2	0.13451912255938553	0.0
MUN_FAM4_ATYPICALMDC1A_01_R3	0.0	0.0
MUN_FAM5_SIBLINGMDC1A_01_R1	0.6067352077060313	0.0
MUN_FAM5_SIBLINGMDC1A_01_R2	0.36227814048268153	0.0
MUN_FAM5_SIBLINGMDC1A_01_R3	0.36366010695040485	0.2676134807595827
M_0146-01-H1	0.0	0.0
NH11-441	0.0	0.0
NH12-1413	0.0	0.0
NH12-843_Fibroblasts	0.34309288766339013	0.0
NH12-843_MyoD_Day5	0.0	0.0
OUN_HK018_0047_R1	0.0	0.0
