Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1179-1	0.824959	27003	0.0139946	88.84	76969620.0	35.963547847022454	49.0	76.0	18.181818181818183	179056715.0
1211-1	0.802356	29094	0.0176384	81.55	149232351.0	45.41613617410325	49.0	76.0	18.181818181818183	381837666.0
1258-1	0.836815	28741	0.0106231	86.64	172635677.0	46.98009779274535	50.0	76.0	18.181818181818183	411949605.0
126BG_CB_M1	0.852703	22706	0.0328905	82.85	46728578.0	46.785145489183876	51.0	76.0	9.090909090909092	120209409.0
146BO_JB_M1	0.872846	22898	0.0123729	86.92	45201499.0	49.352722415983386	51.0	76.0	9.090909090909092	108497179.0
149BP_AB_M1	0.887329	24504	0.0162508	87.11	107326495.0	66.6727487121207	50.0	76.0	18.181818181818183	259015819.0
153BR_JB_M1	0.873428	22473	0.0131465	87.23	54141206.0	48.197110353717534	51.0	76.0	9.090909090909092	129835716.0
163BV_JE_M1	0.871044	22011	0.0144374	86.49	46883471.0	50.004498589143715	51.0	76.0	18.181818181818183	113282647.0
164BW_KC_M1	0.888234	21853	0.0141863	87.37	54435494.0	48.971709671070684	51.0	76.0	9.090909090909092	129921967.0
167BZ_SP_M1	0.907209	22680	0.0229761	88.46	56472442.0	62.949895017108574	50.0	76.0	18.181818181818183	133645376.0
193CP_LS_R1	0.896547	24376	0.0143358	91.61	115553553.0	81.66678751361104	49.0	101.0	9.090909090909092	265438919.0
204H_AM_M1	0.868566	23745	0.0237117	85.74	51910804.0	48.83134580566908	50.0	76.0	9.090909090909092	126601724.0
205E_BD_M1	0.864781	22339	0.0126231	85.46	51011384.0	50.50082247277899	51.0	76.0	18.181818181818183	125659965.0
210DB_BW_M1	0.808376	26153	0.0161326	87.43	44514445.0	45.745853927394734	49.0	76.0	9.090909090909092	106309587.0
227DJ_JP_M1	0.874576	21749	0.0119471	86.06	46783972.0	49.55315345204391	50.0	76.0	9.090909090909092	113872398.0
247DT_SH_M1	0.876143	23636	0.00914801	87.5	54368294.0	49.50109878136141	51.0	76.0	9.090909090909092	129264037.0
250DV_LR_M1	0.88692	22530	0.014461	91.21	30941686.0	67.05652213968297	49.0	76.0	36.36363636363637	70885955.0
251DW_SD_M1	0.875989	22667	0.014505	91.71	29143704.0	59.9166153344316	49.0	76.0	36.36363636363637	66380608.0
252DX_DC_M1	0.897322	21972	0.0123293	91.17	32597897.0	59.35601874785583	50.0	76.0	36.36363636363637	74463728.0
253DY_HA_M1	0.850242	23803	0.00757525	92.5	27971616.0	46.54314447714144	49.0	76.0	27.27272727272727	63155378.0
254DZ_WP_M1	0.880598	24092	0.0128443	91.6	62789929.0	75.32905967380918	50.0	76.0	27.27272727272727	141914019.0
255EA_GC_M1	0.91291	21210	0.0154114	91.88	28709084.0	67.64782927261834	49.0	76.0	36.36363636363637	65081125.0
26I_SK_M1	0.886608	21839	0.0174561	91.67	36228353.0	68.39813760241948	50.0	76.0	36.36363636363637	81894785.0
361AL_CC_M1	0.873238	21891	0.013751	85.79	51208696.0	49.7619268366304	51.0	76.0	9.090909090909092	124650481.0
373HQ_BTG_M1	0.831529	28228	0.00941096	90.79	85523268.0	52.762103371963185	48.0	76.0	18.181818181818183	195371799.0
37L_NA_M1	0.856438	19349	0.0256079	79.35	27626381.0	25.45890776983633	52.0	76.0	9.090909090909092	78210925.0
41M_MW_M1	0.939041	22210	0.024107	92.27	53242872.0	58.87584961775007	51.0	76.0	27.27272727272727	119325117.0
431-1_A_3	0.853317	20718	0.00216029	90.17	41335282.0	38.47447030691702	49.0	101.0	0.0	101326828.0
431-2_A_2	0.836092	20651	0.00183895	91.34	33734119.0	33.35192491818225	48.0	101.0	0.0	79683636.0
432-3_A_2	0.876711	20269	0.00240145	92.89	35878473.0	34.85933321061462	49.0	101.0	0.0	82294283.0
437-2_A_2	0.874536	21088	0.00338655	93.5	39456345.0	37.29239851924264	48.0	101.0	0.0	89994041.0
437-3_A_2	0.849763	21030	0.00248249	93.01	38618513.0	36.94344549031072	48.0	101.0	0.0	88503194.0
447-3_A_3	0.847294	22453	0.00311141	90.39	46869278.0	39.56782652310743	49.0	101.0	9.090909090909092	113037041.0
46N_RL_M1	0.897448	23974	0.00731554	91.38	70622488.0	70.4689344253903	50.0	76.0	27.27272727272727	159870003.0
49O_NM_M1						61.46084312934299	50.0	76.0	36.36363636363637	651963205.0
65T_CR_M1	0.894851	24246	0.0163918	91.0	60799065.0	77.574567416615	50.0	76.0	27.27272727272727	138946108.0
81AB_MM_M1	0.876426	23374	0.0149538	86.76	55705616.0	49.49051264172919	50.0	76.0	9.090909090909092	134241919.0
92AI_SM_R1	0.861419	24535	0.0108849	90.15	44907021.0	64.29238435735206	50.0	101.0	9.090909090909092	109257491.0
9C_DH_M1	0.885556	25375	0.0169611	91.05	65625171.0	79.01256792520866	49.0	76.0	27.27272727272727	150082004.0
B09-24-1RNA_UNKNOWN	0.827577	30441	0.0144442	86.94	138419590.0	51.5039251989475	49.0	76.0	27.27272727272727	328281772.0
B09-25-1RNA				89.45	27047585.0	67.09120311321135	49.0	76.0	18.181818181818183	63142120.0
B09-40-1M	0.890693	20947	0.00764554	88.0	50098819.0	58.02208330275223	50.0	76.0	18.181818181818183	119457132.0
B10-02-1RNA	0.841775	26396	0.0164416	88.4	79810970.0	54.6676134135662	49.0	76.0	18.181818181818183	186658295.0
B11-11-1M	0.892423	23200	0.0169448	91.68	42867615.0	59.54413323884625	49.0	76.0	27.27272727272727	96299482.0
B11-25-1M	0.880352	25646	0.0103393	90.9	80126846.0	59.77105932423562	48.0	76.0	18.181818181818183	184313003.0
B11-48-1M	0.91047	22141	0.0179444	89.82	52437580.0	60.80138863223709	50.0	76.0	18.181818181818183	121394595.0
B12-21-1M	0.894803	21231	0.0120593	87.89	56824870.0	61.840694398512056	50.0	76.0	18.181818181818183	135530722.0
B12-30RNA				89.75	136828178.0	81.43304580925313	50.0	76.0	27.27272727272727	315671801.0
B13-07-1M	0.880718	25023	0.0138893	89.18	108123220.0	57.62847150873582	50.0	76.0	18.181818181818183	251044974.0
B13-07-1RNA	0.890032	20164	0.0135181	90.58	25198639.0	60.5518829177559	49.0	76.0	18.181818181818183	57741994.0
B13-15RNA				91.49	37821183.0	55.72817154695189	49.0	76.0	18.181818181818183	85486988.0
B13-52-1M	0.892542	23234	0.0185978	90.84	49063154.0	59.40839574686477	50.0	76.0	18.181818181818183	111794701.0
B14-07RNA	0.892233	22991	0.0120898	91.37	34122273.0	65.28079812260157	50.0	76.0	18.181818181818183	77320805.0
B14-117-1RNA-2	0.876541	22847	0.012566	90.32	30064307.0	60.55413179686186	49.0	76.0	18.181818181818183	69570401.0
B14-130-1M	0.892177	23951	0.00931845	89.34	54847930.0	58.575227786299145	49.0	76.0	18.181818181818183	128671236.0
B14-48-1RNA	0.831842	23422	0.0107033	90.09	24197998.0	48.61071852416463	49.0	76.0	9.090909090909092	56183688.0
B14-70-1RNA	0.886209	22133	0.0093874	91.62	28359086.0	54.02821101845877	50.0	76.0	18.181818181818183	64314098.0
B14-78-1-U	0.906371	24636	0.0205359	90.84	66278716.0	57.49403979220649	48.0	76.0	18.181818181818183	151740376.0
B15-15_1_1	0.908944	25023	0.0232762	93.54	140874261.0	70.43389780253412	49.0	101.0	9.090909090909092	315687983.0
B15-25_1_2	0.73993	13601	0.0731069	75.34	7948541.0	89.78111994665626	46.0	101.0	9.090909090909092	27076085.0
B15-28_1_1	0.908262	24851	0.0212841	92.74	144973665.0	67.49754507076219	51.0	101.0	9.090909090909092	330742819.0
B16-47_1_2	0.871409	13910	0.107801	87.36	24137698.0	90.13640413415423	46.0	101.0	9.090909090909092	61947966.0
B16-48_1_1	0.892368	27128	0.0175292	92.48	110834725.0	70.44171016703727	50.0	101.0	9.090909090909092	254273105.0
BB0280_CH_AffF_2	0.931153	21758	0.010369	95.32	32202546.0	42.03558416815355	49.0	101.0	0.0	70513424.0
BEG_1025-1_T999_R1	0.937764	21326	0.0186225	92.62	61372364.0	77.46686399053905	50.0	101.0	9.090909090909092	139412746.0
BEG_1078-1_T1071_R1	0.939068	21988	0.0256462	92.88	82317620.0	83.23239790755325	50.0	101.0	9.090909090909092	185345183.0
BEG_1230-1_T1227_R1	0.922576	21534	0.0179102	92.0	37032275.0	60.273346689969195	49.0	101.0	9.090909090909092	84799930.0
BEG_14-4_T65_R1	0.922275	22261	0.0097096	91.52	54769204.0	61.49924833794282	50.0	101.0	9.090909090909092	125772756.0
BEG_1438-1_T1339_R1	0.928983	22456	0.00916543	92.86	62656842.0	62.63014104739683	50.0	101.0	9.090909090909092	141239050.0
BEG_851-1_T840_R1	0.908944	22181	0.0122421	91.14	68661957.0	68.3136392343254	48.0	101.0	9.090909090909092	161329555.0
BEG_887-1_T1240_R1	0.910551	23039	0.00759251	89.84	64626281.0	65.93416815700581	50.0	101.0	9.090909090909092	154148678.0
BEG_916-1_T916_R1	0.936048	21206	0.0127135	92.73	58423225.0	65.74229209874156	50.0	101.0	9.090909090909092	132514608.0
BON_B09-27-1_1	0.881232	22106	0.0227784	91.28	27859314.0	56.49212564327139	50.0	101.0	9.090909090909092	64554548.0
BON_B12-33-2_1	0.875009	21349	0.028111	91.53	28173088.0	56.74091965458108	49.0	101.0	9.090909090909092	65127041.0
BON_B12-71_2_R1	0.920903	23059	0.00470172	92.25	96106670.0	48.691647624737236	50.0	101.0	0.0	221492581.0
BON_B12-74-1_1	0.878837	20990	0.0244854	91.37	28369706.0	57.21060754859329	49.0	101.0	9.090909090909092	65718520.0
BON_B12-76-1_2	0.862597	22753	0.02647	91.24	37637394.0	66.41553174502735	48.0	101.0	9.090909090909092	87749494.0
BON_B13-55_1_2				92.19	93822039.0	70.74970520031677	49.0	101.0	9.090909090909092	215430777.0
BON_B14-163-1_2	0.871558	21677	0.0207444	94.39	30740584.0	56.167457042326156	48.0	101.0	9.090909090909092	68282941.0
BON_B14-20_1	0.873746	20439	0.0288159	90.29	22714618.0	58.150832572999285	48.0	101.0	9.090909090909092	53647333.0
BON_B14-51_1_2	0.93281	20697	0.00502793	93.95	49288542.0	39.979798884831254	49.0	101.0	0.0	110223752.0
BON_B14-60-1_2	0.870732	23429	0.0178694	93.98	44623939.0	64.60124282909953	48.0	101.0	9.090909090909092	99858168.0
BON_B14-71-2_1	0.811527	23290	0.0257396	91.78	27196978.0	55.468435706806055	48.0	101.0	9.090909090909092	62562302.0
BON_B14-75-1_1	0.805528	23656	0.00665675	91.22	26226573.0	41.67543692237975	48.0	101.0	0.0	61029258.0
BON_B15-118_1	0.883317	21773	0.0224624	94.69	40547339.0	66.84538983155349	48.0	101.0	9.090909090909092	89973392.0
BON_B15-125_1_2	0.928613	21598	0.00591283	93.27	69659388.0	51.72665466521328	50.0	101.0	9.090909090909092	157735244.0
BON_B15-26_1_1	0.944084	20462	0.00552739	95.08	49019979.0	43.482779381963034	49.0	101.0	0.0	107654054.0
BON_B15-76-2_2	0.865886	23390	0.0115101	94.33	42258333.0	50.23757836564784	48.0	101.0	9.090909090909092	94017497.0
BON_B15-98_1_2	0.924457	21564	0.00698855	92.95	54660321.0	49.75934143259691	50.0	101.0	0.0	124012065.0
BON_B16-19_1	0.857042	20593	0.0159301	87.84	25648886.0	58.13406264812291	50.0	101.0	9.090909090909092	63902679.0
BON_B16-22_1	0.886029	20878	0.0102723	92.22	25240456.0	45.88607930856627	49.0	101.0	0.0	57827902.0
BON_B16-50_1_2	0.918144	20840	0.00459146	91.71	46251067.0	39.73648873750416	50.0	101.0	0.0	108114311.0
BON_B16-53-1_1	0.86302	26301	0.0800534	87.52	90116446.0	79.97291042720585	47.0	101.0	9.090909090909092	223430128.0
BON_B16-57_1_2	0.913879	20861	0.00606966	93.28	37991985.0	38.216142315218946	49.0	101.0	0.0	86024992.0
BON_B16-75-1_2	0.897317	22731	0.0173675	94.49	41194961.0	68.07416419209011	49.0	101.0	9.090909090909092	91340569.0
BON_B16_30_1_1	0.910768	22774	0.0229445	91.47	77896207.0	65.46957130479481	52.0	101.0	18.181818181818183	181158917.0
BON_B16_80_1_1	0.909407	22592	0.0240179	91.19	57065914.0	79.32219487451096	49.0	101.0	9.090909090909092	133145601.0
BON_B17-23_1_R1	0.886309	25004	0.0179097	92.43	115668489.0	90.0447871729705	49.0	101.0	9.090909090909092	264194342.0
BON_B17-28_1_R1	0.917781	23858	0.00276628	90.85	124144180.0	50.20205480943968	51.0	101.0	9.090909090909092	291876845.0
BON_B18-24_1_R1	0.90739	20926	0.0178059	93.05	39029703.0	77.78684294050981	48.0	101.0	9.090909090909092	88034181.0
BON_B18-25_1_R1	0.895427	21886	0.0243368	92.22	40733549.0	82.11480419253772	49.0	101.0	9.090909090909092	92723296.0
BON_B18-54_1_R1	0.863852	22746	0.0263944	91.7	43135986.0	76.76858831957912	48.0	101.0	9.090909090909092	98753769.0
BON_UC219-1_1	0.836512	22447	0.018751	91.61	25262170.0	53.91946204697652	48.0	101.0	9.090909090909092	58430333.0
BON_UC473_1	0.831716	23047	0.0128306	91.27	27381516.0	56.30042935602928	48.0	101.0	9.090909090909092	63667374.0
CLA_143BN_BB_2	0.858551	24562	0.0221907	86.06	68475335.0	48.80233922488383	49.0	76.0	9.090909090909092	168060483.0
CLA_179CI_GG_2	0.917364	20178	0.028745	89.49	26100017.0	40.043173376483	50.0	76.0	9.090909090909092	62437452.0
CLA_180CJ_DP_2	0.791961	28202	0.0267826	83.0	86977677.0	50.67962619492351	49.0	76.0	27.27272727272727	220457724.0
CLA_214DF_AB_2				93.89	36553600.0	52.09496831167638	46.0	101.0	9.090909090909092	82007391.0
CLA_329FK_RR_2	0.879928	21128	0.0210695	94.06	31774059.0	59.68488226845681	48.0	101.0	9.090909090909092	70852247.0
CLA_338FT_DM_2	0.878019	21391	0.0146473	93.78	29529695.0	58.916362905550265	48.0	101.0	9.090909090909092	65886200.0
CLA_388HV_XX_1	0.851032	18717	0.0184977	89.68	7455927.0	32.69473314420412	49.0	76.0	9.090909090909092	17660348.0
CLA_62R_CaM_2	0.890562	8766	0.0263053	90.86	407720.0	24.582360795106737	50.0	76.0	0.0	927594.0
CLA_62R_CaM_3	0.900112	20653	0.020673	93.64	33810232.0	71.8672557370384	49.0	101.0	9.090909090909092	75791077.0
CLA_79Z_CP_2	0.891676	21497	0.0154077	90.04	25891859.0	50.61584709880046	50.0	76.0	18.181818181818183	60614406.0
HK006_0016_R1	0.931462	20065	0.00519038	93.92	41061307.0	46.054853610509184	49.0	101.0	0.0	91880735.0
HK010_0026_R1	0.934361	22079	0.00445244	94.28	88692305.0	50.3053930241882	48.0	101.0	18.181818181818183	196488631.0
HK011_0029_R1	0.937417	19965	0.00232034	90.73	46386576.0	41.53453150785646	50.0	101.0	0.0	109626580.0
HK018_0047_2	0.90072	23710	0.00809415	92.52	43929757.0	50.00362828147857	49.0	101.0	9.090909090909092	100656454.0
HK024_0065_R1	0.932305	20177	0.00308309	90.58	52281923.0	43.30757238966779	49.0	101.0	0.0	124333934.0
HK028_0073_R1	0.946465	19341	0.00296128	92.41	48686330.0	42.8184102234721	49.0	101.0	0.0	111440246.0
HK044_0109_R1	0.946486	19887	0.00322259	93.08	44338192.0	40.34461454826533	49.0	101.0	0.0	99739925.0
HK069-0177_2	0.935846	19877	0.0209509	93.66	41414338.0	66.8581905147878	50.0	101.0	9.090909090909092	92939167.0
HK072-001_2	0.933428	21092	0.0200679	93.23	62921983.0	79.92011394410001	49.0	101.0	9.090909090909092	143205060.0
HK085-001_R1	0.937263	21857	0.0069552	94.03	84602297.0	54.25718028143448	48.0	101.0	18.181818181818183	188017729.0
HK088-001_2	0.939571	20575	0.0060004	95.39	42265043.0	36.44495338478845	47.0	101.0	0.0	91937755.0
HK101-001_R1	0.944654	22077	0.00271245	91.98	100442487.0	47.16386276833535	49.0	101.0	0.0	230898572.0
HK106-001_R1	0.938115	19480	0.00229711	90.9	45266597.0	41.16150336720516	50.0	101.0	0.0	106598599.0
ICCV_458_10CC06258_02	0.916904	22526	0.00992086	92.62	54863117.0	67.4214016614687	50.0	101.0	9.090909090909092	125089336.0
INMR_GB_408_R1	0.872968	23981	0.0138863	91.88	42451323.0	60.573035539061316	50.0	101.0	9.090909090909092	98127320.0
INMR_GI_456_R1	0.911486	20964	0.0154927	90.46	40767447.0	70.83420748936858	50.0	101.0	9.090909090909092	94999886.0
INMR_HW_389_R1	0.867033	25568	0.0206454	92.08	99702683.0	86.04530634876362	48.0	101.0	9.090909090909092	228876629.0
INMR_HZ_401_R1	0.902339	25103	0.0138993	92.35	106779156.0	83.0311887530838	49.0	101.0	9.090909090909092	243745357.0
INMR_IG_561_R1	0.890141	25439	0.0135337	92.33	106980249.0	78.27284272100465	49.0	101.0	9.090909090909092	244413623.0
INMR_IK_581_R1	0.844539	27436	0.0159454	91.34	96458023.0	78.2764502251499	49.0	101.0	9.090909090909092	224568828.0
INMR_IV_615_R1	0.894694	22840	0.00507995	92.16	75414743.0	48.526596812239916	48.0	101.0	0.0	172710438.0
K1157-1-4	0.902336	24855	0.0162062	91.63	64472527.0	55.478185090556686	50.0	101.0	9.090909090909092	150407995.0
LIA_EDW01_1	0.915651	19974	0.0171427	91.81	25195246.0	46.865160984437345	50.0	101.0	0.0	59377468.0
LIA_MAS02_2	0.87828	24902	0.0192982	90.58	77010493.0	74.6103811081328	50.0	101.0	9.090909090909092	184911050.0
LIA_TIS03_2	0.862834	21500	0.0166887	92.5	23373093.0	40.49881025604325	48.0	101.0	0.0	54290460.0
MAN_0063_01_02	0.862561	14504	0.0104899	92.02	1600202.0	27.462852429736685	50.0	101.0	0.0	3754521.0
MAN_0063_01_03	0.702633	7799	0.0558546	75.58	262809.0	55.155455344329376	48.0	101.0	9.090909090909092	898628.0
MAN_1001_01_M1_D1	0.935352	22999	0.0142712	93.42	71307125.0	65.97003360366199	50.0	101.0	9.090909090909092	160265080.0
MAN_1438-01-M1_R1	0.919823	23922	0.0185378	92.9	77768160.0	76.84803905421921	48.0	101.0	9.090909090909092	175611918.0
MBEL028_001_3	0.948779	18885	0.0214099	95.14	32411434.0	58.70745347509319	50.0	101.0	9.090909090909092	71289243.0
MBEL028_002_1	0.949645	19233	0.0191917	94.77	34942697.0	67.3785128935126	49.0	101.0	9.090909090909092	77076895.0
MBRU030_2	0.942339	20369	0.0130917	95.3	31893247.0	43.329052269640734	49.0	101.0	0.0	70119724.0
MCOP008_001_2	0.938732	19092	0.0357182	94.18	35806710.0	67.96221691229869	50.0	101.0	9.090909090909092	79817400.0
MESP014_2	0.88	20546	0.00698007	91.12	30594885.0	37.317570221635	48.0	101.0	0.0	72339112.0
MESP021_001_2	0.946532	19176	0.0206561	94.83	36363614.0	65.5512405206474	50.0	101.0	9.090909090909092	80190293.0
MESP039_2	0.940392	20663	0.0152535	94.48	51163131.0	63.48249558653969	50.0	101.0	9.090909090909092	113074104.0
MGLA003_001_2	0.947019	18601	0.0176704	93.82	34993461.0	67.40288048500753	51.0	101.0	9.090909090909092	78581953.0
MMAD002_001_2	0.942583	19109	0.0193093	94.38	28145315.0	52.85874913774548	50.0	101.0	9.090909090909092	62498936.0
MTEH041_001_2	0.918679	22469	0.0170353	94.19	37295171.0	62.15018962022415	49.0	101.0	9.090909090909092	83909406.0
MUN_FAM1_CTRL_01_R1	0.892355	21711	0.0221521	91.85	44410106.0	74.13027797951271	48.0	101.0	9.090909090909092	101635135.0
MUN_FAM1_CTRL_02_R1	0.923895	17274	0.0218217	90.75	24312084.0	74.32723668509155	50.0	101.0	9.090909090909092	57732901.0
MUN_FAM1_CTRL_03_R1	0.886146	21134	0.0237923	93.25	36566571.0	64.89266975066262	47.0	101.0	9.090909090909092	82282571.0
MUN_FAM1_CTRL_04_R1	0.905347	17880	0.0461294	88.05	34251595.0	76.89181341817331	51.0	101.0	9.090909090909092	85536429.0
MUN_FAM2_TOTALMDC1A1_02_R1	0.847027	24933	0.0182203	93.31	50040317.0	78.45538755303924	48.0	101.0	9.090909090909092	113511407.0
MUN_FAM2_TOTALMDC1A1_03_R1	0.87598	22824	0.0183696	88.78	41027811.0	62.67155933198196	49.0	101.0	9.090909090909092	100875500.0
MUN_FAM2_TOTALMDC1A1_04_R1	0.814429	19902	0.0210575	92.31	11758513.0	54.055089907999985	47.0	101.0	9.090909090909092	27647538.0
MUN_FAM2_TOTALMDC1A1_05_R1	0.909607	22749	0.0197781	93.51	39946028.0	67.91119736589374	48.0	101.0	9.090909090909092	89932926.0
MUN_FAM3_PARTIALMDC1A1_01_R1	0.887569	24896	0.0245575	94.02	129908861.0	87.53359986292843	48.0	101.0	9.090909090909092	291359316.0
MUN_FAM3_PARTIALMDC1A1_02_R1	0.878163	20887	0.0211404	93.16	19578742.0	50.57174500099635	48.0	101.0	9.090909090909092	44698191.0
MUN_FAM3_PARTIALMDC1A1_03_R1	0.848915	22684	0.0181038	93.19	35859079.0	67.9550663178804	47.0	101.0	9.090909090909092	81459056.0
MUN_FAM3_PARTIALMDC1A1_05_R1	0.882766	17008	0.0203613	88.87	11529253.0	64.71276849503748	50.0	101.0	18.181818181818183	29723283.0
MUN_FAM4_ATYPICALMDC1A_01_R1	0.885573	23065	0.0128015	93.61	32135621.0	51.58647664656154	48.0	101.0	9.090909090909092	72071056.0
MUN_FAM4_ATYPICALMDC1A_01_R2	0.88667	25270	0.0135397	91.02	106831044.0	75.57853573343125	49.0	101.0	9.090909090909092	253320118.0
MUN_FAM4_ATYPICALMDC1A_01_R3	0.887524	22951	0.0144832	91.8	40305337.0	58.46824447946886	49.0	101.0	9.090909090909092	93740536.0
MUN_FAM5_SIBLINGMDC1A_01_R1	0.888337	22117	0.0208332	92.86	31171165.0	56.03348652464892	49.0	101.0	9.090909090909092	71179156.0
MUN_FAM5_SIBLINGMDC1A_01_R2	0.896325	22092	0.0206994	93.69	32149666.0	55.08905732152509	48.0	101.0	9.090909090909092	72223237.0
MUN_FAM5_SIBLINGMDC1A_01_R3	0.863306	22012	0.0214365	90.61	31856404.0	56.7116423633159	48.0	101.0	9.090909090909092	76852257.0
M_0146-01-H1	0.846753	25929	0.0173219	88.04	61799773.0	51.445498195888675	48.0	76.0	18.181818181818183	146135725.0
NH11-441	0.902449	23783	0.0105608	92.98	45875913.0	67.82143699512335	50.0	76.0	18.181818181818183	101924037.0
NH12-1413	0.898905	23582	0.0120442	92.49	47674564.0	65.94685396229917	51.0	76.0	18.181818181818183	106847992.0
NH12-843_Fibroblasts	0.901211	18569	0.00469192	91.84	21446863.0	28.89421396208533	48.0	101.0	0.0	50169504.0
NH12-843_MyoD_Day5	0.863807	22888	0.00567143	91.57	42485862.0	40.24498757650261	48.0	101.0	9.090909090909092	100359049.0
OUN_HK018_0047_R1	0.912759	24911	0.00694031	90.82	91501214.0	62.674323874347806	49.0	101.0	9.090909090909092	214938856.0
OUN_HK047_0116_R1	0.938679	21436	0.0186225	92.34	82861471.0	81.80893600680696	49.0	101.0	9.090909090909092	189219034.0
OUN_HK079_001_R1	0.94266	20397	0.0205515	92.48	79100137.0	83.89904068387307	50.0	101.0	9.090909090909092	180842034.0
OUN_HK080_001_R1	0.931535	22058	0.0206292	91.3	82693008.0	82.84297032473063	50.0	101.0	9.090909090909092	191432296.0
OUN_HK081_001_R1	0.937505	21836	0.016807	92.17	97492957.0	82.03984842055247	50.0	101.0	9.090909090909092	223688402.0
OUN_HK112_001_R1	0.918684	23966	0.0124727	91.96	92543874.0	70.99409308521014	49.0	101.0	9.090909090909092	213569810.0
OUN_HK116_001_R1	0.934761	23448	0.012317	91.96	89029963.0	77.0269849983442	50.0	101.0	9.090909090909092	203554945.0
OUN_HK124_001_R1	0.932036	20640	0.0118308	92.2	48051681.0	65.40560113573434	49.0	101.0	9.090909090909092	109420229.0
OUN_HK137_001_R1	0.929968	24505	0.00799971	93.1	81246720.0	63.544041702784845	49.0	101.0	9.090909090909092	183630951.0
RGP_248_3	0.90334	21657	0.0353557	91.15	50640216.0					
RGP_248_3_T1						85.33677008619355	48.0	101.0	9.090909090909092	119218299.0
RGP_273_3_R1	0.942913	21471	0.0128151	93.05	58739098.0	72.31920584420509	50.0	101.0	9.090909090909092	132602012.0
RGP_54_3_2	0.936229	20316	0.0121582	92.61	54838690.0	68.31621081287716	51.0	101.0	9.090909090909092	125776889.0
RGP_56_3_3	0.927498	20815	0.0197353	92.08	38458251.0	70.64710121355091	50.0	101.0	9.090909090909092	89009155.0
RGP_7_1_2	0.932487	20513	0.00286198	93.64	41755751.0	35.834014402107044	50.0	101.0	0.0	93607363.0
RGP_7_2_2	0.930234	20486	0.00370017	94.32	41368774.0	35.87930727180624	50.0	101.0	0.0	91573742.0
RGP_7_3_2	0.924783	20927	0.00341099	92.93	44736538.0	37.64488384262498	50.0	101.0	0.0	101865746.0
RGP_7_4_2				86.86	33637043.0	39.89454590475561	50.0	101.0	0.0	84148718.0
RGP_7_5_2	0.931473	20531	0.00221792	93.99	41523690.0	34.956420578143124	50.0	101.0	0.0	92600278.0
