Module	Section	Sample Name	Source
STAR	SummaryLog	MUN_FAM1_CTRL_02_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MUN_FAM1_CTRL_02_R1.Log.final.out
STAR	SummaryLog	VCGS_FAM1_1_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VCGS_FAM1_1_2.Log.final.out
STAR	SummaryLog	RP-1903_HK-119	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK-119.Log.final.out
STAR	SummaryLog	VIL_17_152	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VIL_17_152.Log.final.out
STAR	SummaryLog	BON_B16-19_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/BON_B16-19_1.Log.final.out
STAR	SummaryLog	BON_B14-51_1_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/BON_B14-51_1_2.Log.final.out
STAR	SummaryLog	MAN_1438-01-M1_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MAN_1438-01-M1_R1.Log.final.out
STAR	SummaryLog	RP-1903_HK-070	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK-070.Log.final.out
STAR	SummaryLog	UC393-1M	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/UC393-1M.Log.final.out
STAR	SummaryLog	MBEL028_002_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MBEL028_002_1.Log.final.out
STAR	SummaryLog	BON_B09-27-1_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/BON_B09-27-1_1.Log.final.out
STAR	SummaryLog	B14-07RNA	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/B14-07RNA.Log.final.out
STAR	SummaryLog	HK088-001_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/HK088-001_2.Log.final.out
STAR	SummaryLog	TOP_MAAC031_F_Muscle1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/TOP_MAAC031_F_Muscle1.Log.final.out
STAR	SummaryLog	VIL_17_141	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VIL_17_141.Log.final.out
STAR	SummaryLog	RP-1903_HK-124	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK-124.Log.final.out
STAR	SummaryLog	MESP039_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MESP039_2.Log.final.out
STAR	SummaryLog	RP-1903_HK-133	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK-133.Log.final.out
STAR	SummaryLog	BEG_916-1_T916_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/BEG_916-1_T916_R1.Log.final.out
STAR	SummaryLog	VCGS_FAM11_32_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VCGS_FAM11_32_2.Log.final.out
STAR	SummaryLog	B12-21-1M	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/B12-21-1M.Log.final.out
STAR	SummaryLog	BON_B18-25_1_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/BON_B18-25_1_R1.Log.final.out
STAR	SummaryLog	RGP_94_3_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RGP_94_3_2.Log.final.out
STAR	SummaryLog	167BZ_SP_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/167BZ_SP_M1.Log.final.out
STAR	SummaryLog	RP-1903_OUN_HK137_001	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_OUN_HK137_001.Log.final.out
STAR	SummaryLog	RP-1118_MAN_1438-01-M1_R1_v2_RNA_OnPrem	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1118_MAN_1438-01-M1_R1_v2_RNA_OnPrem.Log.final.out
STAR	SummaryLog	RP-2034_RGP_554_3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-2034_RGP_554_3.Log.final.out
STAR	SummaryLog	146BO_JB_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/146BO_JB_M1.Log.final.out
STAR	SummaryLog	NH12-843_MyoD_Day5	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/NH12-843_MyoD_Day5.Log.final.out
STAR	SummaryLog	VCGS_FAM3_7_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VCGS_FAM3_7_2.Log.final.out
STAR	SummaryLog	MUN_FAM5_SIBLINGMDC1A_01_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MUN_FAM5_SIBLINGMDC1A_01_R1.Log.final.out
STAR	SummaryLog	MUN_FAM2_TOTALMDC1A1_03_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MUN_FAM2_TOTALMDC1A1_03_R1.Log.final.out
STAR	SummaryLog	RP-1903_OUN_HK081_001	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_OUN_HK081_001.Log.final.out
STAR	SummaryLog	INMR_HW_389_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/INMR_HW_389_R1.Log.final.out
STAR	SummaryLog	B14-117-1RNA-2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/B14-117-1RNA-2.Log.final.out
STAR	SummaryLog	CLA_62R_CaM_3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/CLA_62R_CaM_3.Log.final.out
STAR	SummaryLog	MUN_FAM3_PARTIALMDC1A1_05_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MUN_FAM3_PARTIALMDC1A1_05_R1.Log.final.out
STAR	SummaryLog	RP-1903_HK028_0073	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK028_0073.Log.final.out
STAR	SummaryLog	RP-1903_HK024_0065	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK024_0065.Log.final.out
STAR	SummaryLog	RP-1903_OUN_HK079_001	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_OUN_HK079_001.Log.final.out
STAR	SummaryLog	26I_SK_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/26I_SK_M1.Log.final.out
STAR	SummaryLog	MUN_FAM3_PARTIALMDC1A1_01_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MUN_FAM3_PARTIALMDC1A1_01_R1.Log.final.out
STAR	SummaryLog	361AL_CC_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/361AL_CC_M1.Log.final.out
STAR	SummaryLog	BON_B14-75-1_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/BON_B14-75-1_1.Log.final.out
STAR	SummaryLog	LIA_EDW01_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/LIA_EDW01_1.Log.final.out
STAR	SummaryLog	41M_MW_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/41M_MW_M1.Log.final.out
STAR	SummaryLog	VIL_17_121	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VIL_17_121.Log.final.out
STAR	SummaryLog	RP-1903_HK-087	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK-087.Log.final.out
STAR	SummaryLog	163BV_JE_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/163BV_JE_M1.Log.final.out
STAR	SummaryLog	INMR_HZ_401_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/INMR_HZ_401_R1.Log.final.out
STAR	SummaryLog	MUN_FAM5_SIBLINGMDC1A_01_R2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MUN_FAM5_SIBLINGMDC1A_01_R2.Log.final.out
STAR	SummaryLog	VCGS_FAM26_81_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VCGS_FAM26_81_2.Log.final.out
STAR	SummaryLog	RGP_94_4_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RGP_94_4_2.Log.final.out
STAR	SummaryLog	254DZ_WP_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/254DZ_WP_M1.Log.final.out
STAR	SummaryLog	VCGS_FAM49_153_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VCGS_FAM49_153_R1.Log.final.out
STAR	SummaryLog	BON_B16-53-1_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/BON_B16-53-1_1.Log.final.out
STAR	SummaryLog	RP-1903_HK-010	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK-010.Log.final.out
STAR	SummaryLog	VIL_17_151	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VIL_17_151.Log.final.out
STAR	SummaryLog	B09-25-1RNA	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/B09-25-1RNA.Log.final.out
STAR	SummaryLog	SWE_36326_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/SWE_36326_1.Log.final.out
STAR	SummaryLog	RP-1903_HK-073	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK-073.Log.final.out
STAR	SummaryLog	B11-25-1M	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/B11-25-1M.Log.final.out
STAR	SummaryLog	VCGS_FAM27_84_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VCGS_FAM27_84_2.Log.final.out
STAR	SummaryLog	149BP_AB_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/149BP_AB_M1.Log.final.out
STAR	SummaryLog	RP-1903_HK-134	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_HK-134.Log.final.out
STAR	SummaryLog	CLA_143BN_BB_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/CLA_143BN_BB_2.Log.final.out
STAR	SummaryLog	RP-1903_OUN_HK080_001	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/RP-1903_OUN_HK080_001.Log.final.out
STAR	SummaryLog	VCGS_FAM67_209_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/VCGS_FAM67_209_R1.Log.final.out
STAR	SummaryLog	MCOP008_001_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/MCOP008_001_2.Log.final.out
STAR	SummaryLog	BON_UC219-1_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/BON_UC219-1_1.Log.final.out
STAR	SummaryLog	B09-40-1M	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/all/star/B09-40-1M.Log.final.out
