Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
1179-1	76969620.0	6131195.0	12009.0	283561.0	3201880.0	35445.0
1179-1-chr22	1666226.0	66038.0	57.0	3365.0	12340.0	1122.0
1211-1	149232351.0	24140380.0	82139.0	590369.0	8433848.0	506031.0
1258-1	172635677.0	18295653.0	56122.0	599172.0	7525596.0	143801.0
126BG_CB_M1	46728578.0	6919862.0	40362.0	443354.0	2210345.0	57829.0
146BO_JB_M1	45201499.0	4689201.0	20249.0	437844.0	1641916.0	12162.0
149BP_AB_M1	107326495.0	12750153.0	107236.0	234350.0	2390372.0	406207.0
153BR_JB_M1	54141206.0	5326818.0	22789.0	457474.0	2040479.0	79876.0
163BV_JE_M1	46883471.0	5017228.0	20712.0	446930.0	1807151.0	32386.0
164BW_KC_M1	54435494.0	5462368.0	14079.0	501984.0	1867676.0	22146.0
167BZ_SP_M1	56472442.0	5699510.0	5689.0	172194.0	1463650.0	25829.0
204H_AM_M1	51910804.0	6245442.0	11114.0	460408.0	1877048.0	42499.0
205E_BD_M1	51011384.0	6005053.0	27376.0	475943.0	2090009.0	82773.0
210DB_BW_M1	44514445.0	3933698.0	25373.0	437933.0	1941108.0	59180.0
227DJ_JP_M1	46783972.0	5377334.0	13688.0	430223.0	1740154.0	19264.0
247DT_SH_M1	54368294.0	5032623.0	12761.0	507324.0	2203236.0	14495.0
250DV_LR_M1	30941686.0	2512791.0	3642.0	38301.0	405988.0	22980.0
251DW_SD_M1	29143704.0	2223277.0	4096.0	40675.0	341668.0	24405.0
252DX_DC_M1	32597897.0	2590445.0	3374.0	56473.0	470612.0	37649.0
253DY_HA_M1	27971616.0	1867777.0	5079.0	41696.0	319670.0	34747.0
254DZ_WP_M1	62789929.0	4711344.0	6733.0	84453.0	914908.0	42226.0
255EA_GC_M1	28709084.0	2093782.0	3672.0	39500.0	388416.0	13167.0
26I_SK_M1	36228353.0	2733474.0	3720.0	52136.0	477916.0	26068.0
361AL_CC_M1	51208696.0	5862566.0	20319.0	494401.0	2073736.0	34333.0
373HQ_BTG_M1	85523268.0	5678824.0	14890.0	493569.0	2456879.0	32905.0
37L_NA_M1	27626381.0	6683515.0	68855.0	34768.0	327808.0	74502.0
41M_MW_M1	53242872.0	3489156.0	2502.0	77454.0	864905.0	25818.0
431-1_A_3	41335282.0	3623198.0	14448.0	109258.0	356909.0	400613.0
