Sample	End 1 Sense	End 1 Antisense	End 2 Sense	End 2 Antisense
1179-1	35049099.0	34172601.0	33218365.0	33736396.0
1211-1	73275037.0	73021109.0	71907417.0	70582189.0
1258-1	79448279.0	78095016.0	76980519.0	77457773.0
126BG_CB_M1	22365768.0	23215764.0	23166711.0	22221982.0
146BO_JB_M1	20807829.0	21503057.0	21397659.0	20700783.0
149BP_AB_M1	51030009.0	51978054.0	52130618.0	50702259.0
153BR_JB_M1	24767368.0	25369251.0	25338072.0	24635291.0
163BV_JE_M1	22081754.0	22659329.0	22545753.0	21977721.0
164BW_KC_M1	25631426.0	26331177.0	26296591.0	25524516.0
167BZ_SP_M1	26866596.0	27577586.0	27490055.0	26572712.0
204H_AM_M1	24719308.0	25300071.0	25345946.0	24592970.0
205E_BD_M1	23721200.0	24437338.0	24374748.0	23625014.0
210DB_BW_M1	19655480.0	19746296.0	19710952.0	19437297.0
227DJ_JP_M1	21917938.0	22610668.0	22517492.0	21834961.0
247DT_SH_M1	25250443.0	25873318.0	25840788.0	25229596.0
250DV_LR_M1	14220575.0	14079732.0	14150243.0	14021777.0
251DW_SD_M1	13286703.0	13124082.0	13188893.0	13126871.0
252DX_DC_M1	14768767.0	14785970.0	14842682.0	14573431.0
253DY_HA_M1	12505223.0	12459400.0	12491104.0	12373763.0
254DZ_WP_M1	29298553.0	29170100.0	29226546.0	29040191.0
255EA_GC_M1	13135432.0	13066434.0	13123870.0	12962650.0
26I_SK_M1	16843625.0	16743286.0	16781165.0	16698023.0
361AL_CC_M1	24298783.0	24946345.0	24884279.0	24137987.0
373HQ_BTG_M1	37927815.0	38275170.0	38491089.0	37625620.0
37L_NA_M1	801043.0	26158900.0	25877087.0	690902.0
41M_MW_M1	24695513.0	24479252.0	24497894.0	24346219.0
431-1_A_3	431207.0	39274749.0	39193394.0	409041.0
431-2_A_2	385617.0	31350916.0	31317320.0	377271.0
432-3_A_2	327021.0	33051159.0	33004208.0	312925.0
437-2_A_2	386062.0	35995859.0	35970127.0	369942.0
437-3_A_2	369240.0	35599981.0	35478573.0	360508.0
447-3_A_3	502612.0	43580807.0	43435433.0	497939.0
46N_RL_M1	31109485.0	31040880.0	31074615.0	30806882.0
65T_CR_M1	28418669.0	28260026.0	28397969.0	28078357.0
81AB_MM_M1	26239487.0	26662046.0	26625840.0	26065051.0
9C_DH_M1	30136693.0	30043584.0	30184441.0	29802468.0
B09-24-1RNA_UNKNOWN	63135715.0	63875283.0	63906016.0	62719306.0
B09-40-1M	21847889.0	22223100.0	22240952.0	21555617.0
B10-02-1RNA	36132885.0	37178170.0	36389365.0	36244390.0
B11-11-1M	19453477.0	19445564.0	19506089.0	19147743.0
B11-25-1M	37218735.0	36995282.0	36942063.0	36721130.0
B11-48-1M	24341229.0	24472096.0	24521440.0	24038600.0
B12-21-1M	26944614.0	27176142.0	27126751.0	26568619.0
B13-07-1M	50500774.0	50400560.0	50191755.0	49862826.0
B13-07-1RNA	11389492.0	11530776.0	11457183.0	11539988.0
B13-52-1M	22624123.0	22636437.0	22748337.0	22229801.0
B14-07RNA	15577196.0	15747628.0	15712016.0	15598027.0
B14-117-1RNA-2	13876454.0	14027016.0	14015120.0	13920499.0
B14-130-1M	25054559.0	25325428.0	25444498.0	24761641.0
B14-48-1RNA	10894588.0	11058619.0	11001369.0	10961602.0
B14-70-1RNA	12789966.0	12865245.0	12858653.0	12779468.0
B14-78-1-U	30001453.0	30074457.0	30214634.0	29561781.0
B15-15_1_1	2007207.0	125646486.0	125860495.0	1912976.0
