Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA Rate	Chimeric Alignment Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads excluded from exon counts	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
MUN_FAM1_CTRL_01_R1	0.990354	1	0	0	0.00210229	0.992578	0.988129	0.00199428	0.0022108	0.892355	0.91834	0.901047	0.0594379	0.0176162	0.960485	0.0218988	0.91344	0.0565852	0.0111335	0.970025	0.018841	0	0.0221521	0	0.0152998	0.985253	0.386717	11843542	2144615	0	40375374	604264	4848376225	4826644964	48003725	47788564	9669005	10670738	627333	40370615	86313359	0	87969899	1687499	92007050	2097740	5693691	5960254	7822390	0	95792289	95792289	20339743	95789851	0	0	95792289	2122003	9675021189	47596337	108568851	96725309	0	101	21711	0	6644	0.470989	0.454545	0.302312	0.383203	0.202873	0.722222	0	0	0.917019	0.253361	0.238577
MUN_FAM1_CTRL_03_R1	0.989485	1	0	0	0.00207442	0.990714	0.988255	0.00200947	0.00213953	0.886146	0.935782	0.895563	0.0654788	0.0173399	0.961042	0.0216181	0.904844	0.0633418	0.0126999	0.968185	0.0191147	0	0.0237923	0	0.0167694	0.984013	0.389486	7698960	1186176	0	32855325	534816	3924724761	3914983311	38858661	38762211	7886630	8376242	560361	32918836	69514396	0	72636198	1345935	74596918	1678019	5082522	4197905	4984674	0	77620872	77620872	16262872	77616146	0	0	77620872	1846779	7839708072	38656494	86144708	78445748	0	101	21134	0	5968	0.475034	0.456311	0.302163	0.38647	0.207792	0.732558	0	0	0.942808	0.273498	0.256453
MUN_FAM1_CTRL_04_R1	0.986531	1	0	0	0.00215455	0.987923	0.985138	0.00192112	0.00238865	0.905347	0.885366	0.917708	0.0291189	0.0348387	0.946827	0.0183341	0.973415	0.00788288	0.00450303	0.981298	0.0141992	0	0.0461294	0	0.0129583	0.987709	0.444962	31772315	637431	0	32966870	410772	3881975400	3871032757	38435400	38327057	7457726	9246525	432803	33010461	70445537	0	67962849	2674307	72680779	1407371	2235242	8788664	8799608	0	76762457	76762457	16704251	76747468	0	0	76762457	3541008	7753008157	38198454	109582812	77810497	0	101	17880	0	4270	0.432985	0.380952	0.312017	0.379475	0.153374	0.695	0	0	1.08046	0.326441	0.316775
MUN_FAM2_TOTALMDC1A1_02_R1	0.987349	1	0	0	0.00244301	0.989017	0.985682	0.00223361	0.00265311	0.847027	0.937224	0.857879	0.0937906	0.0204892	0.95167	0.0278409	0.866398	0.0921473	0.0159642	0.958545	0.0254907	0	0.0182203	0	0.0161417	0.983989	0.33398	10282890	1008062	0	44803747	729154	5357945768	5339882322	53048968	52870122	11967566	14167291	735072	44812507	90865787	0	99269921	2170200	100800003	2948887	9934216	6312360	6649169	0	105919090	105919090	26134857	105869462	0	0	105919090	1929873	10697828090	52754242	117559086	107276196	0	101	24933	0	9442	0.495164	0.493697	0.29145	0.361306	0.25	0.738462	0	0	0.840443	0.23407	0.215522
MUN_FAM2_TOTALMDC1A1_03_R1	0.986782	1	0	0	0.00215089	0.98882	0.984743	0.00208741	0.00221464	0.87598	0.891676	0.887714	0.0520249	0.0425526	0.939739	0.0177082	0.938883	0.0339333	0.0114698	0.972816	0.0157143	0	0.0183696	0	0.0155804	0.984914	0.390213	36340827	1139167	0	37722279	578273	4616372660	4597342038	45706660	45518238	9636262	10181458	597032	37754281	80981642	0	81343033	3881860	85727607	1615431	4745965	9404394	9881865	0	91224898	91224898	19817720	91152411	0	0	91224898	1675762	9213714698	45381144	128787723	92446896	0	101	22824	0	8308	0.47647	0.46	0.29836	0.377004	0.217391	0.727273	0	0	0.882503	0.239436	0.221499
MUN_FAM2_TOTALMDC1A1_04_R1	0.964774	1	0	0	0.0023232	0.966555	0.962992	0.00228753	0.002359	0.814429	0.948698	0.844166	0.107049	0.0214113	0.951215	0.0273735	0.852299	0.10504	0.016849	0.957339	0.0258119	0	0.0210575	0	0.0165531	0.983606	0.280393	2071946	102661	0	10555898	175753	1243811667	1239226671	12314967	12269571	2845255	2923334	177674	10544539	20753425	0	23323298	526387	23385186	672965	2631761	1889886	1261240	0	24584538	24584538	5768589	24575714	0	0	24584538	517690	2483038338	12250182	27554128	25482182	0	101	19902	0	2983	0.467577	0.444444	0.29727	0.369646	0.206897	0.714286	0	0	0.997035	0.333333	0.293007
MUN_FAM2_TOTALMDC1A1_05_R1	0.989826	1	0	0	0.00202518	0.991086	0.988566	0.00201681	0.00203358	0.909607	0.938423	0.918956	0.0437128	0.017087	0.962669	0.0202444	0.929458	0.0409452	0.0121874	0.970403	0.0174091	0	0.0197781	0	0.0161272	0.984513	0.374051	8508504	882731	0	35335557	558341	4277041344	4266164856	42346944	42239256	8625977	8675578	579205	35492887	77730981	0	79377602	1445321	81428483	1712396	3697502	4750810	5208598	0	84586200	84586200	17301555	84521614	0	0	84586200	1672953	8543206200	42148439	93964112	85455608	0	101	22749	0	8003	0.546281	0.571429	0.295312	0.365836	0.298851	0.8	0	0	0.938137	0.269312	0.250031
MUN_FAM3_PARTIALMDC1A1_02_R1	0.981813	1	0	0	0.00210864	0.983516	0.98011	0.00200448	0.00221316	0.878163	0.941276	0.89443	0.0642045	0.0200997	0.958634	0.0212663	0.906801	0.0613434	0.0134278	0.968144	0.0184279	0	0.0211404	0	0.0166993	0.983831	0.386001	4902411	272790	0	17393150	286008	2088108845	2080877346	20674345	20602746	4185574	4605305	295386	17402529	36919451	0	38853123	829656	39569624	877811	2650173	2665969	2423968	0	41277091	41277091	8790879	41267558	0	0	41277091	872616	4168986191	20562793	46944103	42041692	0	101	20887	0	4569	0.478825	0.465517	0.303553	0.393656	0.206107	0.736842	0	0	0.956337	0.296678	0.271447
MUN_FAM3_PARTIALMDC1A1_03_R1	0.984237	1	0	0	0.00211526	0.986056	0.982417	0.00209862	0.00213196	0.848915	0.938583	0.862511	0.0915303	0.0191445	0.954042	0.026814	0.869887	0.0898578	0.0156762	0.959745	0.0245786	0	0.0181038	0	0.0164502	0.983451	0.293005	6085435	981373	0	32569830	547487	3833147152	3819000587	37951952	37811887	8044329	8141959	544740	32535877	65347163	0	71110625	1450458	72281849	2031532	6934686	4364343	4653214	0	75763839	75763839	16186288	75728571	0	0	75763839	1371613	7652147739	37707987	83062703	76977268	0	101	22684	0	7520	0.491035	0.489855	0.295945	0.378022	0.230769	0.73913	0	0	0.895888	0.243384	0.229595
MUN_FAM3_PARTIALMDC1A1_05_R1	0.950448	1	0	0	0.00217149	0.950044	0.950853	0.00210861	0.00223431	0.882766	0.927891	0.928789	0.03163	0.0235266	0.960419	0.0160542	0.953559	0.0227166	0.00964726	0.976276	0.0140772	0	0.0203613	0	0.0203249	0.981202	0.379191	6007755	77174	0	10120179	195139	1245033767	1246094570	12327067	12337570	2625285	2784167	209959	10185461	22908247	0	22886087	580276	23688389	395972	780142	2848920	1778550	0	24664637	24664637	5409452	24663999	0	0	24664637	502205	2491128337	12263304	31958283	25950528	0	101	17008	0	2487	0.42872	0.380952	0.300756	0.343987	0.164179	0.6625	0	0	1.18809	0.395229	0.364398
