Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MUN_FAM1_CTRL_01_R1	48351290.0	202.0	44410106.0	91.85	200.55	33504302.0	33503975.0	33095375.0	383056.0	15606.0	10265.0	0.19	0.01	1.59	0.01	1.49	2646034.0	5.47	2578.0	0.01	0.01	0.28	0.05	38017	1064471	190084
MUN_FAM1_CTRL_02_R1	26790304.0	202.0	24312084.0	90.75	201.0	20825544.0	20825469.0	20604091.0	206537.0	8234.0	6682.0	0.19	0.0	1.47	0.0	1.49	1887455.0	7.05	5514.0	0.02	0.01	1.23	0.05	4537	558030	22684
MUN_FAM1_CTRL_03_R1	39215304.0	202.0	36566571.0	93.25	200.86	27721232.0	27720975.0	27442144.0	249336.0	12738.0	17014.0	0.19	0.01	1.63	0.01	1.53	1753423.0	4.47	1650.0	0.0	0.01	0.57	0.07	13749	783671	96240
MUN_FAM1_CTRL_04_R1	38899214.0	202.0	34251595.0	88.05	200.81	31410843.0	31410694.0	31078485.0	310871.0	14580.0	6907.0	0.21	0.01	1.48	0.0	1.46	3955554.0	10.17	9955.0	0.03	0.01	0.79	0.04	8120	641508	32481
MUN_FAM2_TOTALMDC1A1_02_R1	53626751.0	202.0	50040317.0	93.31	200.77	32527917.0	32527581.0	32204182.0	295618.0	17395.0	10722.0	0.22	0.01	1.71	0.01	1.55	2550874.0	4.76	4346.0	0.01	0.02	0.79	0.06	23706	936390	71118
MUN_FAM2_TOTALMDC1A1_03_R1	46214218.0	202.0	41027811.0	88.78	200.69	32827267.0	32827026.0	32517536.0	278633.0	17967.0	13131.0	0.2	0.01	1.67	0.01	1.56	4194855.0	9.08	12059.0	0.03	0.01	0.74	0.04	12399	917500	49595
MUN_FAM2_TOTALMDC1A1_04_R1	12738163.0	202.0	11758513.0	92.31	200.7	6390920.0	6390807.0	6325315.0	58413.0	4715.0	2477.0	0.21	0.01	1.82	0.01	1.57	506472.0	3.98	1310.0	0.01	0.02	3.1	0.06	2968	459997	8903
MUN_FAM2_TOTALMDC1A1_05_R1	42719378.0	202.0	39946028.0	93.51	200.91	29107119.0	29106906.0	28844363.0	241029.0	13652.0	8075.0	0.19	0.01	1.59	0.01	1.54	2001261.0	4.68	1936.0	0.0	0.01	0.6	0.06	11495	689689	68969
MUN_FAM3_PARTIALMDC1A1_01_R1	138172974.0	202.0	129908861.0	94.02	200.79	95435220.0	95434430.0	94339745.0	1006423.0	53481.0	35571.0	0.18	0.01	1.61	0.01	1.52	6187333.0	4.48	8411.0	0.01	0.01	0.8	0.08	23240	1859208	185921
MUN_FAM3_PARTIALMDC1A1_02_R1	21016322.0	202.0	19578742.0	93.16	200.76	14814548.0	14814423.0	14673777.0	128804.0	7132.0	4835.0	0.19	0.01	1.66	0.01	1.54	973562.0	4.63	1067.0	0.01	0.01	1.38	0.06	3193	440602	19157
MUN_FAM3_PARTIALMDC1A1_03_R1	38478690.0	202.0	35859079.0	93.19	200.69	20242741.0	20242451.0	20002374.0	220091.0	12995.0	7281.0	0.19	0.01	1.89	0.01	1.53	1642750.0	4.27	3968.0	0.01	0.01	1.02	0.07	8844	902137	61911
MUN_FAM3_PARTIALMDC1A1_05_R1	12972899.0	202.0	11529253.0	88.87	200.8	8784304.0	8784239.0	8697172.0	79338.0	5120.0	2674.0	0.2	0.0	1.53	0.0	1.49	818710.0	6.31	500.0	0.0	0.03	4.34	0.05	4238	613134	7064
MUN_FAM4_ATYPICALMDC1A_01_R1	34328325.0	202.0	32135621.0	93.61	200.77	23395711.0	23395470.0	23186941.0	190054.0	11335.0	7381.0	0.19	0.01	1.7	0.01	1.59	1464133.0	4.27	2468.0	0.01	0.01	0.52	0.08	11903	618973	95227
MUN_FAM4_ATYPICALMDC1A_01_R2	117366126.0	202.0	106831044.0	91.02	200.67	84798475.0	84797752.0	83926922.0	783783.0	53009.0	34761.0	0.17	0.01	1.64	0.01	1.57	8636963.0	7.36	29880.0	0.03	0.01	0.73	0.06	23353	1704768	140118
MUN_FAM4_ATYPICALMDC1A_01_R3	43907967.0	202.0	40305337.0	91.8	200.78	31747073.0	31746845.0	31457698.0	260013.0	18233.0	11129.0	0.19	0.01	1.68	0.01	1.57	2723269.0	6.2	4859.0	0.01	0.01	0.71	0.05	11357	806359	56786
MUN_FAM5_SIBLINGMDC1A_01_R1	33568363.0	202.0	31171165.0	92.86	200.57	24159449.0	24159219.0	23925969.0	213843.0	12878.0	6759.0	0.2	0.01	1.67	0.01	1.56	1645747.0	4.9	2419.0	0.01	0.02	0.61	0.06	21711	662188	65133
MUN_FAM5_SIBLINGMDC1A_01_R2	34314732.0	202.0	32149666.0	93.69	200.82	24772713.0	24772499.0	24525106.0	230052.0	10688.0	6867.0	0.19	0.01	1.64	0.01	1.55	1503223.0	4.38	2244.0	0.01	0.01	0.48	0.06	11993	575650	71956
MUN_FAM5_SIBLINGMDC1A_01_R3	35157958.0	202.0	31856404.0	90.61	200.83	24335721.0	24335505.0	24106833.0	210332.0	11325.0	7231.0	0.18	0.01	1.64	0.01	1.55	1754368.0	4.99	2955.0	0.01	0.02	3.15	0.06	9562	1505984	28685
