Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RP-1314_HK088-001	RP-1314_HK088-001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	94445284.0	0.0	101.0	47.0	63.91061503633484	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1418_BEG_1111-1	RP-1418_BEG_1111-1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	143603981.0	0.0	101.0	50.0	37.77776314806954	101.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
RP-1418_BEG_1435-01	RP-1418_BEG_1435-01.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	147734624.0	0.0	101.0	51.0	39.46718709302963	101.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
RP-1512_HK060-0154	RP-1512_HK060-0154.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	125025163.0	0.0	101.0	50.0	21.46941174406931	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
RP-1903_HK-006	RP-1903_HK-006.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	258648407.0	0.0	101.0	49.0	49.71506024730389	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_HK-010	RP-1903_HK-010.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	212993113.0	0.0	101.0	48.0	54.911036811990044	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-015	RP-1903_HK-015.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	224325562.0	0.0	101.0	49.0	53.679232808018874	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-022	RP-1903_HK-022.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	239983106.0	0.0	101.0	47.0	53.32965300525612	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-025	RP-1903_HK-025.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	274614633.0	0.0	101.0	49.0	36.62210012975571	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_HK-032	RP-1903_HK-032.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	290206561.0	0.0	101.0	48.0	49.78577721829468	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
RP-1903_HK-035	RP-1903_HK-035.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	275029343.0	0.0	101.0	48.0	50.23995470838331	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-047	RP-1903_HK-047.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	227456986.0	0.0	101.0	49.0	51.86509535312668	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-061	RP-1903_HK-061.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	177558440.0	0.0	101.0	48.0	56.94652623233634	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-070	RP-1903_HK-070.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	118086691.0	0.0	101.0	50.0	57.72861950706375	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
RP-1903_HK-071-001	RP-1903_HK-071-001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	357645328.0	0.0	101.0	50.0	51.27696047106486	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-071-004	RP-1903_HK-071-004.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	102851614.0	0.0	101.0	50.0	57.01451683669732	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-073	RP-1903_HK-073.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	270005716.0	0.0	101.0	48.0	51.43898750137497	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
