Module	Section	Sample Name	Source
STAR	SummaryLog	RP-1903_HK-119	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-119.Log.final.out
STAR	SummaryLog	RP-1903_HK-070	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-070.Log.final.out
STAR	SummaryLog	RP-1903_HK-124	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-124.Log.final.out
STAR	SummaryLog	RP-1903_HK-133	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-133.Log.final.out
STAR	SummaryLog	RP-2034_RGP_554_3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-2034_RGP_554_3.Log.final.out
STAR	SummaryLog	RP-1903_HK-087	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-087.Log.final.out
STAR	SummaryLog	RP-1903_HK-010	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-010.Log.final.out
STAR	SummaryLog	RP-1903_HK-073	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-073.Log.final.out
STAR	SummaryLog	RP-1903_HK-134	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-134.Log.final.out
STAR	SummaryLog	RP-1903_HK-127	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-127.Log.final.out
STAR	SummaryLog	RP-1903_HK-114	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-114.Log.final.out
STAR	SummaryLog	RP-1903_HK-107	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-1903_HK-107.Log.final.out
STAR	SummaryLog	RP-2034_RGP_552_3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/multiqc/data/batch_2020_04/star/RP-2034_RGP_552_3.Log.final.out
