Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
RP-1418_BEG_1111-1	64332032.0	202.0	59678879.0	92.77	200.58	54558620.0	54558247.0	53990999.0	510779.0	32399.0	24443.0	0.16	0.01	1.66	0.0	1.54	3499045.0	5.44	6062.0	0.01	0.01	0.31	0.06	30212	936564	181270
RP-1418_BEG_1435-01	65318984.0	202.0	60539696.0	92.68	200.61	57491765.0	57491446.0	56815706.0	614277.0	23119.0	38663.0	0.17	0.01	1.65	0.0	1.56	3575722.0	5.47	3761.0	0.01	0.01	0.27	0.06	35288	952786	211730
RP-1512_HK060-0154	57489775.0	202.0	53114902.0	92.39	200.11	42248050.0	42247599.0	41711193.0	503162.0	21570.0	12125.0	0.17	0.01	1.58	0.0	1.51	2806232.0	4.88	2148.0	0.0	0.02	2.03	0.05	14919	1514277	37297
RP-1903_HK-006	119174945.0	202.0	112873531.0	94.71	201.02	101551340.0	101550584.0	100633142.0	805755.0	78874.0	33569.0	0.17	0.01	1.8	0.01	1.67	5218659.0	4.38	9121.0	0.01	0.01	0.2	0.06	39764	795284	238585
RP-1903_HK-010	98623203.0	202.0	93607596.0	94.91	201.02	82581261.0	82580772.0	81810909.0	667772.0	74198.0	28382.0	0.18	0.01	1.82	0.01	1.69	4023707.0	4.08	7351.0	0.01	0.01	0.23	0.06	32818	754821	196910
RP-1903_HK-015	102353522.0	202.0	96738120.0	94.51	200.92	87087479.0	87087008.0	86280034.0	698559.0	77969.0	30917.0	0.16	0.01	1.83	0.01	1.6	4447694.0	4.35	6279.0	0.01	0.01	0.22	0.05	41480	912551	207398
RP-1903_HK-022	111105129.0	202.0	105496087.0	94.95	201.01	90389565.0	90389121.0	89535144.0	729869.0	93807.0	30745.0	0.16	0.01	1.79	0.01	1.59	4433416.0	3.99	8454.0	0.01	0.01	0.2	0.06	43229	864572	259372
RP-1903_HK-025	128876946.0	202.0	121379717.0	94.18	200.83	98844421.0	98843764.0	97957690.0	770231.0	80854.0	35646.0	0.17	0.01	1.84	0.01	1.61	5158460.0	4.0	10832.0	0.01	0.01	0.42	0.06	47509	1995375	285054
RP-1903_HK-032	134588418.0	202.0	127105243.0	94.44	200.87	112022390.0	112021497.0	110946120.0	936289.0	98613.0	41368.0	0.17	0.01	1.82	0.01	1.57	5623804.0	4.18	10529.0	0.01	0.01	0.22	0.06	63753	1402570	382519
RP-1903_HK-035	127763452.0	202.0	121211158.0	94.87	201.06	105922307.0	105921720.0	104893343.0	888886.0	96834.0	43244.0	0.16	0.01	1.85	0.01	1.62	5111827.0	4.0	8311.0	0.01	0.01	0.18	0.07	55083	991493	385580
RP-1903_HK-047	104551268.0	202.0	98902817.0	94.6	200.94	88333948.0	88333419.0	87466340.0	741593.0	98171.0	27844.0	0.18	0.01	1.73	0.01	1.64	4444904.0	4.25	6927.0	0.01	0.01	0.18	0.07	46024	828429	322167
RP-1903_HK-061	81890145.0	202.0	77624240.0	94.79	201.05	69548466.0	69548033.0	68928033.0	533665.0	63849.0	22919.0	0.16	0.01	1.83	0.01	1.66	3329540.0	4.07	5425.0	0.01	0.01	0.17	0.06	38789	659416	232735
RP-1903_HK-070	52161601.0	202.0	48957541.0	93.86	200.48	45250185.0	45249984.0	44879981.0	316249.0	39060.0	14895.0	0.16	0.01	1.83	0.01	1.66	2606221.0	5.0	3188.0	0.01	0.01	0.2	0.05	22871	457424	114356
RP-1903_HK-071-001	158018584.0	202.0	147134877.0	93.11	200.95	139987180.0	139985994.0	138804036.0	1042654.0	100024.0	40466.0	0.16	0.01	1.81	0.01	1.72	8612692.0	5.45	17257.0	0.01	0.01	0.38	0.05	51222	1946427	256109
RP-1903_HK-071-004	45919323.0	202.0	43149605.0	93.97	200.64	38700195.0	38699953.0	38400160.0	258175.0	30483.0	11377.0	0.18	0.01	1.94	0.01	1.66	2266193.0	4.94	1783.0	0.0	0.01	0.26	0.05	15679	407665	78397
RP-1903_HK-073	124382135.0	202.0	117976887.0	94.85	200.93	104083812.0	104083079.0	103140931.0	810497.0	94280.0	38104.0	0.18	0.01	1.77	0.01	1.63	5232598.0	4.21	8560.0	0.01	0.01	0.22	0.06	40141	883103	240846
RP-1903_HK-075	116335357.0	202.0	109973609.0	94.53	200.89	96541600.0	96541099.0	95650153.0	770538.0	87441.0	33468.0	0.17	0.01	1.8	0.01	1.6	4886068.0	4.2	8718.0	0.01	0.01	0.21	0.06	52392	1100221	314349
RP-1903_HK-081	119954694.0	202.0	113596761.0	94.7	201.02	102893545.0	102892613.0	101978202.0	789079.0	91345.0	34919.0	0.16	0.01	1.76	0.01	1.63	5225887.0	4.36	7515.0	0.01	0.01	0.21	0.05	41649	874635	208246
RP-1903_HK-085	138647296.0	202.0	130716259.0	94.28	200.85	114198084.0	114197358.0	113137418.0	919786.0	102598.0	38282.0	0.17	0.01	1.8	0.01	1.58	6123428.0	4.42	8218.0	0.01	0.01	0.35	0.06	42843	1499492	257056
RP-1903_HK-087	122643342.0	202.0	115375129.0	94.07	200.87	102254084.0	102253509.0	101352843.0	766144.0	98820.0	36277.0	0.17	0.01	1.73	0.01	1.57	5237913.0	4.27	7498.0	0.01	0.01	0.3	0.06	54670	1640110	328022
RP-1903_HK-095	120040030.0	202.0	111797567.0	93.13	200.7	87782756.0	87782025.0	86879778.0	786615.0	79506.0	36857.0	0.16	0.01	1.71	0.01	1.67	5062145.0	4.22	7115.0	0.01	0.01	1.07	0.05	28081	3004714	140407
RP-1903_HK-100	138233048.0	202.0	129163706.0	93.44	200.87	110129218.0	110128390.0	109145245.0	828096.0	127259.0	28618.0	0.17	0.01	1.78	0.01	1.72	6476638.0	4.69	11576.0	0.01	0.01	0.26	0.06	78216	2033616	469296
RP-1903_HK-104	106047641.0	202.0	99555343.0	93.88	200.99	91883676.0	91883116.0	91054459.0	716839.0	84370.0	28008.0	0.17	0.01	1.78	0.01	1.63	5035441.0	4.75	8009.0	0.01	0.01	0.18	0.06	57954	1043171	347724
RP-1903_HK-107	113795950.0	202.0	107974351.0	94.88	200.96	94559428.0	94558735.0	93694455.0	751432.0	81578.0	31963.0	0.17	0.01	1.78	0.01	1.66	4645111.0	4.08	7788.0	0.01	0.01	0.18	0.07	44950	809100	314650
RP-1903_HK-108	124349413.0	202.0	117758839.0	94.7	200.99	104526499.0	104525865.0	103566461.0	830397.0	96476.0	33165.0	0.16	0.01	1.83	0.01	1.64	5207514.0	4.19	10624.0	0.01	0.01	0.18	0.07	52786	950148	369502
RP-1903_HK-114	47340522.0	202.0	44569143.0	94.15	200.68	40788309.0	40788142.0	40447338.0	288841.0	38761.0	13369.0	0.16	0.01	1.88	0.01	1.63	2270954.0	4.8	2680.0	0.01	0.01	0.25	0.05	16056	401407	80281
RP-1903_HK-115	125116867.0	202.0	118489849.0	94.7	200.97	103937839.0	103937262.0	102954012.0	850900.0	95777.0	37150.0	0.17	0.01	1.77	0.01	1.68	5193134.0	4.15	7242.0	0.01	0.01	0.2	0.07	50952	1019030	356660
RP-1903_HK-116	103095076.0	202.0	97302653.0	94.38	200.81	87114945.0	87114324.0	86313555.0	689273.0	82615.0	29502.0	0.17	0.01	1.81	0.01	1.6	4353678.0	4.22	8646.0	0.01	0.01	0.18	0.06	57204	1029671	343224
RP-1903_HK-119	112379863.0	202.0	106348018.0	94.63	201.08	99091716.0	99090989.0	98207676.0	765504.0	85396.0	33140.0	0.16	0.01	1.81	0.01	1.71	5069522.0	4.51	8275.0	0.01	0.01	0.19	0.06	36694	697189	220165
RP-1903_HK-124	127486863.0	202.0	120806565.0	94.76	201.03	108399018.0	108398281.0	107421458.0	854398.0	87422.0	35740.0	0.17	0.01	1.82	0.01	1.64	5380012.0	4.22	7315.0	0.01	0.01	0.21	0.07	44585	936289	312096
RP-1903_HK-126	145225149.0	202.0	138073000.0	95.08	200.98	120543091.0	120542505.0	119360203.0	1013246.0	126638.0	43004.0	0.17	0.01	1.78	0.01	1.58	5755948.0	3.96	13660.0	0.01	0.01	0.17	0.05	60110	1021878	300552
RP-1903_HK-127	111842198.0	202.0	106338498.0	95.08	200.99	93272892.0	93272199.0	92388023.0	763723.0	89394.0	31752.0	0.17	0.01	1.77	0.01	1.54	4472134.0	4.0	7858.0	0.01	0.01	0.19	0.07	37915	720387	265406
RP-1903_HK-131	108089581.0	202.0	102589571.0	94.91	201.03	88772552.0	88772048.0	87932480.0	734488.0	74042.0	31542.0	0.16	0.01	1.81	0.01	1.61	4472151.0	4.14	9196.0	0.01	0.01	0.2	0.07	36381	727616	254666
RP-1903_HK-133	40342088.0	202.0	37920481.0	94.0	200.38	34093310.0	34093210.0	33809678.0	243487.0	28930.0	11215.0	0.18	0.01	2.04	0.01	1.69	1891269.0	4.69	2021.0	0.01	0.01	0.29	0.05	15095	437748	75474
RP-1903_HK-134	121625184.0	202.0	114976083.0	94.53	200.92	87929627.0	87928859.0	87104643.0	687692.0	108934.0	28358.0	0.17	0.01	1.84	0.01	1.8	5112653.0	4.2	12392.0	0.01	0.01	0.27	0.06	44825	1210280	268951
