Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
1179-1	36427736.0	39268318.0	1273566.0	6131195.0	8019763.0
1179-1-chr22	769142.0	863418.0	33666.0	66038.0	85875.0
1211-1	71472620.0	74907217.0	2852514.0	24140380.0	18905473.0
1258-1	83240533.0	86589494.0	2805650.0	18295653.0	16199230.0
126BG_CB_M1	23452271.0	22242350.0	1033957.0	6919862.0	3403611.0
146BO_JB_M1	22522886.0	21830946.0	847667.0	4689201.0	2693269.0
149BP_AB_M1	53483753.0	51982340.0	1860402.0	12750153.0	3623681.0
153BR_JB_M1	27227195.0	26018650.0	895361.0	5326818.0	3169824.0
163BV_JE_M1	23369867.0	22667229.0	846375.0	5017228.0	2855509.0
164BW_KC_M1	27432671.0	26052959.0	949864.0	5462368.0	2995446.0
167BZ_SP_M1	28546939.0	26807084.0	1118419.0	5699510.0	2464759.0
204H_AM_M1	25736856.0	25160787.0	1013161.0	6245442.0	2985526.0
205E_BD_M1	25677068.0	24446115.0	888201.0	6005053.0	3280450.0
210DB_BW_M1	20668649.0	22938441.0	907355.0	3933698.0	3180703.0
227DJ_JP_M1	23513329.0	22456579.0	814064.0	5377334.0	2748112.0
247DT_SH_M1	27119866.0	26343158.0	905270.0	5032623.0	3347526.0
250DV_LR_M1	14955278.0	15382159.0	604249.0	2512791.0	671572.0
251DW_SD_M1	13920900.0	14677378.0	545426.0	2223277.0	564818.0
252DX_DC_M1	16095300.0	15928955.0	573642.0	2590445.0	722395.0
253DY_HA_M1	13024511.0	14443744.0	503361.0	1867777.0	547379.0
254DZ_WP_M1	30096052.0	31671558.0	1022319.0	4711344.0	1315477.0
255EA_GC_M1	14204424.0	13912055.0	592605.0	2093782.0	647421.0
26I_SK_M1	17463334.0	18144765.0	620254.0	2733474.0	749115.0
361AL_CC_M1	25752681.0	24549178.0	906837.0	5862566.0	3283938.0
373HQ_BTG_M1	39856405.0	44115339.0	1551524.0	5678824.0	4366165.0
37L_NA_M1	25730811.0	316799.0	1578771.0	6683515.0	974476.0
41M_MW_M1	26811879.0	25167846.0	1263147.0	3489156.0	1305993.0
431-1_A_3	36217719.0	2943125.0	2174438.0	3623198.0	1131626.0
431-2_A_2	29098219.0	3030603.0	1605297.0	2470917.0	922667.0
432-3_A_2	31884170.0	2252616.0	1741687.0	2115202.0	801090.0
437-2_A_2	35050838.0	2570077.0	1835430.0	2227955.0	791029.0
437-3_A_2	33337446.0	3230069.0	2050998.0	2270232.0	850062.0
447-3_A_3	41294738.0	3230053.0	2344487.0	4073737.0	1352079.0
46N_RL_M1	34691559.0	34765973.0	1164956.0	5234448.0	1950206.0
65T_CR_M1	29532630.0	30136682.0	1129753.0	5012571.0	1324846.0
81AB_MM_M1	27789900.0	26975941.0	939775.0	6076856.0	3067369.0
9C_DH_M1	31755396.0	32638584.0	1231191.0	5392550.0	1414778.0
B09-24-1RNA_UNKNOWN	66489823.0	69514254.0	2415513.0	11259588.0	11742968.0
B09-25-1RNA	12968201.0	13643087.0	436297.0	2212419.0	1068259.0
B09-40-1M	25222628.0	24010024.0	866167.0	5363933.0	2360979.0
B10-02-1RNA	38173110.0	40213918.0	1423942.0	6767030.0	4533291.0
B11-11-1M	21086077.0	20980634.0	800904.0	2582598.0	2172914.0
B11-25-1M	38582996.0	40044109.0	1499741.0	5876240.0	3327199.0
B11-48-1M	26357344.0	25130737.0	949499.0	4584227.0	2261996.0
B12-21-1M	28508777.0	27384597.0	931496.0	6358644.0	2494054.0
B12-30RNA	69835983.0	64191146.0	2801049.0	7880647.0	7606571.0
B13-07-1M	52848041.0	53511600.0	1763579.0	10328830.0	4230464.0
B13-07-1RNA	12302814.0	12458982.0	436843.0	1890875.0	805102.0
B13-15RNA	17691428.0	19462839.0	666916.0	2282616.0	1511595.0
B13-52-1M	24133541.0	23987357.0	942256.0	3687942.0	2182789.0
B14-07RNA	16554553.0	16935946.0	631774.0	2474155.0	549741.0
B14-117-1RNA-2	14456335.0	15069191.0	538781.0	2617167.0	553141.0
B14-130-1M	27244860.0	26625679.0	977391.0	5163127.0	2266533.0
B14-48-1RNA	11205140.0	12545010.0	447848.0	1946344.0	650478.0
B14-70-1RNA	13668679.0	14205600.0	484807.0	2027428.0	458605.0
B14-78-1-U	32879125.0	32120183.0	1279408.0	5122832.0	2679504.0
B15-15_1_1	129636410.0	6568498.0	4669353.0	7273573.0	3062258.0
B15-25_1_2	7032789.0	322634.0	593118.0	597671.0	2102712.0
B15-28_1_1	133980889.0	5832590.0	5160186.0	8053193.0	4174192.0
B16-47_1_2	21556332.0	797155.0	1784211.0	1858349.0	1901671.0
B16-48_1_1	100858400.0	5994000.0	3982325.0	6719825.0	2919742.0
BB0280_CH_AffF_2	29582981.0	1258099.0	1361466.0	1277245.0	419646.0
BEG_1025-1_T999_R1	57427909.0	1308378.0	2636077.0	3418376.0	1979292.0
BEG_1078-1_T1071_R1	76825013.0	1859999.0	3632608.0	5136244.0	2086045.0
BEG_1230-1_T1227_R1	34271510.0	1185588.0	1575177.0	2329263.0	1208803.0
BEG_14-4_T65_R1	50817713.0	1843179.0	2108312.0	3398028.0	1778902.0
BEG_1438-1_T1339_R1	58247472.0	1912382.0	2496988.0	3308593.0	1829675.0
BEG_851-1_T840_R1	62932191.0	2629282.0	3100484.0	5204041.0	2394116.0
BEG_887-1_T1240_R1	59361441.0	2084320.0	3180520.0	5861817.0	2364813.0
BEG_916-1_T916_R1	54707232.0	1505492.0	2210501.0	3354905.0	1600057.0
BON_B09-27-1_1	25449936.0	1286101.0	1123277.0	1501619.0	1366132.0
BON_B12-33-2_1	25523113.0	1436833.0	1213142.0	1453032.0	1413009.0
BON_B12-71_2_R1	90157510.0	2733719.0	3215441.0	6813417.0	1294357.0
BON_B12-74-1_1	25855155.0	1460036.0	1054515.0	1530806.0	1364344.0
BON_B12-76-1_2	34022912.0	2159187.0	1455295.0	1913717.0	2283756.0
BON_B13-55_1_2	85037557.0	5465046.0	3319436.0	6118493.0	2376754.0
BON_B14-163-1_2	27277520.0	2351602.0	1111462.0	1451557.0	729122.0
BON_B14-20_1	20435903.0	1126187.0	1152528.0	1443424.0	1222987.0
BON_B14-51_1_2	46384245.0	1181565.0	1722732.0	2552976.0	918109.0
BON_B14-60-1_2	39648614.0	3160395.0	1814930.0	2232894.0	1587157.0
BON_B14-71-2_1	23167822.0	2834320.0	1194836.0	1325841.0	1309361.0
BON_B14-75-1_1	22350060.0	2914526.0	961987.0	1472328.0	1270378.0
BON_B15-118_1	36140590.0	2776615.0	1630134.0	1919999.0	817646.0
BON_B15-125_1_2	65140999.0	1771152.0	2747237.0	3818459.0	1474596.0
BON_B15-26_1_1	46253274.0	1061097.0	1705608.0	2027049.0	840436.0
BON_B15-76-2_2	37260310.0	3394616.0	1603407.0	1962679.0	966849.0
