Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1179-1	88.84	76969620.0	35.963547847022454	49.0	76.0	18.181818181818183	179056715.0
1179-1-chr22	95.26	1666226.0					
1211-1	81.55	149232351.0	45.41613617410325	49.0	76.0	18.181818181818183	381837666.0
1258-1	86.64	172635677.0	46.98009779274535	50.0	76.0	18.181818181818183	411949605.0
126BG_CB_M1	82.85	46728578.0	46.785145489183876	51.0	76.0	9.090909090909092	120209409.0
146BO_JB_M1	86.92	45201499.0	49.352722415983386	51.0	76.0	9.090909090909092	108497179.0
149BP_AB_M1	87.11	107326495.0	66.6727487121207	50.0	76.0	18.181818181818183	259015819.0
153BR_JB_M1	87.23	54141206.0	48.197110353717534	51.0	76.0	9.090909090909092	129835716.0
163BV_JE_M1	86.49	46883471.0	50.004498589143715	51.0	76.0	18.181818181818183	113282647.0
164BW_KC_M1	87.37	54435494.0	48.971709671070684	51.0	76.0	9.090909090909092	129921967.0
167BZ_SP_M1	88.46	56472442.0	62.949895017108574	50.0	76.0	18.181818181818183	133645376.0
193CP_LS_R1			81.66678751361104	49.0	101.0	9.090909090909092	265438919.0
204H_AM_M1	85.74	51910804.0	48.83134580566908	50.0	76.0	9.090909090909092	126601724.0
205E_BD_M1	85.46	51011384.0	50.50082247277899	51.0	76.0	18.181818181818183	125659965.0
210DB_BW_M1	87.43	44514445.0	45.745853927394734	49.0	76.0	9.090909090909092	106309587.0
227DJ_JP_M1	86.06	46783972.0	49.55315345204391	50.0	76.0	9.090909090909092	113872398.0
247DT_SH_M1	87.5	54368294.0	49.50109878136141	51.0	76.0	9.090909090909092	129264037.0
250DV_LR_M1	91.21	30941686.0	67.05652213968297	49.0	76.0	36.36363636363637	70885955.0
