Sample	Unique Reads	Duplicate Reads
1179-1	114661568.0	64395147.0
1211-1	208421752.0	173415914.0
1258-1	218415278.0	193534327.0
126BG_CB_M1	63969263.0	56240146.0
146BO_JB_M1	54950868.0	53546311.0
149BP_AB_M1	86322853.0	172692966.0
153BR_JB_M1	67258653.0	62577063.0
163BV_JE_M1	56636228.0	56646419.0
164BW_KC_M1	66296959.0	63625008.0
167BZ_SP_M1	49515753.0	84129623.0
193CP_LS	48663482.0	216775437.0
204H_AM_M1	64780399.0	61821325.0
205E_BD_M1	62200650.0	63459315.0
210DB_BW_M1	57677359.0	48632228.0
227DJ_JP_M1	57445034.0	56427364.0
247DT_SH_M1	65276919.0	63987118.0
250DV_LR_M1	23352299.0	47533656.0
251DW_SD_M1	26607595.0	39773013.0
252DX_DC_M1	30265024.0	44198704.0
253DY_HA_M1	33760880.0	29394498.0
254DZ_WP_M1	35011523.0	106902496.0
255EA_GC_M1	21055157.0	44025968.0
26I_SK_M1	25880278.0	56014507.0
361AL_CC_M1	62622000.0	62028481.0
373HQ_BTG_M1	92289529.0	103082270.0
37L_NA_M1	58299278.0	19911647.0
41M_MW_M1	49071441.0	70253676.0
431-1_A_3	62341868.0	38984960.0
431-2_A_2	53107610.0	26576026.0
432-3_A_2	53607045.0	28687238.0
437-2_A_2	56433105.0	33560936.0
437-3_A_2	55807065.0	32696129.0
447-3_A_3	68310741.0	44726300.0
46N_RL_M1	47211316.0	112658687.0
49O_NM_M1	251261123.0	400702082.0
65T_CR_M1	31159266.0	107786842.0
81AB_MM_M1	67804906.0	66437013.0
92AI_SM	39013245.0	70244246.0
9C_DH_M1	31498359.0	118583645.0
B09-24-1RNA_UNKNOWN	159203774.0	169077998.0
B09-25-1RNA	20779313.0	42362807.0
B09-40-1M	50145616.0	69311516.0
B10-02-1RNA	84616660.0	102041635.0
B11-11-1M	38958791.0	57340691.0
B11-25-1M	74147169.0	110165834.0
B11-48-1M	47584996.0	73809599.0
B12-21-1M	51717583.0	83813139.0
B12-30RNA	58610639.0	257061162.0
B13-07-1M	106371593.0	144673381.0
B13-07-1RNA	22778130.0	34963864.0
B13-15RNA	37846653.0	47640335.0
B13-52-1M	45379263.0	66415438.0
B14-07RNA	26845167.0	50475638.0
B14-117-1RNA-2	27442649.0	42127752.0
B14-130-1M	53301767.0	75369469.0
B14-48-1RNA	28872394.0	27311294.0
B14-70-1RNA	29566342.0	34747756.0
B14-78-1-U	64498704.0	87241672.0
B15-15_1_1	93336632.0	222351351.0
B15-25_1_2	2766873.0	24309212.0
B15-28_1_1	107499536.0	223243283.0
B16-47_1_2	6110298.0	55837668.0
B16-48_1_1	75158782.0	179114323.0
BB0280_CH_AffF_2	40872695.0	29640729.0
BEG_1025-1_T999	31414064.0	107998682.0
BEG_1078-1_T1071	31077943.0	154267240.0
BEG_1111-1_T1105	46641646.0	88884555.0
BEG_1230-1_T1227	33688175.0	51111755.0
BEG_14-4_T65	48423457.0	77349299.0
BEG_1435-01_T1370	46425893.0	90461768.0
BEG_1438-1_T1339	52780834.0	88458216.0
BEG_851-1_T840	51119465.0	110210090.0
BEG_887-1_T1240	52512030.0	101636648.0
BEG_916-1_T916	45396468.0	87118140.0
BON_B09-27-1_1	28086312.0	36468236.0
BON_B12-33-2_1	28173359.0	36953682.0
BON_B12-71_2	113644194.0	107848387.0
BON_B12-74-1_1	28120556.0	37597964.0
BON_B12-76-1_2	29470201.0	58279293.0
BON_B13-55_1_2	63014138.0	152416639.0
BON_B14-163-1_2	29930150.0	38352791.0
BON_B14-20_1	22450963.0	31196370.0
BON_B14-51_1_2	66156518.0	44067234.0
BON_B14-60-1_2	35348551.0	64509617.0
BON_B14-71-2_1	27859972.0	34702330.0
BON_B14-75-1_1	35595049.0	25434209.0
BON_B15-118_1	29830328.0	60143064.0
BON_B15-125_1_2	76144080.0	81591164.0
BON_B15-26_1_1	60843080.0	46810974.0
BON_B15-76-2_2	46785384.0	47232113.0
BON_B15-98_1_2	62304479.0	61707586.0
BON_B16-19_1	26753456.0	37149223.0
BON_B16-22_1	31292946.0	26534956.0
BON_B16-50_1_2	65153480.0	42960831.0
BON_B16-53-1_1	44746552.0	178683576.0
BON_B16-57_1_2	53149559.0	32875433.0
BON_B16-75-1_2	29161241.0	62179328.0
BON_B16_30_1_1	62554951.0	118603966.0
BON_B16_80_1_1	27531588.0	105614013.0
BON_B17-23_1	26301110.0	237893232.0
BON_B17-28_1	145348672.0	146528173.0
BON_B18-24_1	19555171.0	68479010.0
BON_B18-25_1	16583744.0	76139552.0
BON_B18-54_1	22941895.0	75811874.0
BON_UC219-1_1	26925012.0	31505321.0
BON_UC473_1	27822370.0	35845004.0
CLA_143BN_BB_2	86043036.0	82017447.0
CLA_179CI_GG_2	37435515.0	25001937.0
CLA_180CJ_DP_2	108730574.0	111727150.0
CLA_214DF_AB_2	39285667.0	42721724.0
CLA_329FK_RR_2	28564167.0	42288080.0
CLA_338FT_DM_2	27068448.0	38817752.0
CLA_388HV_XX_1	11886345.0	5774003.0
CLA_62R_CaM_2	699570.0	228024.0
CLA_62R_CaM_3	21322110.0	54468967.0
CLA_79Z_CP_2	29933911.0	30680495.0
HK-006	122463802.0	125507696.0
HK-010	112092409.0	92773400.0
HK-015	114415294.0	98419578.0
HK-022	121453430.0	109067191.0
HK-025	99177023.0	169338125.0
HK-032	138595245.0	141300382.0
HK-035	133088658.0	131664956.0
HK-047	112998126.0	104214983.0
HK-061	96413682.0	73476038.0
HK-070	63065941.0	46284602.0
HK-071-001	165838845.0	165572444.0
HK-071-004	54556268.0	41648525.0
HK-073	132657774.0	125607640.0
HK-075	129989759.0	111976855.0
HK-081	126848536.0	122380572.0
HK-085	144288048.0	145255118.0
HK-087	117746212.0	137501703.0
HK-095	63302521.0	189363934.0
HK-100	112405949.0	174682030.0
HK-104	118753571.0	102226235.0
HK-107	117988670.0	118143013.0
HK-108	132921930.0	125080341.0
HK-114	61575325.0	37419887.0
HK-115	130894371.0	129105905.0
HK-116	107247731.0	106846272.0
HK-119	125936313.0	107683982.0
HK-124	137485377.0	127273087.0
HK-126	151783411.0	149565320.0
HK-127	120576908.0	111581428.0
HK-131	112906858.0	111817390.0
HK-133	51747151.0	33011863.0
HK-134	107118409.0	146119445.0
HK-139	87196336.0	65165659.0
HK006_0016	49565197.0	42315538.0
HK010_0026	97644253.0	98844378.0
HK011_0029	64093694.0	45532886.0
HK018_0047_2	50324575.0	50331879.0
HK024_0065	70487926.0	53846008.0
HK028_0073	63723305.0	47716941.0
HK044_0109	59500237.0	40239688.0
HK044_0110	102407892.0	77925830.0
HK060-0154	25883463.0	96500357.0
HK069-0177_2	30801722.0	62137445.0
HK072-001_2	28755413.0	114449647.0
HK085-001	86004611.0	102013118.0
HK088-001_2	58431084.0	33506671.0
HK101-001	121997887.0	108900685.0
HK106-001	62721014.0	43877585.0
HK117_001	102601050.0	80162919.0
ICCV_458_10CC06258_02	40752353.0	84336983.0
INMR_GB_408	38688624.0	59438696.0
INMR_GI_456	27707470.0	67292416.0
INMR_HW_389	31939033.0	196937596.0
INMR_HZ_401	41360690.0	202384667.0
INMR_IG_561	53104133.0	191309490.0
INMR_IK_581	48784322.0	175784506.0
INMR_IV_615	88899941.0	83810497.0
K1157-1-4	66964370.0	83443625.0
