Sample	Exonic	Intronic	Intergenic
1179-1	0.878704	0.0686445	0.0273633
1211-1	0.866805	0.0519987	0.025585
1258-1	0.88833	0.0542918	0.0223357
126BG_CB_M1	0.899039	0.0240395	0.0477408
146BO_JB_M1	0.91228	0.0291833	0.0364878
149BP_AB_M1	0.909889	0.0311741	0.0314412
153BR_JB_M1	0.913103	0.0313787	0.0375981
163BV_JE_M1	0.911191	0.0309238	0.0343776
164BW_KC_M1	0.925529	0.0231641	0.0296879
167BZ_SP_M1	0.934257	0.0169639	0.024723
193CP_LS	0.905044	0.0525964	0.0211894
204H_AM_M1	0.906191	0.0300715	0.031276
205E_BD_M1	0.907305	0.030164	0.0389749
210DB_BW_M1	0.852722	0.0585551	0.0682128
227DJ_JP_M1	0.913305	0.0286991	0.0320889
247DT_SH_M1	0.91818	0.030089	0.0302557
250DV_LR_M1	0.898615	0.051105	0.0312482
251DW_SD_M1	0.886149	0.0616149	0.0326619
252DX_DC_M1	0.909275	0.0420865	0.030512
253DY_HA_M1	0.860539	0.0840852	0.0354053
254DZ_WP_M1	0.892511	0.061511	0.0223817
255EA_GC_M1	0.92566	0.0330905	0.0232498
26I_SK_M1	0.898033	0.0554752	0.0236569
361AL_CC_M1	0.915856	0.0246195	0.030149
373HQ_BTG_M1	0.863338	0.0836508	0.0303997
37L_NA_M1	0.873315	0.0315498	0.0650428
41M_MW_M1	0.953446	0.01618	0.0163599
431-1_A_3	0.869374	0.0735577	0.0224921
431-2_A_2	0.851313	0.0920758	0.0267893
432-3_A_2	0.889592	0.0645382	0.0202459
437-2_A_2	0.885968	0.066553	0.0214531
437-3_A_2	0.862093	0.0846523	0.0211854
447-3_A_3	0.863995	0.0737639	0.0326166
46N_RL_M1	0.914351	0.0460206	0.0200505
49O_NM_M1	0.910467	0.0446391	0.0205226
65T_CR_M1	0.907472	0.0456639	0.0234989
81AB_MM_M1	0.912989	0.0304205	0.0291487
92AI_SM	0.875034	0.0684202	0.0215083
9C_DH_M1	0.89815	0.0511661	0.0272094
B09-24-1RNA_UNKNOWN	0.881644	0.0626002	0.0266505
B09-25-1RNA	0.8874	0.065005	0.0299224
B09-40-1M	0.919401	0.0270488	0.0369759
B10-02-1RNA	0.874352	0.0692223	0.0276783
B11-11-1M	0.924616	0.0352623	0.0213678
B11-25-1M	0.905914	0.0518527	0.0245525
B11-48-1M	0.937623	0.0183671	0.0224293
B12-21-1M	0.9209	0.023054	0.0334511
B12-30RNA	0.937064	0.032038	0.0158296
B13-07-1M	0.904471	0.0459782	0.0222075
B13-07-1RNA	0.907511	0.0495219	0.0256647
B13-15RNA	0.868066	0.0827379	0.0302164
B13-52-1M	0.919765	0.034294	0.0200912
B14-07RNA	0.900835	0.053138	0.023491
B14-117-1RNA-2	0.886223	0.0597188	0.0321224
B14-130-1M	0.917458	0.0282233	0.0366496
B14-48-1RNA	0.845149	0.0925158	0.0416952
B14-70-1RNA	0.895122	0.0598417	0.0269852
B14-78-1-U	0.931453	0.0254029	0.0250256
B15-15_1_1	0.92361	0.0380376	0.014834
B15-25_1_2	0.917191	0.0224103	0.0172386
B15-28_1_1	0.928379	0.0336446	0.0128309
B16-47_1_2	0.928975	0.0165693	0.0107158
B16-48_1_1	0.909264	0.0450166	0.0197748
BB0280_CH_AffF_2	0.939105	0.0294634	0.0151759
BEG_1025-1_T999	0.955377	0.016303	0.00989418
BEG_1078-1_T1071	0.951273	0.0172997	0.0113537
BEG_1111-1_T1105	0.946548	0.0241931	0.0144437
BEG_1230-1_T1227	0.940206	0.0260749	0.0154206
BEG_14-4_T65	0.938656	0.0295071	0.0147222
BEG_1435-01_T1370	0.955548	0.0180971	0.0132428
BEG_1438-1_T1339	0.944015	0.0248566	0.0143549
BEG_851-1_T840	0.928914	0.0308318	0.0230432
BEG_887-1_T1240	0.931922	0.0278864	0.0223126
BEG_916-1_T916	0.950008	0.02045	0.0134708
BON_B09-27-1_1	0.914546	0.0395239	0.0184869
BON_B09-8_1	0.915804	0.0433385	0.0149259
BON_B09-9_CHX_2	0.924887	0.032016	0.0243537
BON_B12-33-2_1	0.9094	0.0462338	0.0140518
BON_B12-71_2	0.929778	0.0352287	0.0214158
BON_B12-74-1_1	0.911594	0.0425335	0.0174334
BON_B12-76-1_2	0.904064	0.0511132	0.0188742
BON_B13-55_1_2	0.903859	0.0507057	0.016928
BON_B14-163-1_2	0.884253	0.0702781	0.0217209
BON_B14-20_1	0.909145	0.0430283	0.015684
BON_B14-51_1_2	0.944032	0.0268602	0.0143649
BON_B14-60-1_2	0.88873	0.0644629	0.0222292
BON_B14-71-2_1	0.841595	0.0977451	0.0265701
BON_B14-75-1_1	0.835778	0.103821	0.0301533
BON_B14_48_CHX-_1	0.941803	0.0253271	0.0210351
BON_B14_48_CHX_1	0.918843	0.0353024	0.0268017
BON_B15-118_1	0.893846	0.0636572	0.0179169
BON_B15-125_1_2	0.941251	0.0278489	0.015176
BON_B15-26_1_1	0.954713	0.0216028	0.0103739
BON_B15-76-2_2	0.879017	0.0743108	0.0221694
BON_B15-95_CHX_1	0.906431	0.0399247	0.0327928
BON_B15-98_1_2	0.936622	0.0323029	0.0146152
BON_B16-108_CHX-_1	0.942189	0.0282183	0.0171743
BON_B16-108_CHX_1	0.918214	0.0354888	0.0266403
BON_B16-19_1	0.91609	0.0378039	0.0174356
BON_B16-22_1	0.913627	0.0454722	0.0167975
BON_B16-38	0.929636	0.0344786	0.0151282
BON_B16-50_1_2	0.930047	0.0299639	0.0238575
BON_B16-53-1_1	0.891883	0.0358223	0.0181282
BON_B16-57_1_2	0.927207	0.0383077	0.0161829
BON_B16-75-1_2	0.906803	0.0525714	0.0171344
BON_B16_30_1_1	0.936823	0.0243528	0.0134159
BON_B16_80_1_1	0.926937	0.0260024	0.0148181
BON_B17-23_1	0.899366	0.0572086	0.0174856
BON_B17-28_1	0.927442	0.0353197	0.0230391
BON_B17-54_1	0.921844	0.0358477	0.0301606
BON_B18-23_CHX_1	0.908015	0.0416205	0.0301919
BON_B18-24_1	0.916208	0.0461177	0.0142474
BON_B18-25_1	0.906623	0.0520107	0.0150312
BON_B18-37_1	0.927993	0.0363992	0.0227852
