Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
1179-1	65006615.0	5212696.0	6750309.0	6131195.0	8019763.0
1211-1	128237742.0	8161523.0	12833086.0	24140380.0	18905473.0
1258-1	147964023.0	9453562.0	15218092.0	18295653.0	16199230.0
126BG_CB_M1	41795477.0	687121.0	4245980.0	6919862.0	3403611.0
146BO_JB_M1	40299100.0	1141743.0	3760656.0	4689201.0	2693269.0
149BP_AB_M1	95577513.0	2902699.0	8846283.0	12750153.0	3623681.0
153BR_JB_M1	48074694.0	1344168.0	4722344.0	5326818.0	3169824.0
163BV_JE_M1	41704022.0	1201123.0	3978326.0	5017228.0	2855509.0
164BW_KC_M1	49083650.0	913599.0	4438245.0	5462368.0	2995446.0
167BZ_SP_M1	50804610.0	805396.0	4862436.0	5699510.0	2464759.0
193CP_LS	97930439.0	5710398.0	11912716.0	7679668.0	1813384.0
204H_AM_M1	46068290.0	1448558.0	4393956.0	6245442.0	2985526.0
205E_BD_M1	45611594.0	1103365.0	4296425.0	6005053.0	3280450.0
210DB_BW_M1	36265445.0	4031176.0	4217824.0	3933698.0	3180703.0
227DJ_JP_M1	41737700.0	1080663.0	3965609.0	5377334.0	2748112.0
247DT_SH_M1	48502650.0	1493539.0	4372105.0	5032623.0	3347526.0
250DV_LR_M1	26583672.0	1524987.0	2833027.0	2512791.0	671572.0
251DW_SD_M1	24794309.0	1762819.0	2586576.0	2223277.0	564818.0
252DX_DC_M1	28271664.0	1346542.0	2979691.0	2590445.0	722395.0
253DY_HA_M1	23197881.0	2403300.0	2370435.0	1867777.0	547379.0
254DZ_WP_M1	53799268.0	3884461.0	5106200.0	4711344.0	1315477.0
255EA_GC_M1	25024670.0	905352.0	2779062.0	2093782.0	647421.0
26I_SK_M1	31094781.0	2032830.0	3100742.0	2733474.0	749115.0
361AL_CC_M1	45947101.0	999548.0	4262047.0	5862566.0	3283938.0
373HQ_BTG_M1	71326615.0	7223033.0	6973620.0	5678824.0	4366165.0
37L_NA_M1	23740762.0	75189.0	3810430.0	6683515.0	974476.0
41M_MW_M1	46553370.0	779813.0	5909689.0	3489156.0	1305993.0
431-1_A_3	34200489.0	2730398.0	4404395.0	3623198.0	1131626.0
431-2_A_2	27510037.0	2860909.0	3363173.0	2470917.0	922667.0
432-3_A_2	30077565.0	2087489.0	3713419.0	2115202.0	801090.0
437-2_A_2	33067537.0	2385299.0	4003509.0	2227955.0	791029.0
437-3_A_2	31487765.0	3034068.0	4096680.0	2270232.0	850062.0
447-3_A_3	39056284.0	2977736.0	4835258.0	4073737.0	1352079.0
46N_RL_M1	60866303.0	3324369.0	6431816.0	5234448.0	1950206.0
49O_NM_M1	246353217.0	13068725.0	25875931.0	25163661.0	5970797.0
65T_CR_M1	52779314.0	2782417.0	5237334.0	5012571.0	1324846.0
81AB_MM_M1	49615113.0	1483441.0	4607062.0	6076856.0	3067369.0
92AI_SM	37015811.0	2955197.0	4936013.0	3334717.0	1106803.0
9C_DH_M1	56343790.0	3430974.0	5850407.0	5392550.0	1414778.0
B09-24-1RNA_UNKNOWN	117557063.0	8929391.0	11933136.0	11259588.0	11742968.0
B09-25-1RNA	22906156.0	1745039.0	2396390.0	2212419.0	1068259.0
B09-40-1M	44740368.0	1001556.0	4356895.0	5363933.0	2360979.0
B10-02-1RNA	67230482.0	5567020.0	7013468.0	6767030.0	4533291.0
B11-11-1M	37404389.0	1648092.0	3815134.0	2582598.0	2172914.0
B11-25-1M	69362825.0	4031895.0	6732126.0	5876240.0	3327199.0
B11-48-1M	47085681.0	862457.0	4489442.0	4584227.0	2261996.0
B12-21-1M	51286859.0	982759.0	4555252.0	6358644.0	2494054.0
B12-30RNA	119053760.0	4479388.0	13295030.0	7880647.0	7606571.0
B13-07-1M	93734429.0	5097784.0	9291007.0	10328830.0	4230464.0
B13-07-1RNA	21691551.0	1187432.0	2319656.0	1890875.0	805102.0
B13-15RNA	31258903.0	3093732.0	3468548.0	2282616.0	1511595.0
B13-52-1M	43097349.0	1756271.0	4209534.0	3687942.0	2182789.0
B14-07RNA	29166730.0	1826059.0	3129484.0	2474155.0	549741.0
B14-117-1RNA-2	25695932.0	1745374.0	2623001.0	2617167.0	553141.0
B14-130-1M	49003447.0	1370621.0	4473862.0	5163127.0	2266533.0
B14-48-1RNA	19889974.0	2185211.0	2122813.0	1946344.0	650478.0
B14-70-1RNA	24178870.0	1684887.0	2495329.0	2027428.0	458605.0
B14-78-1-U	58639276.0	1757370.0	5882070.0	5122832.0	2679504.0
B15-15_1_1	122399476.0	5541747.0	12933038.0	7273573.0	3062258.0
B15-25_1_2	6886745.0	195036.0	866760.0	597671.0	2102712.0
B15-28_1_1	126564797.0	4834070.0	13574798.0	8053193.0	4174192.0
B16-47_1_2	21177034.0	474252.0	2486412.0	1858349.0	1901671.0
B16-48_1_1	95542129.0	4973719.0	10318877.0	6719825.0	2919742.0
BB0280_CH_AffF_2	27651745.0	1088820.0	3461981.0	1277245.0	419646.0
BEG_1025-1_T999	53646941.0	1004717.0	6720706.0	3418376.0	1979292.0
BEG_1078-1_T1071	72141908.0	1463477.0	8712235.0	5136244.0	2086045.0
BEG_1111-1_T1105	52032235.0	1545124.0	6101520.0	3499045.0	877431.0
BEG_1230-1_T1227	32246894.0	1005787.0	3779594.0	2329263.0	1208803.0
BEG_14-4_T65	47516746.0	1587067.0	5665391.0	3398028.0	1778902.0
BEG_1435-01_T1370	53578736.0	1138295.0	5822665.0	3575722.0	838652.0
BEG_1438-1_T1339	54647170.0	1652496.0	6357176.0	3308593.0	1829675.0
BEG_851-1_T840	58802365.0	2247932.0	7611660.0	5204041.0	2394116.0
BEG_887-1_T1240	55253122.0	1761964.0	7611195.0	5861817.0	2364813.0
BEG_916-1_T916	51508969.0	1245074.0	5669182.0	3354905.0	1600057.0
BON_B09-27-1_1	23826927.0	1078234.0	2954153.0	1501619.0	1366132.0
BON_B12-33-2_1	24023086.0	1236240.0	2913762.0	1453032.0	1413009.0
BON_B12-71_2	85212064.0	2488090.0	8406516.0	6813417.0	1294357.0
BON_B12-74-1_1	24220276.0	1236276.0	2913154.0	1530806.0	1364344.0
BON_B12-76-1_2	32090070.0	1838063.0	3709261.0	1913717.0	2283756.0
BON_B13-55_1_2	80494947.0	4658922.0	8668170.0	6118493.0	2376754.0
BON_B14-163-1_2	25720771.0	2098100.0	2921713.0	1451557.0	729122.0
BON_B14-20_1	19266200.0	939981.0	2508437.0	1443424.0	1222987.0
BON_B14-51_1_2	43513364.0	1079272.0	4695906.0	2552976.0	918109.0
BON_B14-60-1_2	37604811.0	2799850.0	4219278.0	2232894.0	1587157.0
BON_B14-71-2_1	21898380.0	2585268.0	2713330.0	1325841.0	1309361.0
BON_B14-75-1_1	21154051.0	2709041.0	2363481.0	1472328.0	1270378.0
BON_B15-118_1	33956760.0	2475348.0	4115231.0	1919999.0	817646.0
BON_B15-125_1_2	60524285.0	1592676.0	7542427.0	3818459.0	1474596.0
BON_B15-26_1_1	43293498.0	944642.0	4781839.0	2027049.0	840436.0
BON_B15-76-2_2	35009959.0	3075888.0	4172486.0	1962679.0	966849.0
BON_B15-98_1_2	47937632.0	1418145.0	5304544.0	3052951.0	1153205.0
BON_B16-19_1	22197521.0	913012.0	2538353.0	1653428.0	2134025.0
BON_B16-22_1	21322969.0	1117730.0	2799757.0	1229718.0	1036652.0
BON_B16-50_1_2	40609294.0	947061.0	4694712.0	3484822.0	945890.0
BON_B16-53-1_1	78964054.0	3637262.0	7515130.0	9589951.0	4151866.0
BON_B16-57_1_2	32906939.0	1170092.0	3914954.0	2087161.0	848735.0
BON_B16-75-1_2	35163416.0	2076646.0	3954899.0	1994150.0	701988.0
BON_B16_30_1_1	68034161.0	2112697.0	7749349.0	4723618.0	2965790.0
BON_B16_80_1_1	50093765.0	1504943.0	5467206.0	4116990.0	1660878.0
BON_B17-23_1	96845043.0	6435145.0	12388301.0	6605263.0	2345864.0
BON_B17-28_1	110701049.0	3193454.0	10249677.0	10278782.0	1978913.0
BON_B18-24_1	32983378.0	1760243.0	4286082.0	2051171.0	591106.0
BON_B18-25_1	34002598.0	2028293.0	4702658.0	2145671.0	813358.0
BON_B18-54_1	35658806.0	3089932.0	4387248.0	2296048.0	899171.0
BON_UC219-1_1	20828215.0	1920069.0	2513886.0	1176032.0	1354245.0
BON_UC473_1	22627909.0	2115672.0	2637935.0	1356788.0	1484290.0
CLA_143BN_BB_2	60302628.0	2045136.0	6127571.0	7483140.0	4453467.0
CLA_179CI_GG_2	22814267.0	321026.0	2964724.0	2468360.0	944474.0
CLA_180CJ_DP_2	73897290.0	5848889.0	7231498.0	10723719.0	8623969.0
CLA_214DF_AB_2	29954177.0	3089917.0	3509506.0	1864325.0	589570.0
CLA_329FK_RR_2	26400574.0	2054147.0	3319338.0	1546652.0	482752.0
CLA_338FT_DM_2	24593314.0	1932925.0	3003456.0	1411636.0	505305.0
CLA_388HV_XX_1	6345858.0	448025.0	662044.0	688463.0	258528.0
CLA_62R_CaM_2	358676.0	11643.0	37401.0	20940.0	28157.0
CLA_62R_CaM_3	28726417.0	1533557.0	3550258.0	1879220.0	551417.0
CLA_79Z_CP_2	22593824.0	876385.0	2421650.0	2273458.0	837370.0
HK-006	100543370.0	2421097.0	9909064.0	5218659.0	896854.0
HK-010	82985340.0	2176519.0	8445737.0	4023707.0	785115.0
HK-015	85529375.0	1953914.0	9254831.0	4447694.0	878074.0
HK-022	93509098.0	2582121.0	9404868.0	4433416.0	893388.0
HK-025	104901344.0	5014741.0	11463632.0	5158460.0	1591315.0
HK-032	111749667.0	3188237.0	12167339.0	5623804.0	1299716.0
HK-035	107435024.0	2669804.0	11106330.0	5111827.0	954214.0
HK-047	87532900.0	2128727.0	9241190.0	4444904.0	861416.0
HK-061	68924152.0	1573541.0	7126547.0	3329540.0	609918.0
HK-070	43656324.0	1008343.0	4292874.0	2606221.0	606591.0
HK-071-001	132078327.0	2883978.0	12172572.0	8612692.0	1655835.0
HK-071-004	38383000.0	778936.0	3987669.0	2266193.0	488572.0
HK-073	104952960.0	2494746.0	10529181.0	5232598.0	964322.0
HK-075	97234832.0	2492644.0	10246133.0	4886068.0	1064727.0
