Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
1179-1	0.824959	27003	0.0139946	88.84	76969620.0
1211-1	0.802356	29094	0.0176384	81.55	149232351.0
1258-1	0.836815	28741	0.0106231	86.64	172635677.0
126BG_CB_M1	0.852703	22706	0.0328905	82.85	46728578.0
146BO_JB_M1	0.872846	22898	0.0123729	86.92	45201499.0
149BP_AB_M1	0.887329	24504	0.0162508	87.11	107326495.0
153BR_JB_M1	0.873428	22473	0.0131465	87.23	54141206.0
163BV_JE_M1	0.871044	22011	0.0144374	86.49	46883471.0
164BW_KC_M1	0.888234	21853	0.0141863	87.37	54435494.0
167BZ_SP_M1	0.907209	22680	0.0229761	88.46	56472442.0
193CP_LS	0.896547	24376	0.0143358	91.61	115553553.0
204H_AM_M1	0.868566	23745	0.0237117	85.74	51910804.0
205E_BD_M1	0.864781	22339	0.0126231	85.46	51011384.0
210DB_BW_M1	0.808376	26153	0.0161326	87.43	44514445.0
227DJ_JP_M1	0.874576	21749	0.0119471	86.06	46783972.0
247DT_SH_M1	0.876143	23636	0.00914801	87.5	54368294.0
250DV_LR_M1	0.88692	22530	0.014461	91.21	30941686.0
251DW_SD_M1	0.875989	22667	0.014505	91.71	29143704.0
252DX_DC_M1	0.897322	21972	0.0123293	91.17	32597897.0
253DY_HA_M1	0.850242	23803	0.00757525	92.5	27971616.0
254DZ_WP_M1	0.880598	24092	0.0128443	91.6	62789929.0
255EA_GC_M1	0.91291	21210	0.0154114	91.88	28709084.0
26I_SK_M1	0.886608	21839	0.0174561	91.67	36228353.0
361AL_CC_M1	0.873238	21891	0.013751	85.79	51208696.0
373HQ_BTG_M1	0.831529	28228	0.00941096	90.79	85523268.0
37L_NA_M1	0.856438	19349	0.0256079	79.35	27626381.0
41M_MW_M1	0.939041	22210	0.024107	92.27	53242872.0
431-1_A_3	0.853317	20718	0.00216029	90.17	41335282.0
431-2_A_2	0.836092	20651	0.00183895	91.34	33734119.0
432-3_A_2	0.876711	20269	0.00240145	92.89	35878473.0
437-2_A_2	0.874536	21088	0.00338655	93.5	39456345.0
437-3_A_2	0.849763	21030	0.00248249	93.01	38618513.0
447-3_A_3	0.847294	22453	0.00311141	90.39	46869278.0
46N_RL_M1	0.897448	23974	0.00731554	91.38	70622488.0
49O_NM_M1	0.898272	28871	0.00938049	90.54	285297873.0
65T_CR_M1	0.894851	24246	0.0163918	91.0	60799065.0
81AB_MM_M1	0.876426	23374	0.0149538	86.76	55705616.0
92AI_SM	0.861419	24535	0.0108849	90.15	44907021.0
9C_DH_M1	0.885556	25375	0.0169611	91.05	65625171.0
