Module	Section	Sample Name	Source
STAR	SummaryLog	MUN_FAM2_TOTALMDC1A1_03	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/MUN_FAM2_TOTALMDC1A1_03.Log.final.out
STAR	SummaryLog	VCGS_FAM1_1_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/VCGS_FAM1_1_2.Log.final.out
STAR	SummaryLog	VIL_17_152	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/VIL_17_152.Log.final.out
STAR	SummaryLog	BON_B17-54_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/BON_B17-54_1.Log.final.out
STAR	SummaryLog	BON_B16-19_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/BON_B16-19_1.Log.final.out
STAR	SummaryLog	BON_B14-51_1_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/BON_B14-51_1_2.Log.final.out
STAR	SummaryLog	HK-087	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/HK-087.Log.final.out
STAR	SummaryLog	UC393-1M	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/UC393-1M.Log.final.out
STAR	SummaryLog	MBEL028_002_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/MBEL028_002_1.Log.final.out
STAR	SummaryLog	HK-010	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/HK-010.Log.final.out
STAR	SummaryLog	BON_B09-27-1_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/BON_B09-27-1_1.Log.final.out
STAR	SummaryLog	B14-07RNA	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/B14-07RNA.Log.final.out
STAR	SummaryLog	HK088-001_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/HK088-001_2.Log.final.out
STAR	SummaryLog	TOP_MAAC031_F_Muscle1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/TOP_MAAC031_F_Muscle1.Log.final.out
STAR	SummaryLog	VIL_17_141	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/VIL_17_141.Log.final.out
STAR	SummaryLog	BON_B14_48_CHX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/BON_B14_48_CHX_1.Log.final.out
STAR	SummaryLog	MESP039_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/MESP039_2.Log.final.out
STAR	SummaryLog	HK101-001	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/HK101-001.Log.final.out
STAR	SummaryLog	HK-134	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/HK-134.Log.final.out
STAR	SummaryLog	WAL_OTH2405f-Dec19	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/WAL_OTH2405f-Dec19.Log.final.out
STAR	SummaryLog	VCGS_FAM11_32_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/VCGS_FAM11_32_2.Log.final.out
STAR	SummaryLog	B12-21-1M	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/B12-21-1M.Log.final.out
STAR	SummaryLog	BON_B09-8_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/BON_B09-8_1.Log.final.out
STAR	SummaryLog	HK-073	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/HK-073.Log.final.out
STAR	SummaryLog	RGP_94_3_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/RGP_94_3_2.Log.final.out
STAR	SummaryLog	167BZ_SP_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/167BZ_SP_M1.Log.final.out
STAR	SummaryLog	BON_B12-71_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/BON_B12-71_2.Log.final.out
STAR	SummaryLog	OUN_HK116_001	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/OUN_HK116_001.Log.final.out
STAR	SummaryLog	BON_B14_48_CHX-_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/BON_B14_48_CHX-_1.Log.final.out
STAR	SummaryLog	146BO_JB_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/146BO_JB_M1.Log.final.out
STAR	SummaryLog	NH12-843_MyoD_Day5	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/NH12-843_MyoD_Day5.Log.final.out
STAR	SummaryLog	VCGS_FAM3_7_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/VCGS_FAM3_7_2.Log.final.out
STAR	SummaryLog	VCGS_DLS_FAM1_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/VCGS_DLS_FAM1_1.Log.final.out
STAR	SummaryLog	HK-127	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/all/star/HK-127.Log.final.out
