Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MUN_FAM1_CTRL_01	0.892355	21711	0.0221521	91.85	44410106.0	74.13027797951271	48.0	101.0	9.090909090909092	101635135.0
MUN_FAM1_CTRL_02	0.923895	17274	0.0218217	90.75	24312084.0	74.32723668509155	50.0	101.0	9.090909090909092	57732901.0
MUN_FAM1_CTRL_03	0.886146	21134	0.0237923	93.25	36566571.0	64.89266975066262	47.0	101.0	9.090909090909092	82282571.0
MUN_FAM1_CTRL_04	0.905347	17880	0.0461294	88.05	34251595.0	76.89181341817331	51.0	101.0	9.090909090909092	85536429.0
MUN_FAM2_TOTALMDC1A1_02	0.847027	24933	0.0182203	93.31	50040317.0	78.45538755303924	48.0	101.0	9.090909090909092	113511407.0
MUN_FAM2_TOTALMDC1A1_03	0.87598	22824	0.0183696	88.78	41027811.0	62.67155933198196	49.0	101.0	9.090909090909092	100875500.0
MUN_FAM2_TOTALMDC1A1_04	0.814429	19902	0.0210575	92.31	11758513.0	54.055089907999985	47.0	101.0	9.090909090909092	27647538.0
MUN_FAM2_TOTALMDC1A1_05	0.909607	22749	0.0197781	93.51	39946028.0	67.91119736589374	48.0	101.0	9.090909090909092	89932926.0
MUN_FAM3_PARTIALMDC1A1_01	0.887569	24896	0.0245575	94.02	129908861.0	87.53359986292843	48.0	101.0	9.090909090909092	291359316.0
MUN_FAM3_PARTIALMDC1A1_02	0.878163	20887	0.0211404	93.16	19578742.0	50.57174500099635	48.0	101.0	9.090909090909092	44698191.0
MUN_FAM3_PARTIALMDC1A1_03	0.848915	22684	0.0181038	93.19	35859079.0	67.9550663178804	47.0	101.0	9.090909090909092	81459056.0
MUN_FAM3_PARTIALMDC1A1_05	0.882766	17008	0.0203613	88.87	11529253.0	64.71276849503748	50.0	101.0	18.181818181818183	29723283.0
MUN_FAM4_ATYPICALMDC1A_01_R1	0.885573	23065	0.0128015	93.61	32135621.0	51.58647664656154	48.0	101.0	9.090909090909092	72071056.0
MUN_FAM4_ATYPICALMDC1A_01_R2	0.88667	25270	0.0135397	91.02	106831044.0	75.57853573343125	49.0	101.0	9.090909090909092	253320118.0
MUN_FAM4_ATYPICALMDC1A_01_R3	0.887524	22951	0.0144832	91.8	40305337.0	58.46824447946886	49.0	101.0	9.090909090909092	93740536.0
MUN_FAM5_SIBLINGMDC1A_01_R1	0.888337	22117	0.0208332	92.86	31171165.0	56.03348652464892	49.0	101.0	9.090909090909092	71179156.0
MUN_FAM5_SIBLINGMDC1A_01_R2	0.896325	22092	0.0206994	93.69	32149666.0	55.08905732152509	48.0	101.0	9.090909090909092	72223237.0
MUN_FAM5_SIBLINGMDC1A_01_R3	0.863306	22012	0.0214365	90.61	31856404.0	56.7116423633159	48.0	101.0	9.090909090909092	76852257.0
