Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BEG_1111-1_T1105	92.77	59678879.0	65.58477635297075	50.0	101.0	9.090909090909092	135526201.0
BEG_1435-01_T1370	92.68	60539696.0	66.08467689086903	50.0	101.0	9.090909090909092	136887661.0
HK-006	94.71	112873531.0	50.613759035184245	48.0	101.0	9.090909090909092	247971498.0
HK-010	94.91	93607596.0	45.284960226731705	48.0	101.0	0.0	204865809.0
HK-015	94.51	96738120.0	46.24222391872348	49.0	101.0	0.0	212834872.0
HK-022	94.95	105496087.0	47.313420676612886	47.0	101.0	0.0	230520621.0
HK-025	94.18	121379717.0	63.06464532495588	48.0	101.0	9.090909090909092	268515148.0
HK-032	94.44	127105243.0	50.48324057979775	48.0	101.0	9.090909090909092	279895627.0
HK-035	94.87	121211158.0	49.73112727123875	48.0	101.0	0.0	264753614.0
HK-047	94.6	98902817.0	47.978220236837565	49.0	101.0	0.0	217213109.0
HK-061	94.79	77624240.0	43.2492552466355	48.0	101.0	0.0	169889720.0
HK-070	93.86	48957541.0	42.32681530831288	50.0	101.0	0.0	109350543.0
HK-071-001	93.11	147134877.0	49.95980835024655	49.0	101.0	0.0	331411289.0
HK-071-004	93.97	43149605.0	43.291528898428396	50.0	101.0	0.0	96204793.0
HK-073	94.85	117976887.0	48.63509940381601	48.0	101.0	0.0	258265414.0
HK-075	94.53	109973609.0	46.277812259371956	47.0	101.0	0.0	241966614.0
HK-081	94.7	113596761.0	49.103643355704065	48.0	101.0	0.0	249229108.0
HK-085	94.28	130716259.0	50.16699942425078	48.0	101.0	9.090909090909092	289543166.0
HK-087	94.07	115375129.0	53.869863656101764	49.0	101.0	9.090909090909092	255247915.0
HK-095	93.13	111797567.0	74.94621102073255	49.0	101.0	9.090909090909092	252666455.0
HK-100	93.44	129163706.0	60.84616691353115	49.0	101.0	9.090909090909092	287087979.0
HK-104	93.88	99555343.0	46.260442398050195	49.0	101.0	0.0	220979806.0
HK-107	94.88	107974351.0	50.032681564224376	48.0	101.0	9.090909090909092	236131683.0
HK-108	94.7	117758839.0	48.48032589059024	48.0	101.0	0.0	258002271.0
HK-114	94.15	44569143.0	37.79969392703432	49.0	101.0	0.0	98995212.0
HK-115	94.7	118489849.0	49.65606478927358	48.0	101.0	0.0	260000276.0
HK-116	94.38	97302653.0	49.90624262812528	48.0	101.0	0.0	214094003.0
HK-119	94.63	106348018.0	46.09359045989366	49.0	101.0	0.0	233620295.0
HK-124	94.76	120806565.0	48.071395227033456	48.0	101.0	0.0	264758464.0
HK-126	95.08	138073000.0	49.631972834149806	48.0	101.0	0.0	301348731.0
HK-127	95.08	106338498.0	48.0626416022706	47.0	101.0	0.0	232158336.0
HK-131	94.91	102589571.0	49.757598948406034	47.0	101.0	0.0	224724248.0
HK-133	94.0	37920481.0	38.94790890313304	50.0	101.0	0.0	84759014.0
HK-134	94.53	114976083.0	57.70047552483171	48.0	101.0	9.090909090909092	253237854.0
HK-139	94.88	69711508.0	42.77028482361529	49.0	101.0	0.0	152361995.0
HK060-0154	92.39	53114902.0	78.85058463772364	50.0	101.0	9.090909090909092	122383820.0
RGP_552_3	89.3	48936810.0	86.21620568048061	49.0	101.0	9.090909090909092	119716706.0
RGP_554_3_2	86.8	67731555.0	82.186272576974	51.0	101.0	18.181818181818183	183120214.0
