Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Chimeric Alignment Rate	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
WAL_OTH2405f-Dec19	0.993364	1	0	0	0.00269107	0.995463	0.991265	0.00223386	0.00315022	0.877931	0.94353	0.883796	0.0587888	0.0384606	0.942584	0.018955	0.899181	0.0535684	0.0301269	0.95275	0.0171235	0	0.00452396	0.023382	0.97725	0.331316	17891132	750118	0.0054287	0	58385442	1355911	6992649352	6963165432	69234152	68942232	15620586	21935486	1397853	58244458	122119676	0	130373559	5314351	130242893	2619140	8123217	6770925	7802825	0	138176384	138176384	37556072	138176381	0	138176384	625105	13955814784	68861351	156990576	139099444	0	101	24176	0	9462	0.477538	0.455172	0.297432	0.370926	0.222222	0.72973	3.76633	3.39757	0.905063	0.211379	0.208218
WAL_OTH2405f-Feb20A	0.980838	1	0	0	0.00274485	0.984378	0.977298	0.00216098	0.00333295	0.890615	0.933214	0.908014	0.0429493	0.0362469	0.950963	0.01279	0.92643	0.0385245	0.0243848	0.964954	0.010661	0	0.00490556	0.0206608	0.979503	0.339813	20103691	722525	0.00638459	0	47919494	996043	5735559114	5694309300	56787714	56379300	12394434	18978874	1010940	47597533	102757212	0	105608987	4101958	107617653	1447403	4860441	7887642	7558027	0	113167014	113167014	31373308	113167004	0	113167014	555148	11429868414	56300455	135481561	115377870	0	101	22585	0	9872	0.486058	0.464286	0.296689	0.37065	0.230769	0.735294	3.29971	3.09073	0.882289	0.200956	0.194834
WAL_OTH2405f-Feb20C	0.979755	1	0	0	0.00261156	0.982774	0.976736	0.00209274	0.00313358	0.892831	0.939163	0.91128	0.0436364	0.0320333	0.954916	0.0130507	0.924146	0.0407057	0.0241765	0.964851	0.0109721	0	0.00480254	0.0183496	0.981987	0.342306	16241759	1249150	0.00958261	0	55535612	1012773	6603260618	6562691746	65378818	64977146	13818917	20564721	1038107	55211548	118790729	0	122425457	4175729	124478994	1701241	5688265	8189641	7930507	0	130355964	130355964	34383638	130355921	0	130355964	626040	13165952364	64883389	149291299	133049540	0	101	23074	0	10404	0.483186	0.464407	0.294471	0.367967	0.229008	0.727273	4.15074	3.68269	0.855217	0.195979	0.188525
WAL_OTH2406d-Dec19	0.992597	1	0	0	0.00245306	0.994722	0.990473	0.00213506	0.00277242	0.892905	0.939587	0.899564	0.0509586	0.0353676	0.950523	0.0141095	0.918217	0.0451735	0.0241879	0.963391	0.0124213	0	0.00334386	0.01671	0.983468	0.330758	18989469	656236	0.00550863	0	50522485	844486	6028881496	6003127910	59691896	59436910	12872005	16643190	858578	50236961	107164016	0	111931885	4213305	113234655	1680846	6070639	6518865	7196921	0	119128806	119128806	29515195	119128780	0	119128806	398350	12032009406	59372008	139006733	120017264	0	101	23167	0	9977	0.486731	0.470588	0.296253	0.374954	0.228261	0.736842	3.95758	3.47726	0.854763	0.198283	0.193382
WAL_OTH2406d-Feb20A	0.973402	1	0	0	0.00258694	0.97644	0.970364	0.00213892	0.00303777	0.879464	0.940282	0.903496	0.0457286	0.0385869	0.949224	0.0121887	0.919113	0.0418817	0.0287473	0.960995	0.010258	0	0.0041447	0.0223186	0.978141	0.333783	18046989	682930	0.00557898	0	51579614	1147047	6201061852	6162475408	61396652	61014608	13263604	18720183	1177463	51327433	110598063	0	115101090	4723465	116195763	1492032	5597700	8852851	7310170	0	122411260	122411260	31983787	122411225	0	122411260	507358	12363537260	60934727	143803148	125756159	0	101	22875	0	10113	0.494031	0.48324	0.298644	0.379632	0.232558	0.75	3.83193	3.34922	0.871344	0.201441	0.196386
WAL_OTH2406d-Feb20B	0.967915	1	0	0	0.00256921	0.970873	0.964958	0.00212073	0.00302044	0.856934	0.911936	0.885339	0.0493268	0.051775	0.934666	0.0135589	0.923944	0.0391442	0.0261991	0.963088	0.0107128	0	0.0082643	0.0248814	0.975991	0.333531	40630499	666799	0.00544167	0	50791047	1242063	6206959040	6169143327	61455040	61080627	13163310	18633519	1295996	50491069	108485645	0	111744643	6344282	114529937	1661448	6044292	13126676	10791024	0	122535667	122535667	31796829	122535623	0	122535667	1012672	12376102367	61006590	167227983	126597484	0	101	22982	0	10125	0.470884	0.450577	0.295435	0.369794	0.214286	0.717949	4.03088	3.45192	0.837915	0.189353	0.182286
WAL_OTH2407d-Dec19	0.990039	1	0	0	0.00270572	0.992854	0.987223	0.00215033	0.00326429	0.888171	0.941683	0.897108	0.0536724	0.0339699	0.95078	0.0152501	0.912534	0.0485071	0.0253064	0.961041	0.0136526	0	0.00398661	0.0169833	0.983281	0.329282	16092842	896487	0.00709592	0	53861672	910368	6398232234	6361945459	63348834	62989559	13758297	20767227	930552	53540589	113339127	0	118970737	4291700	120120017	1926676	6780890	6582758	7367656	0	126338393	126338393	34525524	126338378	0	126338393	503662	12760177693	62915317	143702403	127609561	0	101	23880	0	10029	0.486612	0.474359	0.29416	0.369206	0.233645	0.733333	4.54661	3.86303	0.859411	0.206813	0.200796
WAL_OTH2407d-Feb20A	0.979557	1	0	0	0.00257027	0.982903	0.976211	0.0021409	0.00300259	0.887065	0.933724	0.905577	0.0430379	0.0390611	0.948615	0.0123239	0.925059	0.038255	0.0264963	0.963314	0.0101901	0	0.00464846	0.0221457	0.978125	0.33487	28811038	745317	0.00507666	0	61974268	1377603	7439362757	7388710449	73657057	73155549	15926921	22185241	1403545	61597449	132950126	0	137082507	5734668	139268634	1809304	6318508	10634607	9730099	0	146812606	146812606	38112162	146812581	0	146812606	682453	14828073206	73046929	178687534	149876496	0	101	23471	0	10689	0.492374	0.473684	0.300681	0.383422	0.228571	0.75	4.45208	3.90161	0.874765	0.200492	0.195546
WAL_OTH2407d-Feb20B	0.978565	1	0	0	0.00238832	0.982294	0.974836	0.00208518	0.00269377	0.889693	0.934673	0.909181	0.0417437	0.0370214	0.950924	0.0120542	0.926794	0.0371146	0.0261722	0.963909	0.00991917	0	0.00456991	0.0206884	0.979448	0.335839	27854745	1131947	0.00697969	0	68695526	1430700	8221166690	8158747579	81397690	80779679	17142592	21977823	1451221	68182634	147448545	0	151582884	6004027	154218431	1954911	6769886	11481762	10594485	0	162177369	162177369	39120415	162177327	0	162177369	741136	16379914269	80663466	193584496	165729751	0	101	23819	0	10961	0.494684	0.477198	0.300711	0.382653	0.232558	0.75	4.79665	4.15557	0.872724	0.195524	0.19291
WAL_OTH2419f-Dec19	0.991941	1	0	0	0.00266901	0.994689	0.989193	0.00214969	0.00319121	0.896451	0.939742	0.903734	0.0488446	0.0334918	0.952579	0.0139294	0.921317	0.0429479	0.0235081	0.964265	0.0122272	0	0.00362484	0.0156521	0.984439	0.3322	18573280	709299	0.00559705	0	53937056	846561	6417465361	6382001231	63539261	63188131	13795566	20366291	857654	53555493	114527885	0	119091089	4244326	120717835	1765231	6189950	6818739	7636303	0	126727392	126727392	34161857	126727381	0	126727392	459366	12799466592	63118024	146330268	127756988	0	101	23131	0	10188	0.484929	0.472222	0.295556	0.37065	0.227273	0.72973	4.08577	3.48546	0.838662	0.193876	0.188113
