Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
RGP_558_3	83049892.0	202.0	69971598.0	84.25	200.45	48581948.0	48580764.0	48108158.0	410207.0	38526.0	25057.0	0.28	0.01	1.99	0.01	1.57	11957868.0	14.4	10006.0	0.01	0.02	0.52	0.12	33649	874876	201895
WAL_OTH2405f-Dec19	69521240.0	202.0	65840734.0	94.71	200.66	42094826.0	42093583.0	41653143.0	377699.0	38058.0	25926.0	0.25	0.01	1.98	0.01	1.54	2967115.0	4.27	3717.0	0.01	0.02	0.27	0.04	43011	580642	86021
WAL_OTH2405f-Feb20A	57670844.0	202.0	53510762.0	92.79	200.32	35686013.0	35685291.0	35322192.0	307091.0	40004.0	16726.0	0.25	0.01	1.96	0.01	1.56	2894112.0	5.02	2551.0	0.0	0.02	1.35	0.05	17795	1201138	44487
WAL_OTH2405f-Feb20C	66505235.0	202.0	61934630.0	93.13	200.49	41268423.0	41267825.0	40826243.0	377358.0	45382.0	19440.0	0.24	0.01	1.96	0.01	1.55	2811977.0	4.23	3244.0	0.0	0.02	1.49	0.07	22220	1655394	77770
WAL_OTH2406d-Dec19	59991679.0	202.0	56477287.0	94.14	200.74	36459990.0	36459210.0	36088430.0	312460.0	40503.0	18597.0	0.23	0.01	1.95	0.01	1.54	2859089.0	4.77	2858.0	0.0	0.01	0.33	0.07	15913	525139	111393
WAL_OTH2406d-Feb20A	62861219.0	202.0	58232659.0	92.64	200.45	37917046.0	37916416.0	37521779.0	335806.0	41163.0	18298.0	0.24	0.01	1.92	0.01	1.55	2805592.0	4.46	2813.0	0.0	0.02	2.15	0.06	16324	1754858	48973
WAL_OTH2406d-Feb20B	63282257.0	202.0	56526618.0	89.32	200.54	37872606.0	37872096.0	37478647.0	335437.0	40899.0	17623.0	0.24	0.01	1.92	0.01	1.55	4588036.0	7.25	4227.0	0.01	0.02	2.72	0.05	15508	2109098	38770
WAL_OTH2407d-Dec19	63786282.0	202.0	60172855.0	94.34	200.54	38449499.0	38448597.0	38053395.0	330888.0	44176.0	21040.0	0.25	0.01	1.97	0.01	1.53	2707183.0	4.24	3464.0	0.01	0.02	0.52	0.06	30093	782409	90278
WAL_OTH2407d-Feb20A	74916006.0	202.0	69405123.0	92.64	200.36	45471470.0	45470866.0	44976693.0	414870.0	56411.0	23496.0	0.24	0.01	1.97	0.01	1.54	3858113.0	5.15	8078.0	0.01	0.02	1.48	0.06	21086	1560349	63257
WAL_OTH2407d-Feb20B	82840560.0	202.0	76750845.0	92.65	200.3	50376620.0	50375620.0	49835508.0	451529.0	63195.0	26388.0	0.22	0.01	1.98	0.01	1.54	4050327.0	4.89	12516.0	0.02	0.02	1.54	0.06	25023	1926780	75069
WAL_OTH2419f-Dec19	63860658.0	202.0	60218366.0	94.3	200.6	38985599.0	38985025.0	38579720.0	341873.0	43498.0	20508.0	0.25	0.01	1.96	0.01	1.55	2942858.0	4.61	3827.0	0.01	0.02	0.34	0.06	33124	563110	99372
WAL_OTH2419f-Feb20A	67279047.0	202.0	62939980.0	93.55	200.44	41473576.0	41473020.0	41021974.0	381854.0	48654.0	21094.0	0.25	0.01	1.94	0.01	1.55	2893636.0	4.3	2965.0	0.0	0.02	1.38	0.06	19760	1363427	59279
WAL_OTH2419f-Feb20B	53516035.0	202.0	49598401.0	92.68	200.22	33388120.0	33387519.0	33040608.0	292356.0	38881.0	16275.0	0.23	0.01	1.95	0.01	1.55	2554120.0	4.77	2481.0	0.0	0.02	1.76	0.09	14557	1280972	65504
