Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Chimeric Alignment Rate	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
BON_B09-8_1	0.988267	1.0	0.0	0.0	0.00505355	0.992408	0.984127	0.00289086	0.00723443	0.905059	0.922298	0.915804	0.0433385	0.0149259	0.959143	0.0259316	0.928162	0.0411793	0.0103125	0.969341	0.0203462	0.0	0.0190729	0.0149169	0.985612	0.406515	14055000.0	1093151.0	0.00907953	0.0	50080776.0	727702.0	6105537163.0	6054585693.0	60450863.0	59946393.0	17650282.0	43801504.0	758362.0	49849821.0	110260291.0	0.0	111042109.0	1797033.0	115478130.0	3122093.0	5217839.0	8097863.0	9355147.0	0.0	120397256.0	120397256.0	61451786.0	120390585.0	0.0	120397256.0	2296322.0	12160122856.0	59852223.0	135881597.0	121826597.0	0.0	101.0	22687.0	0.0	7046.0	0.478367	0.466667	0.306495	0.39536	0.201474	0.741379	2.68415	2.43681	0.895018	0.224088	0.220295
BON_B09-9_CHX_2	0.994159	1.0	0.0	0.0	0.00206984	0.995303	0.993016	0.00196341	0.00217652	0.919485	0.934638	0.924887	0.032016	0.0243537	0.956903	0.0187433	0.946366	0.0259133	0.0122633	0.972279	0.0154576	0.0	0.00234346	0.017007	0.983288	0.429434	27067700.0	651749.0	0.00471515	0.0	59544937.0	1010123.0	6988362205.0	6972302801.0	69191705.0	69032701.0	13721021.0	15175387.0	1030202.0	59432344.0	127841959.0	0.0	129189718.0	3366273.0	132267348.0	2590785.0	4425389.0	8219972.0	9034688.0	0.0	138224406.0	138224406.0	28896408.0	138224292.0	0.0	138224406.0	323924.0	13960665006.0	68910956.0	166104172.0	139036472.0	0.0	101.0	23456.0	0.0	9622.0	0.416791	0.365	0.301732	0.361303	0.148148	0.662651	3.36134	2.98351	0.918522	0.20906	0.195062
BON_B14_48_CHX-_1	0.99025	1.0	0.0	0.0	0.00176673	0.991605	0.988896	0.00172387	0.00180971	0.93262	0.918076	0.941803	0.0253271	0.0210351	0.96713	0.0118352	0.96942	0.0168133	0.00523496	0.986234	0.00853135	0.0	0.00333311	0.0113295	0.989051	0.484832	61177130.0	1439343.0	0.00593396	0.0	104669121.0	1154967.0	12266053777.0	12232545310.0	121446077.0	121114310.0	21145039.0	22137323.0	1199434.0	104333368.0	228444004.0	0.0	222688790.0	5102291.0	234587345.0	2870751.0	6143341.0	19304877.0	19871597.0	0.0	242560387.0	242560387.0	43282362.0	242560358.0	0.0	242560387.0	808480.0	24498599087.0	120803075.0	306125644.0	244948514.0	0.0	101.0	22766.0	0.0	11313.0	0.446808	0.409091	0.309911	0.388303	0.169697	0.708333	3.7619	3.32156	0.860249	0.162304	0.154763
BON_B14_48_CHX_1	0.993097	1.0	0.0	0.0	0.00187866	0.994017	0.992177	0.00180276	0.00195471	0.9125	0.93043	0.918843	0.0353024	0.0268017	0.954145	0.0190533	0.942985	0.0280077	0.0136465	0.970993	0.0153604	0.0	0.0039026	0.0166049	0.98392	0.395558	63735748.0	947329.0	0.003086	0.0	130804985.0	2135448.0	15516681813.0	15487944687.0	153630513.0	153345987.0	27972827.0	30274479.0	2208680.0	130663596.0	282063068.0	0.0	285620016.0	8227498.0	292900084.0	5848918.0	10837016.0	20352979.0	21356484.0	0.0	306976500.0	306976500.0	58247306.0	306976396.0	0.0	306976500.0	1198005.0	31004626500.0	153022866.0	372846036.0	309110288.0	0.0	101.0	25780.0	0.0	11229.0	0.440062	0.4	0.309362	0.388621	0.159722	0.702128	5.6709	4.38286	0.872125	0.184326	0.177937
BON_B15-95_CHX_1	0.992427	1.0	0.0	0.0	0.00512549	0.995336	0.989518	0.00289102	0.00737309	0.899567	0.920338	0.906431	0.0399247	0.0327928	0.946356	0.0208512	0.937108	0.0303494	0.0150276	0.967457	0.0175153	0.0	0.00402344	0.0169854	0.983675	0.385953	39482233.0	467293.0	0.00299046	0.0	66383006.0	1096345.0	7914314651.0	7868054631.0	78359551.0	77901531.0	22880463.0	58011889.0	1147023.0	66059791.0	141639933.0	0.0	143812943.0	5124244.0	147878604.0	3258234.0	6238671.0	11021275.0	12448139.0	0.0	156261082.0	156261082.0	80892352.0	156261020.0	0.0	156261082.0	628707.0	15782369282.0	77798200.0	196935683.0	157453450.0	0.0	101.0	23676.0	0.0	9334.0	0.444955	0.403846	0.311112	0.389707	0.163743	0.714286	3.40309	2.84453	0.874754	0.184195	0.183497
BON_B16-108_CHX-_1	0.992925	1.0	0.0	0.0	0.00180674	0.993945	0.991905	0.00177556	0.00183799	0.935524	0.927158	0.942189	0.0282183	0.0171743	0.970408	0.012418	0.963648	0.0214886	0.00538543	0.985137	0.00947781	0.0	0.00342111	0.00835828	0.992	0.483126	56726324.0	1451898.0	0.00506459	0.0	124558099.0	1002461.0	14492025501.0	14462278678.0	143485401.0	143190878.0	25731486.0	26581526.0	1049866.0	124310691.0	270103330.0	0.0	265794188.0	4923476.0	278192858.0	3559945.0	8089528.0	19723918.0	20882091.0	0.0	286676279.0	286676279.0	52313012.0	286676244.0	0.0	286676279.0	980752.0	28954304179.0	142863181.0	345445200.0	288718876.0	0.0	101.0	23885.0	0.0	11809.0	0.437222	0.395516	0.312487	0.39539	0.155797	0.701493	5.07283	3.94147	0.845435	0.159191	0.152923
BON_B16-108_CHX_1	0.991485	1.0	0.0	0.0	0.00196038	0.992373	0.990597	0.00187367	0.00204724	0.910396	0.934296	0.918214	0.0354888	0.0266403	0.953703	0.019657	0.93821	0.0303187	0.0154282	0.968528	0.0160435	0.0	0.00366477	0.0192597	0.981378	0.388717	43290679.0	925689.0	0.00388061	0.0	101429914.0	1922344.0	12057170223.0	12035592482.0	119377923.0	119164282.0	22591123.0	24639770.0	1991874.0	101306686.0	219032767.0	0.0	222869129.0	6354837.0	227498337.0	4689031.0	8465570.0	15044918.0	15673076.0	0.0	238542205.0	238542205.0	47230893.0	238542140.0	0.0	238542205.0	874202.0	24092762705.0	118847172.0	283881460.0	240590781.0	0.0	101.0	25205.0	0.0	10378.0	0.442685	0.402597	0.308546	0.389327	0.165714	0.704348	4.65806	3.80046	0.883389	0.193938	0.18837
BON_B16-38	0.97729	1.0	0.0	0.0	0.0020833	0.979789	0.974792	0.00203936	0.00212747	0.908525	0.918462	0.929636	0.0344786	0.0151282	0.964115	0.0207569	0.942191	0.031206	0.00993018	0.973397	0.0166723	0.0	0.0179991	0.0170907	0.983334	0.425778	11121619.0	1772872.0	0.0195466	0.0	37777834.0	640470.0	4592041962.0	4568623799.0	45465762.0	45233899.0	9364833.0	9719595.0	656877.0	37789832.0	84317699.0	0.0	83304221.0	1372121.0	87444899.0	1882641.0	3127200.0	6860785.0	7395440.0	0.0	90699661.0	90699661.0	19084428.0	90674826.0	0.0	90699661.0	1632516.0	9160665761.0	44995201.0	103928909.0	92807290.0	0.0	101.0	21625.0	0.0	6180.0	0.516872	0.52381	0.31474	0.422065	0.228571	0.79798	1.67976	1.9168	1.02109	0.26566	0.266517
BON_B17-54_1	0.993174	1.0	0.0	0.0	0.00284326	0.994653	0.991694	0.00246673	0.00322091	0.915552	0.913586	0.921844	0.0358477	0.0301606	0.957692	0.0121472	0.962587	0.0217292	0.00628762	0.984316	0.00939651	0.0	0.00265814	0.0109411	0.989783	0.446421	45098948.0	645521.0	0.00450528	0.0	60985413.0	628724.0	7246469119.0	7224917436.0	71747219.0	71533836.0	17875111.0	23270843.0	674626.0	60906865.0	132082849.0	0.0	130899549.0	4321448.0	137219140.0	1740467.0	5136291.0	11648719.0	12381506.0	0.0	143281055.0	143281055.0	41145954.0	143281021.0	0.0	143281055.0	380861.0	14471386555.0	71444721.0	189364829.0	144265881.0	0.0	101.0	21274.0	0.0	10125.0	0.434194	0.38806	0.306737	0.377657	0.160839	0.689655	2.45798	2.39376	0.859674	0.167915	0.157882
BON_B18-23_CHX_1	0.992521	1.0	0.0	0.0	0.00513497	0.995597	0.989444	0.00292028	0.00736343	0.901224	0.927051	0.908015	0.0416205	0.0301919	0.949636	0.0201723	0.933503	0.0337131	0.0157248	0.967216	0.0170595	0.0	0.00361881	0.0185699	0.981954	0.395859	27953012.0	546040.0	0.00395252	0.0	58803775.0	1074820.0	6998183849.0	6954934134.0	69288949.0	68860734.0	20436656.0	51212204.0	1112639.0	58486392.0	125442020.0	0.0	128071771.0	4171004.0	131191885.0	2786794.0	5749865.0	8694939.0	10077912.0	0.0	138149683.0	138149683.0	71648860.0	138149558.0	0.0	138149683.0	499938.0	13953117983.0	68779892.0	167143754.0	139190742.0	0.0	101.0	24432.0	0.0	9605.0	0.417595	0.362069	0.309064	0.37207	0.141176	0.666667	3.67712	3.02581	0.907636	0.185576	0.187649
