Module	Section	Sample Name	Source
STAR	SummaryLog	BON_B09-8_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B09-8_1.Log.final.out
STAR	SummaryLog	MAN_0694_01	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/MAN_0694_01.Log.final.out
STAR	SummaryLog	BON_B18-23_CHX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B18-23_CHX_1.Log.final.out
STAR	SummaryLog	BON_B15-95_CHX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B15-95_CHX_1.Log.final.out
STAR	SummaryLog	BON_B16-38	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B16-38.Log.final.out
STAR	SummaryLog	RGP_1214_3_M1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/RGP_1214_3_M1.Log.final.out
STAR	SummaryLog	BON_B19-45_CHX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B19-45_CHX_1.Log.final.out
STAR	SummaryLog	BON_B19-57_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B19-57_1.Log.final.out
STAR	SummaryLog	BON_B20_36_CHX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B20_36_CHX_1.Log.final.out
STAR	SummaryLog	BON_B19-59_CHX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B19-59_CHX_1.Log.final.out
STAR	SummaryLog	BON_B18_65_CHX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B18_65_CHX_1.Log.final.out
STAR	SummaryLog	BON_B19-54_CHX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/BON_B19-54_CHX_1.Log.final.out
STAR	SummaryLog	RGP_800_3_3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/batch_2021_01/star/RGP_800_3_3.Log.final.out
