Sample	Top over-represented sequence	Sum of remaining over-represented sequences
B11-25-1M	0.0	0.0
BON_B09-9_CHX_2	0.0	0.0
BON_B12-71_2	0.0	0.0
BON_B14-51_1_2	0.0	0.0
BON_B14_48_CHX-_1	0.4341580086639197	0.0
BON_B14_48_CHX_1	0.11201030979983383	0.0
BON_B15-125_1_2	0.0	0.0
BON_B15-26_1_1	0.0	0.0
BON_B15-95_CHX_1	0.0	0.0
BON_B15-98_1_2	0.0	0.0
BON_B16-108_CHX-_1	0.0	0.0
BON_B16-108_CHX_1	0.10313424483585508	0.0
BON_B16-50_1_2	0.12059458067489326	0.0
BON_B16-57_1_2	0.0	0.0
BON_B17-28_1	0.13987577534627663	0.0
BON_B17-54_1	0.0	0.0
BON_B18-23_CHX_1	0.0	0.0
BON_B18-37_1	0.0	0.0
BON_B18_65_CHX_1	0.1955794252016235	0.0
BON_B19-03_CHX_1	0.0	0.0
BON_B19-45_CHX_1	0.0	0.0
BON_B19-52_CHX_1	0.0	0.0
BON_B19-54_CHX_1	0.0	0.0
BON_B19-59_CHX_1	0.0	0.0
BON_B20_36_CHX_1	0.14811991535596947	0.0
BON_FC2_CHX-_1	0.0	0.0
BON_FC2_CHX_1	0.18821689644234954	0.0
BON_UC355_CHX_1	0.0	0.0
BON_UC522_1	0.0	0.0
HK-006	0.0	0.0
HK-010	0.0	0.0
HK-015	0.0	0.0
HK-022	0.0	0.0
HK-025	0.0	0.0
HK-032	0.1119638785925012	0.0
HK-035	0.0	0.0
HK-047	0.0	0.0
HK-061	0.0	0.0
HK-070	0.2761129407468969	0.0
HK-071-001	0.0	0.0
HK-071-004	0.0	0.0
HK-073	0.0	0.0
HK-075	0.0	0.0
HK-081	0.0	0.0
HK-085	0.0	0.0
HK-087	0.0	0.0
HK-095	0.12363295317536316	0.0
HK-100	0.0	0.0
HK-104	0.0	0.0
HK-107	0.0	0.0
HK-108	0.0	0.0
HK-114	0.0	0.0
HK-115	0.0	0.0
HK-116	0.0	0.0
HK-119	0.0	0.0
HK-124	0.0	0.0
HK-126	0.0	0.0
HK-127	0.0	0.0
HK-131	0.0	0.0
HK-133	0.41744940544022846	0.0
HK-134	0.0	0.0
HK-139	0.0	0.0
HK006_0016	0.0	0.0
HK010_0026	0.0	0.0
HK011_0029	0.17765399595609022	0.0
HK024_0065	0.2132933395319093	0.0
HK028_0073	0.17069685937340806	0.15330009232032743
HK044_0109	0.0	0.0
HK044_0110	0.0	0.0
HK085-001	0.0	0.0
HK088-001_2	0.0	0.0
HK101-001	0.0	0.0
HK106-001	0.1582806918503685	0.0
HK117_001	0.0	0.0
INMR_IV_615	0.0	0.0
MESP014_2	0.3395314003854512	0.0
NH12-843_Fibroblasts	0.34309288766339013	0.0
RGP_7_1_2	0.0	0.0
RGP_7_2_2	0.0	0.0
RGP_7_3_2	0.0	0.0
RGP_7_4_2	0.0	0.0
RGP_7_5_2	0.0	0.0
SWE_36223_1	0.2351781007115833	0.10615402286279557
SWE_36326_1	0.1376866099771797	0.0
VCGS_DLS_FAM1_1	0.0	0.0
VCGS_FAM11_32_2	0.0	0.0
VCGS_FAM12_36_2	0.2902452837512655	0.0
VCGS_FAM147_459_2	0.0	0.0
VCGS_FAM148_462_2	0.0	0.0
VCGS_FAM149_465_2	0.0	0.0
VCGS_FAM150_468_2	0.0	0.0
VCGS_FAM1_1_2	0.12571356291824837	0.0
VCGS_FAM27_84_2	0.12193517937037805	0.0
VCGS_FAM29_90	0.16526533166774796	0.0
VCGS_FAM2_4_2	0.9681497213421107	0.2515095985871042
VCGS_FAM31_97_2	0.26751265300293986	0.10044418729171611
VCGS_FAM39_123	0.0	0.0
VCGS_FAM3_7_2	0.0	0.0
VCGS_FAM41_129_2	0.19225017079940576	0.0
VCGS_FAM42_132_2	0.11946586412317564	0.0
VCGS_FAM49_153	0.0	0.0
VCGS_FAM4_13_2	0.0	0.0
VCGS_FAM52_162_3	0.0	0.0
VCGS_FAM58_181	0.0	0.0
VCGS_FAM61_190	0.0	0.0
VCGS_FAM67_209	0.10269012542648184	0.0
VCGS_FAM73_227_2	0.0	0.0
VCGS_FAM84_260	0.0	0.0
