Sample	Unique Reads	Duplicate Reads
B11-25-1M	74147169.0	110165834.0
BON_B09-9_CHX_2	104297547.0	61806625.0
BON_B12-71_2	113644194.0	107848387.0
BON_B14-51_1_2	66156518.0	44067234.0
BON_B14_48_CHX-_1	160354669.0	145770975.0
BON_B14_48_CHX_1	209381866.0	163464170.0
BON_B15-125_1_2	76144080.0	81591164.0
BON_B15-26_1_1	60843080.0	46810974.0
BON_B15-95_CHX_1	129479443.0	67456240.0
BON_B15-98_1_2	62304479.0	61707586.0
BON_B16-108_CHX-_1	179126344.0	166318856.0
BON_B16-108_CHX_1	170308833.0	113572627.0
BON_B16-50_1_2	65153480.0	42960831.0
BON_B16-57_1_2	53149559.0	32875433.0
BON_B17-28_1	145348672.0	146528173.0
BON_B17-54_1	112146012.0	77218817.0
BON_B18-23_CHX_1	106688646.0	60455108.0
BON_B18-37_1	82788540.0	51017854.0
BON_B18_65_CHX_1	66476652.0	32025018.0
BON_B19-03_CHX_1	74207044.0	34363854.0
BON_B19-45_CHX_1	108310596.0	58196306.0
BON_B19-52_CHX_1	73888494.0	33729068.0
BON_B19-54_CHX_1	112132012.0	59882597.0
BON_B19-59_CHX_1	119374579.0	61221162.0
BON_B20_36_CHX_1	85159286.0	43726826.0
BON_FC2_CHX-_1	144104856.0	118616529.0
BON_FC2_CHX_1	221296179.0	188793996.0
BON_UC355_CHX_1	116099646.0	71453843.0
BON_UC522_1	88851015.0	54230775.0
HK-006	122463802.0	125507696.0
HK-010	112092409.0	92773400.0
HK-015	114415294.0	98419578.0
HK-022	121453430.0	109067191.0
HK-025	99177023.0	169338125.0
HK-032	138595245.0	141300382.0
HK-035	133088658.0	131664956.0
HK-047	112998126.0	104214983.0
HK-061	96413682.0	73476038.0
HK-070	63065941.0	46284602.0
HK-071-001	165838845.0	165572444.0
HK-071-004	54556268.0	41648525.0
HK-073	132657774.0	125607640.0
HK-075	129989759.0	111976855.0
HK-081	126848536.0	122380572.0
HK-085	144288048.0	145255118.0
HK-087	117746212.0	137501703.0
HK-095	63302521.0	189363934.0
HK-100	112405949.0	174682030.0
HK-104	118753571.0	102226235.0
HK-107	117988670.0	118143013.0
HK-108	132921930.0	125080341.0
HK-114	61575325.0	37419887.0
HK-115	130894371.0	129105905.0
HK-116	107247731.0	106846272.0
HK-119	125936313.0	107683982.0
HK-124	137485377.0	127273087.0
HK-126	151783411.0	149565320.0
HK-127	120576908.0	111581428.0
HK-131	112906858.0	111817390.0
HK-133	51747151.0	33011863.0
HK-134	107118409.0	146119445.0
HK-139	87196336.0	65165659.0
HK006_0016	49565197.0	42315538.0
HK010_0026	97644253.0	98844378.0
HK011_0029	64093694.0	45532886.0
HK024_0065	70487926.0	53846008.0
HK028_0073	63723305.0	47716941.0
HK044_0109	59500237.0	40239688.0
HK044_0110	102407892.0	77925830.0
HK085-001	86004611.0	102013118.0
HK088-001_2	58431084.0	33506671.0
HK101-001	121997887.0	108900685.0
HK106-001	62721014.0	43877585.0
HK117_001	102601050.0	80162919.0
INMR_IV_615	88899941.0	83810497.0
MESP014_2	45343914.0	26995198.0
NH12-843_Fibroblasts	35673421.0	14496083.0
RGP_7_1_2	60064088.0	33543275.0
RGP_7_2_2	58717718.0	32856024.0
RGP_7_3_2	63518505.0	38347241.0
RGP_7_4_2	50577970.0	33570748.0
RGP_7_5_2	60230536.0	32369742.0
SWE_36223_1	77809315.0	56361766.0
SWE_36326_1	79246968.0	53471820.0
VCGS_DLS_FAM1_1	69617161.0	82691952.0
VCGS_FAM11_32_2	57212487.0	38969548.0
VCGS_FAM12_36_2	68143115.0	50464497.0
VCGS_FAM147_459_2	78443003.0	51770753.0
VCGS_FAM148_462_2	89810977.0	63792317.0
VCGS_FAM149_465_2	87546519.0	71500740.0
VCGS_FAM150_468_2	90004538.0	73790442.0
VCGS_FAM1_1_2	60648877.0	50728127.0
VCGS_FAM27_84_2	60241173.0	29617226.0
VCGS_FAM29_90	57714777.0	42655941.0
VCGS_FAM2_4_2	81878783.0	70895108.0
VCGS_FAM31_97_2	66090626.0	40059867.0
VCGS_FAM39_123	45592212.0	35859468.0
VCGS_FAM3_7_2	94647343.0	70574389.0
VCGS_FAM41_129_2	56253585.0	32997311.0
VCGS_FAM42_132_2	61111963.0	31651774.0
VCGS_FAM49_153	63146002.0	45990967.0
VCGS_FAM4_13_2	60124315.0	51177192.0
VCGS_FAM52_162_3	88900880.0	57382252.0
VCGS_FAM58_181	56820979.0	43169911.0
VCGS_FAM61_190	67518476.0	56059532.0
VCGS_FAM67_209	61593601.0	43672606.0
VCGS_FAM73_227_2	84508489.0	64209386.0
VCGS_FAM84_260	46054635.0	31541459.0
