Sample	Exonic	Intronic	Intergenic
B11-25-1M	0.905914	0.0518527	0.0245525
BON_B09-9_CHX_2	0.924887	0.032016	0.0243537
BON_B12-71_2	0.929778	0.0352287	0.0214158
BON_B14-51_1_2	0.944032	0.0268602	0.0143649
BON_B14_48_CHX-_1	0.941803	0.0253271	0.0210351
BON_B14_48_CHX_1	0.918843	0.0353024	0.0268017
BON_B15-125_1_2	0.941251	0.0278489	0.015176
BON_B15-26_1_1	0.954713	0.0216028	0.0103739
BON_B15-95_CHX_1	0.906431	0.0399247	0.0327928
BON_B15-98_1_2	0.936622	0.0323029	0.0146152
BON_B16-108_CHX-_1	0.942189	0.0282183	0.0171743
BON_B16-108_CHX_1	0.918214	0.0354888	0.0266403
BON_B16-50_1_2	0.930047	0.0299639	0.0238575
BON_B16-57_1_2	0.927207	0.0383077	0.0161829
BON_B17-28_1	0.927442	0.0353197	0.0230391
BON_B17-54_1	0.921844	0.0358477	0.0301606
BON_B18-23_CHX_1	0.908015	0.0416205	0.0301919
BON_B18-37_1	0.927993	0.0363992	0.0227852
BON_B18_65_CHX_1	0.90254	0.0419804	0.0364495
BON_B19-03_CHX_1	0.914952	0.0370005	0.0303543
BON_B19-45_CHX_1	0.906833	0.044698	0.0273437
BON_B19-52_CHX_1	0.910618	0.0364429	0.0362248
BON_B19-54_CHX_1	0.903929	0.04078	0.0348171
BON_B19-59_CHX_1	0.905324	0.04118	0.0322568
BON_B20_36_CHX_1	0.899449	0.0408593	0.0412067
BON_FC2_CHX-_1	0.925402	0.0342882	0.0275522
BON_FC2_CHX_1	0.916522	0.0364634	0.0289868
BON_UC355_CHX_1	0.916521	0.0366548	0.0287939
BON_UC522_1	0.941788	0.0309468	0.0141368
HK-006	0.956565	0.0242625	0.00843385
HK-010	0.953866	0.0262621	0.00901409
HK-015	0.956395	0.0235073	0.00975179
HK-022	0.952797	0.027221	0.00958887
HK-025	0.926535	0.048382	0.00891166
HK-032	0.951587	0.0284065	0.0085292
HK-035	0.956604	0.0244281	0.00854661
HK-047	0.955285	0.024821	0.00899143
HK-061	0.957931	0.0230999	0.00917633
HK-070	0.949864	0.0259483	0.0126128
HK-071-001	0.954786	0.0239728	0.0103464
HK-071-004	0.953609	0.0233528	0.011182
HK-073	0.956486	0.0237306	0.00952793
HK-075	0.95476	0.0256828	0.00930857
HK-081	0.957295	0.0230904	0.00888048
HK-085	0.961251	0.0202791	0.00873005
HK-087	0.959076	0.0224016	0.00825787
HK-095	0.9471	0.0274345	0.00942577
HK-100	0.935593	0.0414016	0.00812352
HK-104	0.958692	0.0215786	0.00985771
HK-107	0.950837	0.0286355	0.0092945
HK-108	0.947619	0.031691	0.00921004
HK-114	0.948251	0.0270798	0.0136356
HK-115	0.952462	0.027218	0.00876193
HK-116	0.955723	0.0251306	0.00818591
HK-119	0.959192	0.0217851	0.00858968
HK-124	0.955925	0.0247511	0.00892247
HK-126	0.952992	0.0276027	0.00839933
HK-127	0.95646	0.025086	0.00795079
HK-131	0.950552	0.0281738	0.0100206
HK-133	0.954685	0.0228269	0.0115575
HK-134	0.90787	0.0646849	0.0101033
HK-139	0.959089	0.0224385	0.00859029
HK006_0016	0.936658	0.0349039	0.0150757
HK010_0026	0.939274	0.0353836	0.0120399
HK011_0029	0.944987	0.0208137	0.0238274
HK024_0065	0.939909	0.0230535	0.0266797
HK028_0073	0.953625	0.0190849	0.0180238
HK044_0109	0.953832	0.023436	0.0128452
HK044_0110	0.916083	0.0352637	0.0357837
HK085-001	0.943253	0.0319532	0.0110605
HK088-001_2	0.951859	0.0239128	0.0101412
HK101-001	0.953173	0.0193717	0.0159235
HK106-001	0.946231	0.0212126	0.0217629
HK117_001	0.924682	0.0334287	0.0290928
INMR_IV_615	0.902039	0.0610557	0.0196196
MESP014_2	0.889566	0.0608356	0.0329501
NH12-843_Fibroblasts	0.908966	0.0454264	0.0317423
RGP_7_1_2	0.945382	0.0255409	0.0132541
RGP_7_2_2	0.942591	0.0302456	0.0107443
RGP_7_3_2	0.935575	0.0301471	0.018382
RGP_7_4_2	0.932642	0.0304118	0.0176862
RGP_7_5_2	0.94285	0.028669	0.0124977
SWE_36223_1	0.892397	0.0512965	0.0397618
SWE_36326_1	0.91328	0.0451022	0.0254103
VCGS_DLS_FAM1_1	0.938722	0.0311386	0.0156258
VCGS_FAM11_32_2	0.905039	0.0562383	0.0203307
VCGS_FAM12_36_2	0.885645	0.0529621	0.044208
VCGS_FAM147_459_2	0.954636	0.0216841	0.010482
VCGS_FAM148_462_2	0.942098	0.0339692	0.00945504
VCGS_FAM149_465_2	0.933472	0.0348763	0.0162489
VCGS_FAM150_468_2	0.945586	0.0290911	0.0110705
VCGS_FAM1_1_2	0.917508	0.043693	0.0202353
VCGS_FAM27_84_2	0.945263	0.025563	0.0170145
VCGS_FAM29_90	0.936053	0.0287927	0.0232251
VCGS_FAM2_4_2	0.948714	0.0266339	0.0104689
VCGS_FAM31_97_2	0.910973	0.0429484	0.0312943
