Sample	End 1 Sense	End 1 Antisense	End 2 Sense	End 2 Antisense
B11-25-1M	37218735.0	36995282.0	36942063.0	36721130.0
BON_B09-9_CHX_2	1030202.0	59544937.0	59432344.0	1010123.0
BON_B12-71_2	837023.0	89832206.0	89623409.0	797146.0
BON_B14-51_1_2	427602.0	44875960.0	44847014.0	408784.0
BON_B14_48_CHX-_1	1199434.0	104669121.0	104333368.0	1154967.0
BON_B14_48_CHX_1	2208680.0	130804985.0	130663596.0	2135448.0
BON_B15-125_1_2	665050.0	62798779.0	62721016.0	635877.0
BON_B15-26_1_1	352342.0	44236171.0	44189498.0	338841.0
BON_B15-95_CHX_1	1147023.0	66383006.0	66059791.0	1096345.0
BON_B15-98_1_2	517950.0	50091452.0	49998167.0	493386.0
BON_B16-108_CHX-_1	1049866.0	124558099.0	124310691.0	1002461.0
BON_B16-108_CHX_1	1991874.0	101429914.0	101306686.0	1922344.0
BON_B16-50_1_2	601527.0	42277100.0	42265191.0	557196.0
BON_B16-57_1_2	401465.0	34371184.0	34397170.0	376698.0
BON_B17-28_1	1235858.0	117894457.0	117516172.0	1176895.0
BON_B17-54_1	674626.0	60985413.0	60906865.0	628724.0
BON_B18-23_CHX_1	1112639.0	58803775.0	58486392.0	1074820.0
BON_B18-37_1	443649.0	46417477.0	46437726.0	408526.0
BON_B18_65_CHX_1	677832.0	31791398.0	31690774.0	667785.0
BON_B19-03_CHX_1	724696.0	37275086.0	37221428.0	711228.0
BON_B19-45_CHX_1	905147.0	59239093.0	58904706.0	872247.0
BON_B19-52_CHX_1	826986.0	35967319.0	35955299.0	811129.0
BON_B19-54_CHX_1	1336971.0	57995112.0	57740057.0	1288885.0
BON_B19-59_CHX_1	1106256.0	61041879.0	60758301.0	1054372.0
BON_B20_36_CHX_1	998205.0	39539387.0	39472415.0	986606.0
BON_FC2_CHX-_1	1131544.0	84860150.0	84689185.0	1073062.0
BON_FC2_CHX_1	2833476.0	142171009.0	142057242.0	2760097.0
BON_UC355_CHX_1	1488365.0	67561404.0	67569410.0	1466269.0
BON_UC522_1	449467.0	54937728.0	54735076.0	428925.0
HK-006	641879.0	104254415.0	104303982.0	615705.0
HK-010	563722.0	86036892.0	86082619.0	536673.0
HK-015	590557.0	89049580.0	88933708.0	560737.0
HK-022	678261.0	96527950.0	96595610.0	657439.0
HK-025	944410.0	111900831.0	111818883.0	923300.0
HK-032	754410.0	117187512.0	117035278.0	734798.0
HK-035	728285.0	110772557.0	110890036.0	699536.0
HK-047	596195.0	91257682.0	91160527.0	568868.0
HK-061	450765.0	71463585.0	71446925.0	429077.0
HK-070	374254.0	45155350.0	44954241.0	383222.0
HK-071-001	926655.0	138465607.0	138322958.0	912642.0
HK-071-004	327228.0	39649094.0	39539975.0	327520.0
HK-073	720602.0	108432470.0	108495589.0	698447.0
HK-075	679140.0	101153401.0	101019528.0	655732.0
HK-081	704683.0	104519471.0	104461363.0	677438.0
HK-085	757317.0	120019909.0	119989932.0	731997.0
HK-087	737411.0	106883108.0	106785518.0	711943.0
HK-095	1141435.0	102417633.0	102527630.0	1110331.0
HK-100	884144.0	121549593.0	121318669.0	873383.0
HK-104	633560.0	92382800.0	92281326.0	606626.0
HK-107	704406.0	99279335.0	99259374.0	676345.0
HK-108	732156.0	108487620.0	108546429.0	705377.0
HK-114	334272.0	40826066.0	40730744.0	332471.0
HK-115	736435.0	108543993.0	108520190.0	710389.0
HK-116	577382.0	90258522.0	90182705.0	560120.0
HK-119	618876.0	98237373.0	98218357.0	593280.0
HK-124	745617.0	110890174.0	110943204.0	718663.0
HK-126	801148.0	126353856.0	126508699.0	759774.0
HK-127	615875.0	97399781.0	97372886.0	587236.0
HK-131	692923.0	93837429.0	93861873.0	674244.0
HK-133	285795.0	34499724.0	34407000.0	291519.0
HK-134	858960.0	106129100.0	106231545.0	862198.0
HK-139	388463.0	64259084.0	64219642.0	374825.0
HK006_0016	375267.0	37629347.0	37680218.0	363721.0
HK010_0026	716438.0	81587719.0	81658606.0	690426.0
HK011_0029	572759.0	43379643.0	43261988.0	511230.0
HK024_0065	713706.0	49053648.0	49004402.0	670856.0
HK028_0073	537449.0	44976354.0	44992962.0	506527.0
