Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
B11-25-1M	80126846.0	5876240.0	10114.0	183362.0	1913841.0	34380.0
BON_B09-9_CHX_2	65059921.0	3776439.0	12777.0	23390.0	421023.0	210511.0
BON_B12-71_2	96106670.0	6813417.0	10671.0	18900.0	1133971.0	94498.0
BON_B14-51_1_2	49288542.0	2552976.0	2798.0	88066.0	479469.0	48925.0
BON_B14_48_CHX-_1	112107347.0	8660936.0	12311.0	28692.0	1492010.0	143462.0
BON_B14_48_CHX_1	143634164.0	9316762.0	34457.0	84635.0	1142573.0	296223.0
BON_B15-125_1_2	69659388.0	3818459.0	5223.0	154853.0	946326.0	103236.0
BON_B15-26_1_1	49019979.0	2027049.0	2986.0	68838.0	387214.0	51629.0
BON_B15-95_CHX_1	73084079.0	4989383.0	17120.0	39984.0	419829.0	159935.0
BON_B15-98_1_2	54660321.0	3052951.0	2913.0	136351.0	869238.0	85219.0
BON_B16-108_CHX-_1	133727700.0	9029573.0	16351.0	41968.0	1301021.0	209842.0
BON_B16-108_CHX_1	112128327.0	6691182.0	23891.0	58936.0	1149247.0	206275.0
BON_B16-50_1_2	46251067.0	3484822.0	6332.0	92347.0	543820.0	51304.0
BON_B16-57_1_2	37991985.0	2087161.0	2514.0	83081.0	523407.0	41540.0
BON_B17-28_1	124144180.0	10278782.0	17254.0	35644.0	1996069.0	178220.0
BON_B17-54_1	66050368.0	5384595.0	4899.0	34028.0	561469.0	85071.0
BON_B18-23_CHX_1	65091525.0	3885346.0	18054.0	38882.0	388822.0	155529.0
BON_B18-37_1	50614759.0	3277866.0	4019.0	35084.0	491174.0	105252.0
BON_B18_65_CHX_1	34758826.0	2786950.0	9513.0	20988.0	230869.0	104941.0
BON_B19-03_CHX_1	40981680.0	2706729.0	7774.0	30154.0	346771.0	90462.0
BON_B19-45_CHX_1	65066470.0	3841306.0	10867.0	68517.0	342583.0	119904.0
BON_B19-52_CHX_1	39760491.0	2843893.0	8881.0	11671.0	350123.0	105037.0
BON_B19-54_CHX_1	64518789.0	4466597.0	11541.0	34633.0	363641.0	86581.0
BON_B19-59_CHX_1	67061246.0	4640575.0	14741.0	72497.0	326235.0	126869.0
BON_B20_36_CHX_1	43294912.0	3758372.0	6761.0	253868.0	1075597.0	46765.0
BON_FC2_CHX-_1	91426066.0	7497749.0	19812.0	30418.0	942961.0	152090.0
BON_FC2_CHX_1	157034603.0	10390498.0	22416.0	54854.0	1590775.0	274272.0
BON_UC355_CHX_1	75357464.0	4117017.0	11436.0	47863.0	454701.0	287179.0
BON_UC522_1	59678675.0	2894545.0	3511.0	59999.0	639989.0	119998.0
HK-006	112873531.0	5218659.0	9121.0	39764.0	795284.0	238585.0
HK-010	93607596.0	4023707.0	7351.0	32818.0	754821.0	196910.0
HK-015	96738120.0	4447694.0	6279.0	41480.0	912551.0	207398.0
HK-022	105496087.0	4433416.0	8454.0	43229.0	864572.0	259372.0
HK-025	121379717.0	5158460.0	10832.0	47509.0	1995375.0	285054.0
HK-032	127105243.0	5623804.0	10529.0	63753.0	1402570.0	382519.0
HK-035	121211158.0	5111827.0	8311.0	55083.0	991493.0	385580.0
HK-047	98902817.0	4444904.0	6927.0	46024.0	828429.0	322167.0
HK-061	77624240.0	3329540.0	5425.0	38789.0	659416.0	232735.0
HK-070	48957541.0	2606221.0	3188.0	22871.0	457424.0	114356.0
HK-071-001	147134877.0	8612692.0	17257.0	51222.0	1946427.0	256109.0
HK-071-004	43149605.0	2266193.0	1783.0	15679.0	407665.0	78397.0
HK-073	117976887.0	5232598.0	8560.0	40141.0	883103.0	240846.0
HK-075	109973609.0	4886068.0	8718.0	52392.0	1100221.0	314349.0
HK-081	113596761.0	5225887.0	7515.0	41649.0	874635.0	208246.0
HK-085	130716259.0	6123428.0	8218.0	42843.0	1499492.0	257056.0
HK-087	115375129.0	5237913.0	7498.0	54670.0	1640110.0	328022.0
HK-095	111797567.0	5062145.0	7115.0	28081.0	3004714.0	140407.0
HK-100	129163706.0	6476638.0	11576.0	78216.0	2033616.0	469296.0
HK-104	99555343.0	5035441.0	8009.0	57954.0	1043171.0	347724.0
HK-107	107974351.0	4645111.0	7788.0	44950.0	809100.0	314650.0
HK-108	117758839.0	5207514.0	10624.0	52786.0	950148.0	369502.0
HK-114	44569143.0	2270954.0	2680.0	16056.0	401407.0	80281.0
HK-115	118489849.0	5193134.0	7242.0	50952.0	1019030.0	356660.0
HK-116	97302653.0	4353678.0	8646.0	57204.0	1029671.0	343224.0
HK-119	106348018.0	5069522.0	8275.0	36694.0	697189.0	220165.0
HK-124	120806565.0	5380012.0	7315.0	44585.0	936289.0	312096.0
HK-126	138073000.0	5755948.0	13660.0	60110.0	1021878.0	300552.0
HK-127	106338498.0	4472134.0	7858.0	37915.0	720387.0	265406.0
HK-131	102589571.0	4472151.0	9196.0	36381.0	727616.0	254666.0
HK-133	37920481.0	1891269.0	2021.0	15095.0	437748.0	75474.0
HK-134	114976083.0	5112653.0	12392.0	44825.0	1210280.0	268951.0
HK-139	69711508.0	2971717.0	4694.0	27024.0	621547.0	135119.0
HK006_0016	41061307.0	2202356.0	3417.0	15647.0	344227.0	93880.0
HK010_0026	88692305.0	4313022.0	9928.0	46142.0	738271.0	276852.0
HK011_0029	46386576.0	3781912.0	3356.0	23225.0	812884.0	116126.0
HK024_0065	52281923.0	4522685.0	4899.0	18995.0	778788.0	113969.0
HK028_0073	48686330.0	3048610.0	3552.0	24961.0	798738.0	124803.0
HK044_0109	44338192.0	2275497.0	3333.0	25441.0	864994.0	127205.0
HK044_0110	58671892.0	5844118.0	11407.0	34198.0	444580.0	239389.0
HK085-001	84602297.0	4035335.0	6494.0	51271.0	1025416.0	256354.0
HK088-001_2	42265043.0	1547525.0	3367.0	57738.0	368079.0	64955.0
HK101-001	100442487.0	6654861.0	8686.0	46590.0	1817029.0	232952.0
HK106-001	45266597.0	3558119.0	4171.0	21083.0	843337.0	105417.0
HK117_001	62769581.0	5637438.0	10672.0	44003.0	484036.0	220016.0
INMR_IV_615	75414743.0	4704311.0	6539.0	53281.0	1438587.0	213124.0
MESP014_2	30594885.0	2564196.0	2856.0	21025.0	364433.0	28033.0
NH12-843_Fibroblasts	21446863.0	1721016.0	1697.0	15286.0	147761.0	20381.0
RGP_7_1_2	41755751.0	2128443.0	2413.0	93793.0	572140.0	37517.0
RGP_7_2_2	41368774.0	1838687.0	4201.0	92506.0	518031.0	37002.0
RGP_7_3_2	44736538.0	2733624.0	3411.0	90525.0	531834.0	45263.0
RGP_7_4_2	33637043.0	2028399.0	3802.0	305286.0	2734858.0	16960.0
RGP_7_5_2	41523690.0	2042072.0	3105.0	86942.0	483009.0	38641.0
SWE_36223_1	54887610.0	5804754.0	8044.0	119802.0	496324.0	85573.0
SWE_36326_1	57270830.0	4128967.0	5054.0	146028.0	675380.0	91268.0
VCGS_DLS_FAM1_1	67883243.0	3796304.0	4126.0	40853.0	517469.0	81706.0
VCGS_FAM11_32_2	41482712.0	2730938.0	4598.0	73841.0	675119.0	42195.0
VCGS_FAM12_36_2	46803015.0	5709937.0	6390.0	69916.0	675859.0	34958.0
VCGS_FAM147_459_2	57467235.0	3159459.0	4221.0	36453.0	947783.0	109360.0
VCGS_FAM148_462_2	69542498.0	3196978.0	4672.0	53159.0	664491.0	132898.0
VCGS_FAM149_465_2	70006644.0	4165384.0	4920.0	24510.0	698530.0	49020.0
VCGS_FAM150_468_2	73054675.0	3812918.0	5995.0	34664.0	814603.0	86660.0
VCGS_FAM1_1_2	47829945.0	3355133.0	3527.0	91472.0	718709.0	39202.0
VCGS_FAM27_84_2	39730841.0	2215937.0	3036.0	58284.0	524553.0	38856.0
VCGS_FAM29_90	42194754.0	3359162.0	2431.0	17967.0	952267.0	89837.0
VCGS_FAM2_4_2	65806691.0	3614388.0	4066.0	17441.0	1709265.0	52324.0
VCGS_FAM31_97_2	44110513.0	3886154.0	5523.0	54423.0	676398.0	23324.0
VCGS_FAM39_123	34310782.0	2790298.0	3704.0	14708.0	705992.0	58833.0
VCGS_FAM3_7_2	72447776.0	4056164.0	6033.0	50080.0	1527449.0	125201.0
VCGS_FAM41_129_2	36904923.0	3404022.0	2568.0	64270.0	569247.0	27544.0
VCGS_FAM42_132_2	40725277.0	2385287.0	10123.0	74350.0	616046.0	42486.0
VCGS_FAM49_153	47066614.0	3262118.0	2000.0	18590.0	855154.0	74361.0
VCGS_FAM4_13_2	47543477.0	3411514.0	3023.0	76739.0	754605.0	38370.0
VCGS_FAM52_162_3	64722822.0	3879069.0	4160.0	27016.0	513308.0	40524.0
VCGS_FAM58_181	43180988.0	2611916.0	2025.0	11941.0	1014968.0	59704.0
VCGS_FAM61_190	54254866.0	3324892.0	5986.0	21721.0	781951.0	108604.0
VCGS_FAM67_209	45656955.0	2932023.0	3847.0	15194.0	835662.0	75969.0
VCGS_FAM73_227_2	66180262.0	3700275.0	4113.0	52767.0	606822.0	105534.0
VCGS_FAM84_260	34156212.0	1917795.0	4517.0	11925.0	536631.0	83476.0
