Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
B11-25-1M	38582996.0	40044109.0	1499741.0	5876240.0	3327199.0
BON_B09-9_CHX_2	60755575.0	2307777.0	1996569.0	3776439.0	606924.0
BON_B12-71_2	90157510.0	2733719.0	3215441.0	6813417.0	1294357.0
BON_B14-51_1_2	46384245.0	1181565.0	1722732.0	2552976.0	918109.0
BON_B14_48_CHX-_1	106240653.0	2172865.0	3693829.0	8660936.0	1673942.0
BON_B14_48_CHX_1	133723692.0	5619039.0	4291433.0	9316762.0	1534965.0
BON_B15-125_1_2	65140999.0	1771152.0	2747237.0	3818459.0	1474596.0
BON_B15-26_1_1	46253274.0	1061097.0	1705608.0	2027049.0	840436.0
BON_B15-95_CHX_1	67898976.0	3022549.0	2162554.0	4989383.0	929697.0
BON_B15-98_1_2	51152871.0	1571062.0	1936388.0	3052951.0	1153205.0
BON_B16-108_CHX-_1	126167865.0	3156678.0	4403157.0	9029573.0	1499202.0
BON_B16-108_CHX_1	103942755.0	4813495.0	3372077.0	6691182.0	1448794.0
BON_B16-50_1_2	43465119.0	1048111.0	1737837.0	3484822.0	945890.0
BON_B16-57_1_2	35269660.0	1283520.0	1438805.0	2087161.0	848735.0
BON_B17-28_1	116696310.0	3528734.0	3919136.0	10278782.0	1978913.0
BON_B17-54_1	62139221.0	1623961.0	2287186.0	5384595.0	688846.0
BON_B18-23_CHX_1	60013221.0	2959497.0	2118807.0	3885346.0	816061.0
BON_B18-37_1	47479594.0	1393749.0	1741416.0	3277866.0	547084.0
BON_B18_65_CHX_1	32222001.0	1413416.0	1123409.0	2786950.0	432822.0
BON_B19-03_CHX_1	38024141.0	1606827.0	1350712.0	2706729.0	471049.0
BON_B19-45_CHX_1	60103327.0	2926709.0	2036434.0	3841306.0	787026.0
BON_B19-52_CHX_1	36708970.0	1673936.0	1377585.0	2843893.0	491534.0
BON_B19-54_CHX_1	59209592.0	3033936.0	2275261.0	4466597.0	737024.0
BON_B19-59_CHX_1	62217634.0	2756476.0	2087136.0	4640575.0	799949.0
BON_B20_36_CHX_1	39946923.0	1800487.0	1547502.0	3758372.0	1433775.0
BON_FC2_CHX-_1	86029803.0	2357528.0	3038735.0	7497749.0	1031683.0
BON_FC2_CHX_1	145026065.0	6737085.0	5271453.0	10390498.0	1916920.0
BON_UC355_CHX_1	69365697.0	3614486.0	2377281.0	4117017.0	750417.0
BON_UC522_1	56134701.0	1624563.0	1919411.0	2894545.0	809696.0
HK-006	106613707.0	2645754.0	3614070.0	5218659.0	896854.0
HK-010	88217449.0	2380390.0	3009757.0	4023707.0	785115.0
HK-015	91452734.0	2131733.0	3153653.0	4447694.0	878074.0
HK-022	99362967.0	2817994.0	3315126.0	4433416.0	893388.0
HK-025	111751028.0	5487897.0	4140792.0	5158460.0	1591315.0
HK-032	119332619.0	3466647.0	4305977.0	5623804.0	1299716.0
HK-035	114461137.0	2917946.0	3832075.0	5111827.0	954214.0
HK-047	93358070.0	2330907.0	3213840.0	4444904.0	861416.0
HK-061	73478187.0	1717966.0	2428087.0	3329540.0	609918.0
HK-070	46276589.0	1122528.0	1558424.0	2606221.0	606591.0
HK-071-001	139679333.0	3145416.0	4310128.0	8612692.0	1655835.0
HK-071-004	40841237.0	875002.0	1433366.0	2266193.0	488572.0
HK-073	111604894.0	2744359.0	3627634.0	5232598.0	964322.0
HK-075	103694450.0	2718000.0	3561159.0	4886068.0	1064727.0
HK-081	107375614.0	2528508.0	3692639.0	5225887.0	900488.0
HK-085	123948432.0	2542544.0	4225283.0	6123428.0	1454444.0
HK-087	109228623.0	2627001.0	3519505.0	5237913.0	1327850.0
HK-095	103994044.0	3236201.0	4567322.0	5062145.0	2477134.0
HK-100	120639002.0	4784801.0	3739903.0	6476638.0	1505059.0
HK-104	94547729.0	2009878.0	2997736.0	5035441.0	903829.0
HK-107	101606627.0	3001473.0	3366251.0	4645111.0	908769.0
HK-108	110647494.0	3551637.0	3559708.0	5207514.0	986939.0
HK-114	42091260.0	1076353.0	1401530.0	2270954.0	464904.0
HK-115	111224294.0	3098679.0	4166876.0	5193134.0	1054148.0
HK-116	91892667.0	2326606.0	3083380.0	4353678.0	948778.0
HK-119	100656003.0	2216856.0	3475159.0	5069522.0	765328.0
HK-124	114075629.0	2888709.0	3842227.0	5380012.0	988318.0
HK-126	129924809.0	3634918.0	4513273.0	5755948.0	1107568.0
HK-127	100359703.0	2579364.0	3399431.0	4472134.0	863992.0
HK-131	96473052.0	2758708.0	3357811.0	4472151.0	824188.0
HK-133	35847011.0	743463.0	1330007.0	1891269.0	557519.0
HK-134	105215272.0	6591581.0	3169230.0	5112653.0	1107401.0
HK-139	65995221.0	1526320.0	2189967.0	2971717.0	591400.0
HK006_0016	38406046.0	1285066.0	1370195.0	2202356.0	359135.0
HK010_0026	82822545.0	2939303.0	2930457.0	4313022.0	763768.0
HK011_0029	43936087.0	797957.0	1652532.0	3781912.0	607260.0
HK024_0065	49579321.0	947860.0	1754742.0	4522685.0	650090.0
HK028_0073	46252458.0	832301.0	1601571.0	3048610.0	588740.0
HK044_0109	41916340.0	1053508.0	1368344.0	2275497.0	538246.0
HK044_0110	55167814.0	1426175.0	2077903.0	5844118.0	669120.0
HK085-001	78950363.0	2611760.0	3040174.0	4035335.0	898986.0
HK088-001_2	39613636.0	1092930.0	1558477.0	1547525.0	837898.0
HK101-001	95135708.0	1843827.0	3462952.0	6654861.0	1449038.0
HK106-001	42981925.0	758762.0	1525910.0	3558119.0	621720.0
HK117_001	59023938.0	1523409.0	2222234.0	5637438.0	655182.0
INMR_IV_615	68824829.0	4003966.0	2585948.0	4704311.0	1059846.0
MESP014_2	28024449.0	1620327.0	950109.0	2564196.0	519835.0
NH12-843_Fibroblasts	19896234.0	793062.0	757567.0	1721016.0	313369.0
RGP_7_1_2	39236993.0	914816.0	1603942.0	2128443.0	883580.0
RGP_7_2_2	38734434.0	1120746.0	1513594.0	1838687.0	838275.0
RGP_7_3_2	41910494.0	1103852.0	1722192.0	2733624.0	824255.0
RGP_7_4_2	31530049.0	827509.0	1279485.0	2028399.0	3500675.0
RGP_7_5_2	38854813.0	1023257.0	1645620.0	2042072.0	784131.0
SWE_36223_1	50695390.0	2068274.0	2123946.0	5804754.0	862141.0
SWE_36326_1	52895434.0	2147511.0	2227885.0	4128967.0	987263.0
VCGS_DLS_FAM1_1	63488834.0	2157507.0	2236902.0	3796304.0	894785.0
VCGS_FAM11_32_2	37737860.0	2085828.0	1659024.0	2730938.0	885086.0
VCGS_FAM12_36_2	42935764.0	1868609.0	1998642.0	5709937.0	984360.0
VCGS_FAM147_459_2	53952666.0	1214665.0	2299904.0	3159459.0	868838.0
VCGS_FAM148_462_2	64616620.0	2283576.0	2642302.0	3196978.0	749034.0
VCGS_FAM149_465_2	64715319.0	2356596.0	2934729.0	4165384.0	856831.0
VCGS_FAM150_468_2	68139465.0	2052942.0	2862268.0	3812918.0	906369.0
VCGS_FAM1_1_2	43793843.0	1757459.0	2278643.0	3355133.0	966305.0
VCGS_FAM27_84_2	37604970.0	900269.0	1225602.0	2215937.0	754602.0
VCGS_FAM29_90	39677366.0	1021719.0	1495669.0	3359162.0	710086.0
VCGS_FAM2_4_2	61155079.0	1703481.0	2948131.0	3614388.0	1893104.0
VCGS_FAM31_97_2	40975152.0	1535731.0	1599630.0	3886154.0	1005963.0
VCGS_FAM39_123	32465637.0	597588.0	1247557.0	2790298.0	540722.0
VCGS_FAM3_7_2	67203523.0	2635330.0	2608923.0	4056164.0	1266081.0
VCGS_FAM41_129_2	33722577.0	1511585.0	1670761.0	3404022.0	800788.0
VCGS_FAM42_132_2	38489663.0	994366.0	1241248.0	2385287.0	837629.0
VCGS_FAM49_153	44354003.0	925830.0	1786781.0	3262118.0	656662.0
VCGS_FAM4_13_2	42728728.0	2481412.0	2333337.0	3411514.0	988180.0
VCGS_FAM52_162_3	60712434.0	1555502.0	2454886.0	3879069.0	668569.0
VCGS_FAM58_181	40545001.0	927010.0	1708977.0	2611916.0	779650.0
VCGS_FAM61_190	51112435.0	1104193.0	2038238.0	3324892.0	652965.0
VCGS_FAM67_209	43151917.0	958340.0	1546698.0	2932023.0	644233.0
VCGS_FAM73_227_2	61046507.0	2296641.0	2837114.0	3700275.0	714875.0
VCGS_FAM84_260	32095552.0	684276.0	1376384.0	1917795.0	447760.0
