Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
B11-25-1M	38561027.0	40054888.0	1510931.0	5876240.0	3327199.0
BON_B09-9_CHX_2	3264187.0	61694779.0	100955.0	3776439.0	606924.0
BON_B12-71_2	5378070.0	90492792.0	235808.0	6813417.0	1294357.0
BON_B14-51_1_2	3041475.0	46128540.0	118527.0	2552976.0	918109.0
BON_B14_48_CHX-_1	6655615.0	105152912.0	298820.0	8660936.0	1673942.0
BON_B14_48_CHX_1	7654011.0	135748257.0	231896.0	9316762.0	1534965.0
BON_B15-125_1_2	4877377.0	64548328.0	233683.0	3818459.0	1474596.0
BON_B15-26_1_1	3133032.0	45749375.0	137572.0	2027049.0	840436.0
BON_B15-95_CHX_1	3879717.0	69070719.0	133643.0	4989383.0	929697.0
BON_B15-98_1_2	3447144.0	51060033.0	153144.0	3052951.0	1153205.0
BON_B16-108_CHX-_1	7737388.0	125656301.0	334011.0	9029573.0	1499202.0
BON_B16-108_CHX_1	6063744.0	105866708.0	197875.0	6691182.0	1448794.0
BON_B16-50_1_2	3004584.0	43107159.0	139324.0	3484822.0	945890.0
BON_B16-57_1_2	2537452.0	35334577.0	119956.0	2087161.0	848735.0
BON_B17-28_1	6596348.0	117266884.0	280948.0	10278782.0	1978913.0
BON_B17-54_1	3822632.0	62069007.0	158729.0	5384595.0	688846.0
BON_B18-23_CHX_1	3631980.0	61327819.0	131726.0	3885346.0	816061.0
BON_B18-37_1	3089506.0	47397087.0	128166.0	3277866.0	547084.0
BON_B18_65_CHX_1	1733104.0	32972190.0	53532.0	2786950.0	432822.0
BON_B19-03_CHX_1	2024458.0	38897684.0	59538.0	2706729.0	471049.0
BON_B19-45_CHX_1	3330500.0	61632065.0	103905.0	3841306.0	787026.0
BON_B19-52_CHX_1	2085953.0	37612264.0	62274.0	2843893.0	491534.0
BON_B19-54_CHX_1	3596697.0	60792532.0	129560.0	4466597.0	737024.0
BON_B19-59_CHX_1	3506506.0	63443083.0	111657.0	4640575.0	799949.0
BON_B20_36_CHX_1	2219317.0	41002765.0	72830.0	3758372.0	1433775.0
BON_FC2_CHX-_1	5439981.0	85729998.0	256087.0	7497749.0	1031683.0
