Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
B11-25-1M	69362825.0	4031895.0	6732126.0	5876240.0	3327199.0
BON_B09-9_CHX_2	58065089.0	2030331.0	4964501.0	3776439.0	606924.0
BON_B12-71_2	85212064.0	2488090.0	8406516.0	6813417.0	1294357.0
BON_B14-51_1_2	43513364.0	1079272.0	4695906.0	2552976.0	918109.0
BON_B14_48_CHX-_1	99957825.0	1941372.0	10208150.0	8660936.0	1673942.0
BON_B14_48_CHX_1	127399755.0	4967986.0	11266423.0	9316762.0	1534965.0
BON_B15-125_1_2	60524285.0	1592676.0	7542427.0	3818459.0	1474596.0
BON_B15-26_1_1	43293498.0	944642.0	4781839.0	2027049.0	840436.0
BON_B15-95_CHX_1	64607462.0	2727504.0	5749113.0	4989383.0	929697.0
BON_B15-98_1_2	47937632.0	1418145.0	5304544.0	3052951.0	1153205.0
BON_B16-108_CHX-_1	118928869.0	2864428.0	11934403.0	9029573.0	1499202.0
BON_B16-108_CHX_1	98917676.0	4299123.0	8911528.0	6691182.0	1448794.0
BON_B16-50_1_2	40609294.0	947061.0	4694712.0	3484822.0	945890.0
BON_B16-57_1_2	32906939.0	1170092.0	3914954.0	2087161.0	848735.0
BON_B17-28_1	110701049.0	3193454.0	10249677.0	10278782.0	1978913.0
BON_B17-54_1	58576341.0	1476080.0	5997947.0	5384595.0	688846.0
BON_B18-23_CHX_1	56958598.0	2670103.0	5462824.0	3885346.0	816061.0
BON_B18-37_1	44609474.0	1273050.0	4732235.0	3277866.0	547084.0
BON_B18_65_CHX_1	30758382.0	1285034.0	2715410.0	2786950.0	432822.0
BON_B19-03_CHX_1	36324673.0	1454443.0	3202564.0	2706729.0	471049.0
BON_B19-45_CHX_1	57277485.0	2684055.0	5104930.0	3841306.0	787026.0
BON_B19-52_CHX_1	35003133.0	1494146.0	3263212.0	2843893.0	491534.0
BON_B19-54_CHX_1	56266077.0	2702681.0	5550031.0	4466597.0	737024.0
BON_B19-59_CHX_1	59299759.0	2469127.0	5292360.0	4640575.0	799949.0
BON_B20_36_CHX_1	38091248.0	1625173.0	3578491.0	3758372.0	1433775.0
BON_FC2_CHX-_1	80956276.0	2125889.0	8343901.0	7497749.0	1031683.0
BON_FC2_CHX_1	137607089.0	6019116.0	13408398.0	10390498.0	1916920.0
BON_UC355_CHX_1	66150728.0	3171057.0	6035679.0	4117017.0	750417.0
BON_UC522_1	52853437.0	1498362.0	5326876.0	2894545.0	809696.0
HK-006	100543370.0	2421097.0	9909064.0	5218659.0	896854.0
HK-010	82985340.0	2176519.0	8445737.0	4023707.0	785115.0
HK-015	85529375.0	1953914.0	9254831.0	4447694.0	878074.0
HK-022	93509098.0	2582121.0	9404868.0	4433416.0	893388.0
HK-025	104901344.0	5014741.0	11463632.0	5158460.0	1591315.0
HK-032	111749667.0	3188237.0	12167339.0	5623804.0	1299716.0
HK-035	107435024.0	2669804.0	11106330.0	5111827.0	954214.0
HK-047	87532900.0	2128727.0	9241190.0	4444904.0	861416.0
HK-061	68924152.0	1573541.0	7126547.0	3329540.0	609918.0
HK-070	43656324.0	1008343.0	4292874.0	2606221.0	606591.0
HK-071-001	132078327.0	2883978.0	12172572.0	8612692.0	1655835.0
HK-071-004	38383000.0	778936.0	3987669.0	2266193.0	488572.0
HK-073	104952960.0	2494746.0	10529181.0	5232598.0	964322.0
HK-075	97234832.0	2492644.0	10246133.0	4886068.0	1064727.0
HK-081	100848539.0	2286350.0	10461872.0	5225887.0	900488.0
HK-085	116027463.0	2321900.0	12366896.0	6123428.0	1454444.0
HK-087	102635538.0	2355832.0	10383759.0	5237913.0	1327850.0
HK-095	97424060.0	2673545.0	11699962.0	5062145.0	2477134.0
HK-100	114293846.0	4399609.0	10470251.0	6476638.0	1505059.0
HK-104	88865746.0	1845893.0	8843704.0	5035441.0	903829.0
HK-107	95540448.0	2721103.0	9712800.0	4645111.0	908769.0
HK-108	104099695.0	3273222.0	10385922.0	5207514.0	986939.0
HK-114	39671065.0	977780.0	3920298.0	2270954.0	464904.0
HK-115	103940277.0	2814872.0	11734700.0	5193134.0	1054148.0
