Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B11-25-1M	B11-25-1M.bam	Conventional base calls	Sanger / Illumina 1.9	184313003.0	0.0	76.0	48.0	40.22894067576438	76.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
BON_B09-9_CHX_2	BON_B09-9_CHX_2.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	166104172.0	0.0	101.0	51.0	62.79044350085735	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
BON_B12-71_2	BON_B12-71_2.bam	Conventional base calls	Sanger / Illumina 1.9	221492581.0	0.0	101.0	50.0	51.308352375262764	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
BON_B14-51_1_2	BON_B14-51_1_2.bam	Conventional base calls	Sanger / Illumina 1.9	110223752.0	0.0	101.0	49.0	60.020201115168746	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
BON_B14_48_CHX-_1	BON_B14_48_CHX-_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	306125644.0	0.0	101.0	52.0	52.381978257870756	101.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
BON_B14_48_CHX_1	BON_B14_48_CHX_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	372846036.0	0.0	101.0	50.0	56.1577287883361	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
BON_B15-125_1_2	BON_B15-125_1_2.bam	Conventional base calls	Sanger / Illumina 1.9	157735244.0	0.0	101.0	50.0	48.27334533478672	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
BON_B15-26_1_1	BON_B15-26_1_1.bam	Conventional base calls	Sanger / Illumina 1.9	107654054.0	0.0	101.0	49.0	56.517220618036966	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
BON_B15-95_CHX_1	BON_B15-95_CHX_1.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	196935683.0	0.0	101.0	50.0	65.74707070947761	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
BON_B15-98_1_2	BON_B15-98_1_2.bam	Conventional base calls	Sanger / Illumina 1.9	124012065.0	0.0	101.0	50.0	50.24065856740309	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
