Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B11-25-1M	0.880352	25646	0.0103393	90.9	80126846.0	59.77105932423562	48.0	76.0	18.181818181818183	184313003.0
BON_B12-71_2	0.920903	23059	0.00470172	92.25	96106670.0	48.691647624737236	50.0	101.0	0.0	221492581.0
BON_B14-51_1_2	0.93281	20697	0.00502793	93.95	49288542.0	39.979798884831254	49.0	101.0	0.0	110223752.0
BON_B15-125_1_2	0.928613	21598	0.00591283	93.27	69659388.0	51.72665466521328	50.0	101.0	9.090909090909092	157735244.0
BON_B15-26_1_1	0.944084	20462	0.00552739	95.08	49019979.0	43.482779381963034	49.0	101.0	0.0	107654054.0
BON_B15-95_CHX_1	0.899567	23676	0.00402344	92.85	73084079.0	34.25292929052239	50.0	101.0	0.0	196935683.0
BON_B15-98_1_2	0.924457	21564	0.00698855	92.95	54660321.0	49.75934143259691	50.0	101.0	0.0	124012065.0
BON_B16-50_1_2	0.918144	20840	0.00459146	91.71	46251067.0	39.73648873750416	50.0	101.0	0.0	108114311.0
BON_B16-57_1_2	0.913879	20861	0.00606966	93.28	37991985.0	38.216142315218946	49.0	101.0	0.0	86024992.0
BON_B17-28_1	0.917781	23858	0.00276628	90.85	124144180.0	50.20205480943968	51.0	101.0	9.090909090909092	291876845.0
BON_B18-23_CHX_1	0.901224	24432	0.00361881	93.55	65091525.0	36.16952890205314	50.0	101.0	0.0	167143754.0
BON_B19-45_CHX_1	0.900188	23409	0.0032156	93.69	65066470.0	34.9512877769108	49.0	101.0	0.0	166506902.0
BON_B19-54_CHX_1	0.897797	23295	0.00429926	92.86	64518789.0	34.81250673007639	49.0	101.0	0.0	172014609.0
BON_B19-59_CHX_1	0.898933	23575	0.00328042	92.83	67061246.0	33.89956024551279	50.0	101.0	0.0	180595741.0
HK-006	0.951622	21917	0.00271343	94.71	112873531.0	50.613759035184245	48.0	101.0	9.090909090909092	247971498.0
HK-010	0.948596	21549	0.00256468	94.91	93607596.0	45.284960226731705	48.0	101.0	0.0	204865809.0
HK-015	0.950903	21665	0.00157556	94.51	96738120.0	46.24222391872348	49.0	101.0	0.0	212834872.0
HK-022	0.947638	22019	0.00333842	94.95	105496087.0	47.313420676612886	47.0	101.0	0.0	230520621.0
HK-025	0.918535	23304	0.00574803	94.18	121379717.0	63.06464532495588	48.0	101.0	9.090909090909092	268515148.0
HK-032	0.94557	22767	0.00284264	94.44	127105243.0	50.48324057979775	48.0	101.0	9.090909090909092	279895627.0
HK-035	0.951754	22125	0.00315331	94.87	121211158.0	49.73112727123875	48.0	101.0	0.0	264753614.0
HK-047	0.950101	21524	0.00214886	94.6	98902817.0	47.978220236837565	49.0	101.0	0.0	217213109.0
HK-061	0.953172	20717	0.00213694	94.79	77624240.0	43.2492552466355	48.0	101.0	0.0	169889720.0
