Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA rate	Chimeric Alignment Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads excluded from exon counts	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
B11-25-1M	0.971783	1.0	0.0	0.0	0.00542202	0.975017	0.96855	0.00508409	0.0057622	0.880352	0.912787	0.905914	0.0518527	0.0245525	0.957766	0.0176812	0.926739	0.0487311	0.011785	0.97547	0.012745	0.0	0.0103393	0.0	0.501505	0.5015	0.223381	31770919.0	396859.0	0.0	36995282.0	36721130.0	6539746268.0	6496366532.0	86049293.0	85478507.0	33248638.0	37433367.0	37218735.0	36942063.0	155389366.0	0.0	156568320.0	4211438.0	164283544.0	3032818.0	8894178.0	16520032.0	14959480.0	0.0	171527800.0	171527800.0	70682005.0	170453569.0	0.0	0.0	171527800.0	1773475.0	13036112800.0	84902164.0	208279182.0	176508263.0	0.0	76.0	25646.0	0.0	9772.0	0.603789	0.652174	0.298487	0.34721	0.383966	0.867925	0.0	0.0	0.899806	0.219691	0.212834
BON_B09-9_CHX_2	0.994159	1.0	0.0	0.0	0.00206984	0.995303	0.993016	0.00196341	0.00217652	0.919485	0.934638	0.924887	0.032016	0.0243537	0.956903	0.0187433	0.946366	0.0259133	0.0122633	0.972279	0.0154576	0.0	0.00234346	0.00471515	0.017007	0.983288	0.429434	27067700.0	651749.0	0.0	59544937.0	1010123.0	6988362205.0	6972302801.0	69191705.0	69032701.0	13721021.0	15175387.0	1030202.0	59432344.0	127841959.0	0.0	129189718.0	3366273.0	132267348.0	2590785.0	4425389.0	8219972.0	9034688.0	0.0	138224406.0	138224406.0	28896408.0	138224292.0	0.0		138224406.0	323924.0	13960665006.0	68910956.0	166104172.0	139036472.0	0.0	101.0	23456.0	0.0	9622.0	0.416791	0.365	0.301732	0.361303	0.148148	0.662651	3.36134	2.98351	0.918522	0.20906	0.195062
BON_B12-71_2	0.990455	1.0	0.0	0.0	0.00231765	0.991803	0.989107	0.00185061	0.00278598	0.920903	0.924208	0.929778	0.0352287	0.0214158	0.965007	0.0135774	0.95665	0.0262837	0.00640406	0.982934	0.0106618	0.0	0.00470172	0.0	0.00923161	0.991184	0.46964	47475757.0	743460.0	0.0	89832206.0	797146.0	10437678956.0	10409300885.0	103343356.0	103062385.0	19316023.0	29000073.0	837023.0	89623409.0	191911529.0	0.0	190761747.0	4420349.0	199182933.0	2802459.0	7271404.0	15398098.0	15643994.0	0.0	206405741.0	206405741.0	48316096.0	206405400.0	0.0	0.0	206405741.0	970461.0	20846979841.0	102902521.0	255870659.0	208394902.0	0.0	101.0	23059.0	0.0	11218.0	0.429897	0.382022	0.30946	0.37904	0.152542	0.689655	0.0	0.0	0.858911	0.176404	0.168678
BON_B14-51_1_2	0.988112	1.0	0.0	0.0	0.00483851	0.990018	0.986206	0.00543779	0.00423691	0.93281	0.929308	0.944032	0.0268602	0.0143649	0.970892	0.0147427	0.960308	0.0222835	0.00586015	0.982592	0.0115481	0.0	0.00502793	0.0	0.0094386	0.990967	0.441959	14573000.0	504757.0	0.0	44875960.0	408784.0	5246644071.0	5226442152.0	51946971.0	51746952.0	28530146.0	22143956.0	427602.0	44847014.0	97890407.0	0.0	96363587.0	1489549.0	100675647.0	1528727.0	2785240.0	6262939.0	7330336.0	0.0	103693923.0	103693923.0	50674102.0	103693893.0	0.0	0.0	103693923.0	521366.0	10473086223.0	51552149.0	119514449.0	104941449.0	0.0	101.0	20697.0	0.0	8705.0	0.506866	0.502326	0.314701	0.420152	0.222222	0.789474	0.0	0.0	0.944973	0.21458	0.210115
BON_B14_48_CHX-_1	0.99025	1.0	0.0	0.0	0.00176673	0.991605	0.988896	0.00172387	0.00180971	0.93262	0.918076	0.941803	0.0253271	0.0210351	0.96713	0.0118352	0.96942	0.0168133	0.00523496	0.986234	0.00853135	0.0	0.00333311	0.00593396	0.0113295	0.989051	0.484832	61177130.0	1439343.0	0.0	104669121.0	1154967.0	12266053777.0	12232545310.0	121446077.0	121114310.0	21145039.0	22137323.0	1199434.0	104333368.0	228444004.0	0.0	222688790.0	5102291.0	234587345.0	2870751.0	6143341.0	19304877.0	19871597.0	0.0	242560387.0	242560387.0	43282362.0	242560358.0	0.0		242560387.0	808480.0	24498599087.0	120803075.0	306125644.0	244948514.0	0.0	101.0	22766.0	0.0	11313.0	0.446808	0.409091	0.309911	0.388303	0.169697	0.708333	3.7619	3.32156	0.860249	0.162304	0.154763
BON_B14_48_CHX_1	0.993097	1.0	0.0	0.0	0.00187866	0.994017	0.992177	0.00180276	0.00195471	0.9125	0.93043	0.918843	0.0353024	0.0268017	0.954145	0.0190533	0.942985	0.0280077	0.0136465	0.970993	0.0153604	0.0	0.0039026	0.003086	0.0166049	0.98392	0.395558	63735748.0	947329.0	0.0	130804985.0	2135448.0	15516681813.0	15487944687.0	153630513.0	153345987.0	27972827.0	30274479.0	2208680.0	130663596.0	282063068.0	0.0	285620016.0	8227498.0	292900084.0	5848918.0	10837016.0	20352979.0	21356484.0	0.0	306976500.0	306976500.0	58247306.0	306976396.0	0.0		306976500.0	1198005.0	31004626500.0	153022866.0	372846036.0	309110288.0	0.0	101.0	25780.0	0.0	11229.0	0.440062	0.4	0.309362	0.388621	0.159722	0.702128	5.6709	4.38286	0.872125	0.184326	0.177937
BON_B15-125_1_2	0.986573	1.0	0.0	0.0	0.00454066	0.989134	0.984011	0.00488423	0.0041953	0.928613	0.924628	0.941251	0.0278489	0.015176	0.9691	0.0157236	0.957779	0.0236188	0.00615143	0.981398	0.0124509	0.0	0.00591283	0.0	0.0104792	0.989964	0.432571	21718763.0	1254101.0	0.0	62798779.0	635877.0	7462659215.0	7424013888.0	73887715.0	73505088.0	36449354.0	31145985.0	665050.0	62721016.0	138733692.0	0.0	136283505.0	2236828.0	142838423.0	2317552.0	4104731.0	9456540.0	11109298.0	0.0	147392803.0	147392803.0	67595339.0	147392769.0	0.0	0.0	147392803.0	871508.0	14886673103.0	73225146.0	171117611.0	149398848.0	0.0	101.0	21598.0	0.0	10344.0	0.507158	0.508197	0.310822	0.411448	0.228457	0.784314	0.0	0.0	0.945406	0.216121	0.211277
BON_B15-26_1_1	0.988867	1.0	0.0	0.0	0.00451812	0.991363	0.986371	0.00467173	0.00436373	0.944084	0.941257	0.954713	0.0216028	0.0103739	0.976315	0.0133106	0.964868	0.0184471	0.00611901	0.983315	0.0105657	0.0	0.00552739	0.0	0.00790208	0.99239	0.433017	8939046.0	330586.0	0.0	44236171.0	338841.0	5163292407.0	5137289654.0	51121707.0	50864254.0	24121526.0	22417732.0	352342.0	44189498.0	97367287.0	0.0	95994982.0	1057997.0	99570469.0	1357495.0	2203182.0	5136468.0	5990979.0	0.0	101985961.0	101985961.0	46539258.0	101985918.0	0.0	0.0	101985961.0	563716.0	10300582061.0	50726317.0	112073210.0	103134164.0	0.0	101.0	20462.0	0.0	8953.0	0.511888	0.515625	0.30983	0.407823	0.234568	0.785714	0.0	0.0	0.963398	0.225649	0.218048
BON_B15-95_CHX_1	0.992427	1.0	0.0	0.0	0.00512549	0.995336	0.989518	0.00289102	0.00737309	0.899567	0.920338	0.906431	0.0399247	0.0327928	0.946356	0.0208512	0.937108	0.0303494	0.0150276	0.967457	0.0175153	0.0	0.00402344	0.00299046	0.0169854	0.983675	0.385953	39482233.0	467293.0	0.0	66383006.0	1096345.0	7914314651.0	7868054631.0	78359551.0	77901531.0	22880463.0	58011889.0	1147023.0	66059791.0	141639933.0	0.0	143812943.0	5124244.0	147878604.0	3258234.0	6238671.0	11021275.0	12448139.0	0.0	156261082.0	156261082.0	80892352.0	156261020.0	0.0		156261082.0	628707.0	15782369282.0	77798200.0	196935683.0	157453450.0	0.0	101.0	23676.0	0.0	9334.0	0.444955	0.403846	0.311112	0.389707	0.163743	0.714286	3.40309	2.84453	0.874754	0.184195	0.183497
BON_B15-98_1_2	0.987012	1.0	0.0	0.0	0.00452771	0.989208	0.984815	0.00503232	0.00402085	0.924457	0.921339	0.936622	0.0323029	0.0146152	0.968925	0.01646	0.953005	0.0276375	0.0060973	0.980643	0.0132599	0.0	0.00698855	0.0	0.0102343	0.990228	0.446312	16998463.0	1348016.0	0.0	50091452.0	493386.0	5876533298.0	5850432575.0	58183498.0	57925075.0	29572584.0	23523699.0	517950.0	49998167.0	108749838.0	0.0	106975343.0	1696955.0	112500476.0	1911142.0	3750638.0	7452326.0	9133230.0	0.0	116108573.0	116108573.0	53096283.0	116108553.0	0.0	0.0	116108573.0	811431.0	11726965873.0	57664714.0	134634950.0	117636487.0	0.0	101.0	21564.0	0.0	9185.0	0.496138	0.5	0.312158	0.412025	0.214286	0.772727	0.0	0.0	0.921443	0.206785	0.201632
