Module	Section	Sample Name	Source
STAR	SummaryLog	VCGS_FAM1_1_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/VCGS_FAM1_1_2.Log.final.out
STAR	SummaryLog	BON_B14-51_1_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/BON_B14-51_1_2.Log.final.out
STAR	SummaryLog	HK-087	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK-087.Log.final.out
STAR	SummaryLog	HK-010	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK-010.Log.final.out
STAR	SummaryLog	HK088-001_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK088-001_2.Log.final.out
STAR	SummaryLog	HK101-001	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK101-001.Log.final.out
STAR	SummaryLog	HK-134	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK-134.Log.final.out
STAR	SummaryLog	VCGS_FAM11_32_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/VCGS_FAM11_32_2.Log.final.out
STAR	SummaryLog	HK-073	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK-073.Log.final.out
STAR	SummaryLog	BON_B12-71_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/BON_B12-71_2.Log.final.out
STAR	SummaryLog	VCGS_FAM3_7_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/VCGS_FAM3_7_2.Log.final.out
STAR	SummaryLog	VCGS_DLS_FAM1_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/VCGS_DLS_FAM1_1.Log.final.out
STAR	SummaryLog	HK-127	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK-127.Log.final.out
STAR	SummaryLog	HK028_0073	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK028_0073.Log.final.out
STAR	SummaryLog	HK024_0065	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK024_0065.Log.final.out
STAR	SummaryLog	HK-070	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK-070.Log.final.out
STAR	SummaryLog	HK-119	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK-119.Log.final.out
STAR	SummaryLog	BON_B18-23_CHX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/BON_B18-23_CHX_1.Log.final.out
STAR	SummaryLog	HK-133	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK-133.Log.final.out
STAR	SummaryLog	HK-124	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/HK-124.Log.final.out
STAR	SummaryLog	VCGS_FAM58_181	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/fibroblasts/star/VCGS_FAM58_181.Log.final.out
