Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
B11-25-1M	88144783.0	152.0	80126846.0	90.9	149.62	34477782.0	34477268.0	34089136.0	351104.0	25625.0	11917.0	0.51	0.01	1.65	0.01	1.43	5876240.0	6.67	10114.0	0.01	0.16	1.67	0.03	183362	1913841	34380
BON_B09-9_CHX_2	69504061.0	202.0	65059921.0	93.61	200.69	55628147.0	55627731.0	55109474.0	460460.0	39816.0	18397.0	0.19	0.0	1.98	0.01	1.72	3776439.0	5.43	12777.0	0.02	0.01	0.18	0.09	23390	421023	210511
BON_B12-71_2	104178126.0	202.0	96106670.0	92.25	200.66	89045089.0	89043808.0	88261435.0	699914.0	59001.0	24739.0	0.22	0.01	1.73	0.01	1.61	6813417.0	6.54	10671.0	0.01	0.01	0.6	0.05	18900	1133971	94498
BON_B14-51_1_2	52460776.0	202.0	49288542.0	93.95	199.81	42898389.0	42898219.0	42545883.0	309223.0	30592.0	12691.0	0.45	0.01	2.12	0.0	1.6	2552976.0	4.87	2798.0	0.01	0.09	0.49	0.05	88066	479469	48925
BON_B14_48_CHX-_1	122444759.0	202.0	112107347.0	91.56	200.66	107324783.0	107324053.0	106338362.0	858372.0	91932.0	36117.0	0.16	0.01	1.82	0.01	1.55	8660936.0	7.07	12311.0	0.01	0.01	0.52	0.05	28692	1492010	143462
BON_B14_48_CHX_1	154508814.0	202.0	143634164.0	92.96	200.66	111860942.0	111859161.0	110486107.0	1225388.0	105706.0	43741.0	0.17	0.01	1.95	0.01	1.61	9316762.0	6.03	34457.0	0.02	0.02	0.27	0.07	84635	1142573	296223
BON_B15-125_1_2	74687485.0	202.0	69659388.0	93.27	199.81	59493608.0	59493440.0	58923620.0	505598.0	42796.0	21594.0	0.42	0.01	2.12	0.0	1.48	3818459.0	5.11	5223.0	0.01	0.09	0.55	0.06	154853	946326	103236
BON_B15-26_1_1	51557695.0	202.0	49019979.0	95.08	199.95	41665791.0	41665639.0	41344221.0	281262.0	27353.0	12955.0	0.42	0.01	1.86	0.0	1.51	2027049.0	3.93	2986.0	0.01	0.08	0.45	0.06	68838	387214	51629
BON_B15-95_CHX_1	78710329.0	202.0	73084079.0	92.85	200.06	56023485.0	56022905.0	55515635.0	450920.0	40605.0	16325.0	0.5	0.01	1.95	0.01	1.61	4989383.0	6.34	17120.0	0.02	0.02	0.21	0.08	39984	419829	159935
BON_B15-98_1_2	58806994.0	202.0	54660321.0	92.95	199.81	48144323.0	48144133.0	47771462.0	329688.0	29869.0	13304.0	0.42	0.01	1.9	0.0	1.62	3052951.0	5.19	2913.0	0.0	0.08	0.51	0.05	136351	869238	85219
BON_B16-108_CHX-_1	144326455.0	202.0	133727700.0	92.66	200.72	126610149.0	126609018.0	125409339.0	1059346.0	104724.0	36740.0	0.16	0.01	1.92	0.01	1.65	9029573.0	6.26	16351.0	0.01	0.01	0.31	0.05	41968	1301021	209842
