Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
1179-1	76969620.0	6131195.0	12009.0	283561.0	3201880.0	35445.0
1211-1	149232351.0	24140380.0	82139.0	590369.0	8433848.0	506031.0
1258-1	172635677.0	18295653.0	56122.0	599172.0	7525596.0	143801.0
126BG_CB_M1	46728578.0	6919862.0	40362.0	443354.0	2210345.0	57829.0
146BO_JB_M1	45201499.0	4689201.0	20249.0	437844.0	1641916.0	12162.0
149BP_AB_M1	107326495.0	12750153.0	107236.0	234350.0	2390372.0	406207.0
153BR_JB_M1	54141206.0	5326818.0	22789.0	457474.0	2040479.0	79876.0
163BV_JE_M1	46883471.0	5017228.0	20712.0	446930.0	1807151.0	32386.0
164BW_KC_M1	54435494.0	5462368.0	14079.0	501984.0	1867676.0	22146.0
167BZ_SP_M1	56472442.0	5699510.0	5689.0	172194.0	1463650.0	25829.0
193CP_LS	115553553.0	7679668.0	13260.0	68719.0	2267734.0	549754.0
204H_AM_M1	51910804.0	6245442.0	11114.0	460408.0	1877048.0	42499.0
205E_BD_M1	51011384.0	6005053.0	27376.0	475943.0	2090009.0	82773.0
210DB_BW_M1	44514445.0	3933698.0	25373.0	437933.0	1941108.0	59180.0
227DJ_JP_M1	46783972.0	5377334.0	13688.0	430223.0	1740154.0	19264.0
247DT_SH_M1	54368294.0	5032623.0	12761.0	507324.0	2203236.0	14495.0
250DV_LR_M1	30941686.0	2512791.0	3642.0	38301.0	405988.0	22980.0
251DW_SD_M1	29143704.0	2223277.0	4096.0	40675.0	341668.0	24405.0
252DX_DC_M1	32597897.0	2590445.0	3374.0	56473.0	470612.0	37649.0
253DY_HA_M1	27971616.0	1867777.0	5079.0	41696.0	319670.0	34747.0
254DZ_WP_M1	62789929.0	4711344.0	6733.0	84453.0	914908.0	42226.0
255EA_GC_M1	28709084.0	2093782.0	3672.0	39500.0	388416.0	13167.0
26I_SK_M1	36228353.0	2733474.0	3720.0	52136.0	477916.0	26068.0
361AL_CC_M1	51208696.0	5862566.0	20319.0	494401.0	2073736.0	34333.0
373HQ_BTG_M1	85523268.0	5678824.0	14890.0	493569.0	2456879.0	32905.0
37L_NA_M1	27626381.0	6683515.0	68855.0	34768.0	327808.0	74502.0
41M_MW_M1	53242872.0	3489156.0	2502.0	77454.0	864905.0	25818.0
46N_RL_M1	70622488.0	5234448.0	7046.0	109332.0	1275536.0	36444.0
49O_NM_M1	285297873.0	25163661.0	71323.0	356465.0	3742880.0	475286.0
65T_CR_M1	60799065.0	5012571.0	7654.0	88014.0	867566.0	37720.0
81AB_MM_M1	55705616.0	6076856.0	22697.0	479959.0	1897338.0	22498.0
92AI_SM	44907021.0	3334717.0	7741.0	233712.0	791024.0	539335.0
9C_DH_M1	65625171.0	5392550.0	8374.0	88545.0	923403.0	37948.0
B09-24-1RNA_UNKNOWN	138419590.0	11259588.0	24304.0	1746853.0	7705563.0	58228.0
B09-25-1RNA	27047585.0	2212419.0	3474.0	27036.0	919210.0	27036.0
B09-40-1M	50098819.0	5363933.0	28325.0	154739.0	1259011.0	28134.0
B10-02-1RNA	79810970.0	6767030.0	17189.0	333044.0	3315301.0	45415.0
B11-11-1M	42867615.0	2582598.0	4738.0	146850.0	1146557.0	11296.0
B11-48-1M	52437580.0	4584227.0	3848.0	169492.0	1179381.0	7062.0
B12-21-1M	56824870.0	6358644.0	18442.0	169999.0	1254755.0	24286.0
B12-30RNA	136828178.0	7880647.0	17691.0	75881.0	7588115.0	56911.0
B13-07-1M	108123220.0	10328830.0	14621.0	251827.0	2486789.0	31478.0
B13-07-1RNA	25198639.0	1890875.0	2265.0	22732.0	681969.0	22732.0
B13-15RNA	37821183.0	2282616.0	7060.0	31747.0	1153477.0	42329.0
B13-52-1M	49063154.0	3687942.0	5161.0	159563.0	1077052.0	19945.0
B14-07RNA	34122273.0	2474155.0	4659.0	34584.0	639807.0	69168.0
B14-117-1RNA-2	30064307.0	2617167.0	3530.0	34723.0	532423.0	34723.0
B14-130-1M	54847930.0	5163127.0	16390.0	166429.0	1180136.0	15130.0
B14-48-1RNA	24197998.0	1946344.0	5468.0	30039.0	640827.0	40052.0
B14-70-1RNA	28359086.0	2027428.0	3490.0	22469.0	505544.0	33703.0
B14-78-1-U	66278716.0	5122832.0	6713.0	181755.0	1354075.0	18175.0
B15-15_1_1	140874261.0	7273573.0	9663.0	235425.0	2097425.0	107011.0
B15-28_1_1	144973665.0	8053193.0	8547.0	317041.0	2833557.0	138706.0
B16-48_1_1	110834725.0	6719825.0	10916.0	251871.0	1925013.0	107945.0
BB0280_CH_AffF_2	32202546.0	1277245.0	1312.0	27519.0	247670.0	27519.0
BEG_1025-1_T999	61372364.0	3418376.0	3765.0	21278.0	1319224.0	127667.0
BEG_1078-1_T1071	82317620.0	5136244.0	3731.0	55576.0	833644.0	277881.0
BEG_1111-1_T1105	59678879.0	3499045.0	6062.0	30212.0	936564.0	181270.0
BEG_1230-1_T1227	37032275.0	2329263.0	2112.0	12003.0	828184.0	48011.0
BEG_14-4_T65	54769204.0	3398028.0	3269.0	32232.0	1385959.0	257853.0
BEG_1435-01_T1370	60539696.0	3575722.0	3761.0	35288.0	952786.0	211730.0
BEG_1438-1_T1339	62656842.0	3308593.0	2787.0	32038.0	1313540.0	160188.0
BEG_851-1_T840	68661957.0	5204041.0	9604.0	13175.0	1277990.0	171277.0
BEG_887-1_T1240	64626281.0	5861817.0	6930.0	11131.0	1357960.0	66785.0
BEG_916-1_T916	58423225.0	3354905.0	4308.0	30590.0	978881.0	214130.0
BON_B09-27-1_1	27859314.0	1501619.0	1876.0	297640.0	835046.0	24803.0
BON_B09-8_1	56517319.0	3406847.0	3387.0	81289.0	796633.0	97547.0
BON_B12-33-2_1	28173088.0	1453032.0	2419.0	287145.0	830393.0	34923.0
BON_B12-74-1_1	28369706.0	1530806.0	1396.0	300263.0	830865.0	16453.0
BON_B12-76-1_2	37637394.0	1913717.0	2581.0	210276.0	1462590.0	23364.0
BON_B13-55_1_2	93822039.0	6118493.0	5953.0	240942.0	1502344.0	85038.0
BON_B14-163-1_2	30740584.0	1451557.0	2143.0	48072.0	288430.0	36054.0
BON_B14-20_1	22714618.0	1443424.0	1005.0	259886.0	721525.0	17098.0
BON_B14-60-1_2	44623939.0	2232894.0	3548.0	80176.0	489963.0	53450.0
BON_B14-71-2_1	27196978.0	1325841.0	2849.0	288886.0	797489.0	20344.0
BON_B14-75-1_1	26226573.0	1472328.0	3127.0	265019.0	761463.0	22396.0
BON_B15-118_1	40547339.0	1919999.0	2370.0	48125.0	256665.0	48125.0
BON_B15-76-2_2	42258333.0	1962679.0	3061.0	76201.0	457208.0	41564.0
BON_B16-19_1	25648886.0	1653428.0	1714.0	261535.0	1609967.0	23776.0
BON_B16-22_1	25240456.0	1229718.0	1913.0	235456.0	622563.0	39908.0
BON_B16-53-1_1	90116446.0	9589951.0	6252.0	240439.0	2965418.0	53431.0
BON_B16-75-1_2	41194961.0	1994150.0	2475.0	50923.0	322512.0	33949.0
BON_B16_30_1_1	77896207.0	4723618.0	3412.0	231521.0	2229915.0	73112.0
BON_B16_80_1_1	57065914.0	4116990.0	2207.0	185451.0	1149799.0	61817.0
