Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
1179-1	36427736.0	39268318.0	1273566.0	6131195.0	8019763.0
1211-1	71472620.0	74907217.0	2852514.0	24140380.0	18905473.0
1258-1	83240533.0	86589494.0	2805650.0	18295653.0	16199230.0
126BG_CB_M1	23452271.0	22242350.0	1033957.0	6919862.0	3403611.0
146BO_JB_M1	22522886.0	21830946.0	847667.0	4689201.0	2693269.0
149BP_AB_M1	53483753.0	51982340.0	1860402.0	12750153.0	3623681.0
153BR_JB_M1	27227195.0	26018650.0	895361.0	5326818.0	3169824.0
163BV_JE_M1	23369867.0	22667229.0	846375.0	5017228.0	2855509.0
164BW_KC_M1	27432671.0	26052959.0	949864.0	5462368.0	2995446.0
167BZ_SP_M1	28546939.0	26807084.0	1118419.0	5699510.0	2464759.0
193CP_LS	104935768.0	6387957.0	4229828.0	7679668.0	1813384.0
204H_AM_M1	25736856.0	25160787.0	1013161.0	6245442.0	2985526.0
205E_BD_M1	25677068.0	24446115.0	888201.0	6005053.0	3280450.0
210DB_BW_M1	20668649.0	22938441.0	907355.0	3933698.0	3180703.0
227DJ_JP_M1	23513329.0	22456579.0	814064.0	5377334.0	2748112.0
247DT_SH_M1	27119866.0	26343158.0	905270.0	5032623.0	3347526.0
250DV_LR_M1	14955278.0	15382159.0	604249.0	2512791.0	671572.0
251DW_SD_M1	13920900.0	14677378.0	545426.0	2223277.0	564818.0
252DX_DC_M1	16095300.0	15928955.0	573642.0	2590445.0	722395.0
253DY_HA_M1	13024511.0	14443744.0	503361.0	1867777.0	547379.0
254DZ_WP_M1	30096052.0	31671558.0	1022319.0	4711344.0	1315477.0
255EA_GC_M1	14204424.0	13912055.0	592605.0	2093782.0	647421.0
26I_SK_M1	17463334.0	18144765.0	620254.0	2733474.0	749115.0
361AL_CC_M1	25752681.0	24549178.0	906837.0	5862566.0	3283938.0
373HQ_BTG_M1	39856405.0	44115339.0	1551524.0	5678824.0	4366165.0
37L_NA_M1	25730811.0	316799.0	1578771.0	6683515.0	974476.0
41M_MW_M1	26811879.0	25167846.0	1263147.0	3489156.0	1305993.0
46N_RL_M1	34691559.0	34765973.0	1164956.0	5234448.0	1950206.0
49O_NM_M1	140005758.0	140591886.0	4700229.0	25163661.0	5970797.0
65T_CR_M1	29532630.0	30136682.0	1129753.0	5012571.0	1324846.0
81AB_MM_M1	27789900.0	26975941.0	939775.0	6076856.0	3067369.0
92AI_SM	39292865.0	3268581.0	2345575.0	3334717.0	1106803.0
9C_DH_M1	31755396.0	32638584.0	1231191.0	5392550.0	1414778.0
B09-24-1RNA_UNKNOWN	66489823.0	69514254.0	2415513.0	11259588.0	11742968.0
B09-25-1RNA	12968201.0	13643087.0	436297.0	2212419.0	1068259.0
B09-40-1M	25222628.0	24010024.0	866167.0	5363933.0	2360979.0
B10-02-1RNA	38173110.0	40213918.0	1423942.0	6767030.0	4533291.0
B11-11-1M	21086077.0	20980634.0	800904.0	2582598.0	2172914.0
B11-48-1M	26357344.0	25130737.0	949499.0	4584227.0	2261996.0
B12-21-1M	28508777.0	27384597.0	931496.0	6358644.0	2494054.0
B12-30RNA	69835983.0	64191146.0	2801049.0	7880647.0	7606571.0
B13-07-1M	52848041.0	53511600.0	1763579.0	10328830.0	4230464.0
B13-07-1RNA	12302814.0	12458982.0	436843.0	1890875.0	805102.0
B13-15RNA	17691428.0	19462839.0	666916.0	2282616.0	1511595.0
B13-52-1M	24133541.0	23987357.0	942256.0	3687942.0	2182789.0
B14-07RNA	16554553.0	16935946.0	631774.0	2474155.0	549741.0
B14-117-1RNA-2	14456335.0	15069191.0	538781.0	2617167.0	553141.0
B14-130-1M	27244860.0	26625679.0	977391.0	5163127.0	2266533.0
B14-48-1RNA	11205140.0	12545010.0	447848.0	1946344.0	650478.0
B14-70-1RNA	13668679.0	14205600.0	484807.0	2027428.0	458605.0
B14-78-1-U	32879125.0	32120183.0	1279408.0	5122832.0	2679504.0
B15-15_1_1	129636410.0	6568498.0	4669353.0	7273573.0	3062258.0
B15-28_1_1	133980889.0	5832590.0	5160186.0	8053193.0	4174192.0
B16-48_1_1	100858400.0	5994000.0	3982325.0	6719825.0	2919742.0
BB0280_CH_AffF_2	29582981.0	1258099.0	1361466.0	1277245.0	419646.0
BEG_1025-1_T999	57427909.0	1308378.0	2636077.0	3418376.0	1979292.0
BEG_1078-1_T1071	76825013.0	1859999.0	3632608.0	5136244.0	2086045.0
BEG_1111-1_T1105	55521016.0	1798274.0	2359589.0	3499045.0	877431.0
BEG_1230-1_T1227	34271510.0	1185588.0	1575177.0	2329263.0	1208803.0
BEG_14-4_T65	50817713.0	1843179.0	2108312.0	3398028.0	1778902.0
BEG_1435-01_T1370	57058748.0	1351370.0	2129578.0	3575722.0	838652.0
BEG_1438-1_T1339	58247472.0	1912382.0	2496988.0	3308593.0	1829675.0
BEG_851-1_T840	62932191.0	2629282.0	3100484.0	5204041.0	2394116.0
BEG_887-1_T1240	59361441.0	2084320.0	3180520.0	5861817.0	2364813.0
BEG_916-1_T916	54707232.0	1505492.0	2210501.0	3354905.0	1600057.0
BON_B09-27-1_1	25449936.0	1286101.0	1123277.0	1501619.0	1366132.0
BON_B09-8_1	51564876.0	2685362.0	2267081.0	3406847.0	1062530.0
BON_B12-33-2_1	25523113.0	1436833.0	1213142.0	1453032.0	1413009.0
BON_B12-74-1_1	25855155.0	1460036.0	1054515.0	1530806.0	1364344.0
BON_B12-76-1_2	34022912.0	2159187.0	1455295.0	1913717.0	2283756.0
BON_B13-55_1_2	85037557.0	5465046.0	3319436.0	6118493.0	2376754.0
BON_B14-163-1_2	27277520.0	2351602.0	1111462.0	1451557.0	729122.0
BON_B14-20_1	20435903.0	1126187.0	1152528.0	1443424.0	1222987.0
BON_B14-60-1_2	39648614.0	3160395.0	1814930.0	2232894.0	1587157.0
BON_B14-71-2_1	23167822.0	2834320.0	1194836.0	1325841.0	1309361.0
BON_B14-75-1_1	22350060.0	2914526.0	961987.0	1472328.0	1270378.0
BON_B15-118_1	36140590.0	2776615.0	1630134.0	1919999.0	817646.0
BON_B15-76-2_2	37260310.0	3394616.0	1603407.0	1962679.0	966849.0
BON_B16-19_1	23561791.0	1109759.0	977336.0	1653428.0	2134025.0
BON_B16-22_1	23022121.0	1245091.0	973244.0	1229718.0	1036652.0
BON_B16-38	38818178.0	1727412.0	1699726.0	2501567.0	1408206.0
BON_B16-53-1_1	81136737.0	5097630.0	3882079.0	9589951.0	4151866.0
BON_B16-75-1_2	37198888.0	2383899.0	1612174.0	1994150.0	701988.0
BON_B16_30_1_1	72698057.0	2718316.0	2479834.0	4723618.0	2965790.0
BON_B16_80_1_1	52732736.0	2335377.0	1997801.0	4116990.0	1660878.0
BON_B17-23_1	103056413.0	7451562.0	5160514.0	6605263.0	2345864.0
BON_B18-24_1	35099876.0	2064777.0	1865050.0	2051171.0	591106.0
BON_B18-25_1	36251129.0	2337257.0	2145163.0	2145671.0	813358.0
BON_B18-54_1	37727626.0	3481587.0	1926773.0	2296048.0	899171.0
BON_B19-57_1	51822850.0	3002637.0	2604671.0	3299852.0	953376.0
BON_UC219-1_1	22176057.0	2108941.0	977172.0	1176032.0	1354245.0
BON_UC473_1	23900971.0	2343558.0	1136987.0	1356788.0	1484290.0
CLA_143BN_BB_2	33913218.0	33334283.0	1227834.0	7483140.0	4453467.0
CLA_179CI_GG_2	13116621.0	12321901.0	661495.0	2468360.0	944474.0
CLA_180CJ_DP_2	41329112.0	43941101.0	1707464.0	10723719.0	8623969.0
CLA_214DF_AB_2	31786488.0	3344540.0	1422572.0	1864325.0	589570.0
CLA_329FK_RR_2	28185016.0	2296224.0	1292819.0	1546652.0	482752.0
CLA_338FT_DM_2	26154124.0	2166547.0	1209024.0	1411636.0	505305.0
CLA_388HV_XX_1	3555048.0	3760477.0	140402.0	688463.0	258528.0
CLA_62R_CaM_3	30467524.0	1799868.0	1542840.0	1879220.0	551417.0
CLA_79Z_CP_2	12817657.0	12579380.0	494822.0	2273458.0	837370.0
HK018_0047_2	39896057.0	2224519.0	1809181.0	2695475.0	941365.0
HK060-0154	49478654.0	1327542.0	2308706.0	2806232.0	1954475.0
HK069-0177_2	38524410.0	1179487.0	1710441.0	2046624.0	829207.0
HK072-001_2	58334308.0	1802768.0	2784907.0	3708335.0	1207565.0
ICCV_458_10CC06258_02	50374058.0	2108624.0	2380435.0	3315763.0	1515212.0
INMR_GB_408	37591428.0	3069521.0	1790374.0	2601728.0	685441.0
INMR_GI_456	37354440.0	1727323.0	1685684.0	2692350.0	857167.0
INMR_HW_389	87884478.0	7467666.0	4350539.0	6584100.0	1597971.0
INMR_HZ_401	96844467.0	5402791.0	4531898.0	6583108.0	1651907.0
INMR_IG_561	96106712.0	6534183.0	4339354.0	6783448.0	1517266.0
INMR_IK_581	83400733.0	8996020.0	4061270.0	7009598.0	1480387.0
K1157-1-4	59268083.0	2478727.0	2725717.0	5017303.0	997590.0
LIA_EDW01_1	23479739.0	767376.0	948131.0	1743336.0	602075.0
LIA_MAS02_2	69784961.0	4214061.0	3011471.0	6872031.0	2030826.0
LIA_TIS03_2	20626337.0	1897317.0	849439.0	1517170.0	479305.0
MAN_1001_01_M1_D1	66109537.0	2288197.0	2909391.0	3912517.0	997397.0
MAN_1438-01-M1	70796051.0	3286041.0	3686068.0	4804319.0	971547.0
MBEL028_001_3	30335742.0	817664.0	1258028.0	1345221.0	434830.0
MBEL028_002_1	32633847.0	808952.0	1499898.0	1546766.0	520316.0
MBRU030_2	29620609.0	1002791.0	1269847.0	1262341.0	413870.0
MCOP008_001_2	33305498.0	981605.0	1519607.0	1706256.0	578208.0
MESP021_001_2	33975663.0	883261.0	1504690.0	1531679.0	586080.0
MESP039_2	47865684.0	1294474.0	2002973.0	2289030.0	902010.0
MGLA003_001_2	32878791.0	751057.0	1363613.0	1789479.0	574452.0
MMAD002_001_2	26402885.0	637611.0	1104819.0	1232449.0	563426.0
MTEH041_001_2	34368837.0	1483814.0	1442520.0	1539841.0	976992.0
M_0146-01-H1	28909051.0	31543356.0	1347366.0	6056721.0	2972639.0
NH11-441	22148616.0	22943898.0	783399.0	2842844.0	488107.0
NH12-1413	22989764.0	23871533.0	813267.0	3263379.0	483527.0
OUN_HK018_0047	83964883.0	3544220.0	3992111.0	7232472.0	1400063.0
OUN_HK047_0116	77160297.0	1986091.0	3715083.0	5112773.0	1319196.0
OUN_HK079_001	74012329.0	1464299.0	3623509.0	5244649.0	944468.0
OUN_HK080_001	76760424.0	2041494.0	3891090.0	5825541.0	1406914.0
OUN_HK081_001	91196493.0	2129584.0	4166880.0	6398708.0	1470094.0
OUN_HK112_001	84808133.0	3744868.0	3990873.0	6195476.0	1288353.0
OUN_HK116_001	82686329.0	2192923.0	4150711.0	5315458.0	2282330.0
OUN_HK124_001	44275633.0	1698110.0	2077938.0	2765971.0	696189.0
OUN_HK137_001	75333232.0	2658499.0	3254989.0	4041480.0	1457359.0
RGP_1214_3_M1	47406195.0	1399888.0	1894415.0	2735074.0	723742.0
RGP_248_3	46207562.0	2104464.0	2328190.0	3542697.0	1338210.0
RGP_273_3	54748025.0	1532655.0	2458418.0	3182634.0	812889.0
RGP_54_3_2	51415244.0	1127881.0	2295565.0	3366527.0	1194135.0
RGP_552_3	45264838.0	1382178.0	2289794.0	3988392.0	2080250.0
RGP_56_3_3	35971933.0	879711.0	1606607.0	2695097.0	792609.0
RGP_800_3_2	20357461.0	561414.0	969774.0	967917.0	576882.0
RGP_800_3_3	127617927.0	3827906.0	5663015.0	8470981.0	1963461.0
SRPK3_EM__1	29344655.0	868410.0	1170998.0	1287746.0	469954.0
SRPK3_JAP_1	30274627.0	677498.0	1360972.0	1407136.0	451585.0
SRPK3_USA_1	69188338.0	2554128.0	3324928.0	3884955.0	2939653.0
T1244	14980286.0	15974187.0	567782.0	2087200.0	634978.0
T238	19296768.0	19193403.0	631159.0	2927906.0	811484.0
T850	14134978.0	15182736.0	540841.0	1978299.0	682280.0
T892	14306859.0	14504770.0	534783.0	2146654.0	762509.0
TOP_MAAC031_F_Muscle1	43793986.0	43446537.0	1825803.0	8424330.0	8478374.0
UC223-1RNA	15105620.0	15896171.0	598639.0	2385699.0	1150570.0
UC305-1M	26496924.0	25464794.0	961463.0	5287493.0	2400686.0
UC316-1M	22710957.0	23303836.0	869311.0	2698574.0	2091738.0
UC368-1M	29785348.0	30592838.0	1081355.0	5984352.0	2901105.0
UC393-1M	27564053.0	26606587.0	905944.0	4736049.0	2455906.0
UC84-1RNA	12276686.0	11954117.0	439145.0	1806985.0	645728.0
UWA_FAM7_PT_D16-1243_2	70625693.0	2710853.0	2644511.0	7224097.0	2172246.0
