Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
1179-1	37130467.0	38519251.0	1319902.0	6131195.0	8019763.0
1211-1	71344234.0	74964327.0	2923790.0	24140380.0	18905473.0
1258-1	84315918.0	85438051.0	2881708.0	18295653.0	16199230.0
126BG_CB_M1	22930758.0	22794870.0	1002950.0	6919862.0	3403611.0
146BO_JB_M1	22097930.0	22272647.0	830922.0	4689201.0	2693269.0
149BP_AB_M1	52676279.0	52813585.0	1836631.0	12750153.0	3623681.0
153BR_JB_M1	26862112.0	26394427.0	884667.0	5326818.0	3169824.0
163BV_JE_M1	23042363.0	23004369.0	836739.0	5017228.0	2855509.0
164BW_KC_M1	26909064.0	26594255.0	932175.0	5462368.0	2995446.0
167BZ_SP_M1	27764649.0	27612348.0	1095445.0	5699510.0	2464759.0
193CP_LS	8102915.0	107089979.0	360659.0	7679668.0	1813384.0
204H_AM_M1	25274183.0	25647098.0	989523.0	6245442.0	2985526.0
205E_BD_M1	25170212.0	24975265.0	865907.0	6005053.0	3280450.0
210DB_BW_M1	20614035.0	22995920.0	904490.0	3933698.0	3180703.0
227DJ_JP_M1	23052341.0	22933513.0	798118.0	5377334.0	2748112.0
247DT_SH_M1	26684867.0	26794596.0	888831.0	5032623.0	3347526.0
250DV_LR_M1	14971591.0	15363449.0	606646.0	2512791.0	671572.0
251DW_SD_M1	13960163.0	14638727.0	544814.0	2223277.0	564818.0
252DX_DC_M1	15948729.0	16080070.0	569098.0	2590445.0	722395.0
253DY_HA_M1	12982293.0	14484577.0	504746.0	1867777.0	547379.0
254DZ_WP_M1	29983992.0	31776509.0	1029428.0	4711344.0	1315477.0
255EA_GC_M1	14119888.0	13998880.0	590316.0	2093782.0	647421.0
26I_SK_M1	17429099.0	18176308.0	622946.0	2733474.0	749115.0
361AL_CC_M1	25274990.0	25044560.0	889146.0	5862566.0	3283938.0
373HQ_BTG_M1	39444918.0	44534719.0	1543631.0	5678824.0	4366165.0
37L_NA_M1	2458702.0	25095294.0	72385.0	6683515.0	974476.0
41M_MW_M1	26794530.0	25187534.0	1260808.0	3489156.0	1305993.0
46N_RL_M1	34575687.0	34885869.0	1160932.0	5234448.0	1950206.0
49O_NM_M1	140150755.0	140434375.0	4712743.0	25163661.0	5970797.0
65T_CR_M1	29369641.0	30292533.0	1136891.0	5012571.0	1324846.0
81AB_MM_M1	27456823.0	27324235.0	924558.0	6076856.0	3067369.0
92AI_SM	2811645.0	41961428.0	133948.0	3334717.0	1106803.0
9C_DH_M1	31560646.0	32830104.0	1234421.0	5392550.0	1414778.0
B09-24-1RNA_UNKNOWN	65767283.0	70277107.0	2375200.0	11259588.0	11742968.0
B09-25-1RNA	13060617.0	13551123.0	435845.0	2212419.0	1068259.0
B09-40-1M	24895065.0	24334752.0	869002.0	5363933.0	2360979.0
B10-02-1RNA	37670918.0	40738955.0	1401097.0	6767030.0	4533291.0
B11-11-1M	20905865.0	21160664.0	801086.0	2582598.0	2172914.0
B11-48-1M	26055678.0	25426844.0	955058.0	4584227.0	2261996.0
B12-21-1M	28287642.0	27598646.0	938582.0	6358644.0	2494054.0
B12-30RNA	65473975.0	68730925.0	2623278.0	7880647.0	7606571.0
B13-07-1M	52679020.0	53665453.0	1778747.0	10328830.0	4230464.0
B13-07-1RNA	12347237.0	12409476.0	441926.0	1890875.0	805102.0
B13-15RNA	17930506.0	19216500.0	674177.0	2282616.0	1511595.0
B13-52-1M	23785137.0	24337077.0	940940.0	3687942.0	2182789.0
B14-07RNA	16463115.0	17031613.0	627545.0	2474155.0	549741.0
B14-117-1RNA-2	14418337.0	15106674.0	539296.0	2617167.0	553141.0
B14-130-1M	26935025.0	26931358.0	981547.0	5163127.0	2266533.0
B14-48-1RNA	11218918.0	12529757.0	449323.0	1946344.0	650478.0
B14-70-1RNA	13649953.0	14224495.0	484638.0	2027428.0	458605.0
