Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
1179-1	65006615.0	5212696.0	6750309.0	6131195.0	8019763.0
1211-1	128237742.0	8161523.0	12833086.0	24140380.0	18905473.0
1258-1	147964023.0	9453562.0	15218092.0	18295653.0	16199230.0
126BG_CB_M1	41795477.0	687121.0	4245980.0	6919862.0	3403611.0
146BO_JB_M1	40299100.0	1141743.0	3760656.0	4689201.0	2693269.0
149BP_AB_M1	95577513.0	2902699.0	8846283.0	12750153.0	3623681.0
153BR_JB_M1	48074694.0	1344168.0	4722344.0	5326818.0	3169824.0
163BV_JE_M1	41704022.0	1201123.0	3978326.0	5017228.0	2855509.0
164BW_KC_M1	49083650.0	913599.0	4438245.0	5462368.0	2995446.0
167BZ_SP_M1	50804610.0	805396.0	4862436.0	5699510.0	2464759.0
193CP_LS	97930439.0	5710398.0	11912716.0	7679668.0	1813384.0
204H_AM_M1	46068290.0	1448558.0	4393956.0	6245442.0	2985526.0
205E_BD_M1	45611594.0	1103365.0	4296425.0	6005053.0	3280450.0
210DB_BW_M1	36265445.0	4031176.0	4217824.0	3933698.0	3180703.0
227DJ_JP_M1	41737700.0	1080663.0	3965609.0	5377334.0	2748112.0
247DT_SH_M1	48502650.0	1493539.0	4372105.0	5032623.0	3347526.0
250DV_LR_M1	26583672.0	1524987.0	2833027.0	2512791.0	671572.0
251DW_SD_M1	24794309.0	1762819.0	2586576.0	2223277.0	564818.0
252DX_DC_M1	28271664.0	1346542.0	2979691.0	2590445.0	722395.0
253DY_HA_M1	23197881.0	2403300.0	2370435.0	1867777.0	547379.0
254DZ_WP_M1	53799268.0	3884461.0	5106200.0	4711344.0	1315477.0
255EA_GC_M1	25024670.0	905352.0	2779062.0	2093782.0	647421.0
26I_SK_M1	31094781.0	2032830.0	3100742.0	2733474.0	749115.0
361AL_CC_M1	45947101.0	999548.0	4262047.0	5862566.0	3283938.0
373HQ_BTG_M1	71326615.0	7223033.0	6973620.0	5678824.0	4366165.0
37L_NA_M1	23740762.0	75189.0	3810430.0	6683515.0	974476.0
41M_MW_M1	46553370.0	779813.0	5909689.0	3489156.0	1305993.0
46N_RL_M1	60866303.0	3324369.0	6431816.0	5234448.0	1950206.0
49O_NM_M1	246353217.0	13068725.0	25875931.0	25163661.0	5970797.0
65T_CR_M1	52779314.0	2782417.0	5237334.0	5012571.0	1324846.0
81AB_MM_M1	49615113.0	1483441.0	4607062.0	6076856.0	3067369.0
92AI_SM	37015811.0	2955197.0	4936013.0	3334717.0	1106803.0
9C_DH_M1	56343790.0	3430974.0	5850407.0	5392550.0	1414778.0
B09-24-1RNA_UNKNOWN	117557063.0	8929391.0	11933136.0	11259588.0	11742968.0
B09-25-1RNA	22906156.0	1745039.0	2396390.0	2212419.0	1068259.0
B09-40-1M	44740368.0	1001556.0	4356895.0	5363933.0	2360979.0
B10-02-1RNA	67230482.0	5567020.0	7013468.0	6767030.0	4533291.0
B11-11-1M	37404389.0	1648092.0	3815134.0	2582598.0	2172914.0
B11-48-1M	47085681.0	862457.0	4489442.0	4584227.0	2261996.0
B12-21-1M	51286859.0	982759.0	4555252.0	6358644.0	2494054.0
B12-30RNA	119053760.0	4479388.0	13295030.0	7880647.0	7606571.0
B13-07-1M	93734429.0	5097784.0	9291007.0	10328830.0	4230464.0
B13-07-1RNA	21691551.0	1187432.0	2319656.0	1890875.0	805102.0
B13-15RNA	31258903.0	3093732.0	3468548.0	2282616.0	1511595.0
B13-52-1M	43097349.0	1756271.0	4209534.0	3687942.0	2182789.0
B14-07RNA	29166730.0	1826059.0	3129484.0	2474155.0	549741.0
B14-117-1RNA-2	25695932.0	1745374.0	2623001.0	2617167.0	553141.0
B14-130-1M	49003447.0	1370621.0	4473862.0	5163127.0	2266533.0
B14-48-1RNA	19889974.0	2185211.0	2122813.0	1946344.0	650478.0
B14-70-1RNA	24178870.0	1684887.0	2495329.0	2027428.0	458605.0
B14-78-1-U	58639276.0	1757370.0	5882070.0	5122832.0	2679504.0
B15-15_1_1	122399476.0	5541747.0	12933038.0	7273573.0	3062258.0
B15-28_1_1	126564797.0	4834070.0	13574798.0	8053193.0	4174192.0
B16-48_1_1	95542129.0	4973719.0	10318877.0	6719825.0	2919742.0
BB0280_CH_AffF_2	27651745.0	1088820.0	3461981.0	1277245.0	419646.0
BEG_1025-1_T999	53646941.0	1004717.0	6720706.0	3418376.0	1979292.0
BEG_1078-1_T1071	72141908.0	1463477.0	8712235.0	5136244.0	2086045.0
BEG_1111-1_T1105	52032235.0	1545124.0	6101520.0	3499045.0	877431.0
BEG_1230-1_T1227	32246894.0	1005787.0	3779594.0	2329263.0	1208803.0
BEG_14-4_T65	47516746.0	1587067.0	5665391.0	3398028.0	1778902.0
BEG_1435-01_T1370	53578736.0	1138295.0	5822665.0	3575722.0	838652.0
BEG_1438-1_T1339	54647170.0	1652496.0	6357176.0	3308593.0	1829675.0
BEG_851-1_T840	58802365.0	2247932.0	7611660.0	5204041.0	2394116.0
BEG_887-1_T1240	55253122.0	1761964.0	7611195.0	5861817.0	2364813.0
BEG_916-1_T916	51508969.0	1245074.0	5669182.0	3354905.0	1600057.0
BON_B09-27-1_1	23826927.0	1078234.0	2954153.0	1501619.0	1366132.0
BON_B09-8_1	48228260.0	2307044.0	5982015.0	3406847.0	1062530.0
BON_B12-33-2_1	24023086.0	1236240.0	2913762.0	1453032.0	1413009.0
BON_B12-74-1_1	24220276.0	1236276.0	2913154.0	1530806.0	1364344.0
BON_B12-76-1_2	32090070.0	1838063.0	3709261.0	1913717.0	2283756.0
BON_B13-55_1_2	80494947.0	4658922.0	8668170.0	6118493.0	2376754.0
BON_B14-163-1_2	25720771.0	2098100.0	2921713.0	1451557.0	729122.0
BON_B14-20_1	19266200.0	939981.0	2508437.0	1443424.0	1222987.0
BON_B14-60-1_2	37604811.0	2799850.0	4219278.0	2232894.0	1587157.0
BON_B14-71-2_1	21898380.0	2585268.0	2713330.0	1325841.0	1309361.0
BON_B14-75-1_1	21154051.0	2709041.0	2363481.0	1472328.0	1270378.0
BON_B15-118_1	33956760.0	2475348.0	4115231.0	1919999.0	817646.0
BON_B15-76-2_2	35009959.0	3075888.0	4172486.0	1962679.0	966849.0
BON_B16-19_1	22197521.0	913012.0	2538353.0	1653428.0	2134025.0
BON_B16-22_1	21322969.0	1117730.0	2799757.0	1229718.0	1036652.0
BON_B16-53-1_1	78964054.0	3637262.0	7515130.0	9589951.0	4151866.0
BON_B16-75-1_2	35163416.0	2076646.0	3954899.0	1994150.0	701988.0
BON_B16_30_1_1	68034161.0	2112697.0	7749349.0	4723618.0	2965790.0
BON_B16_80_1_1	50093765.0	1504943.0	5467206.0	4116990.0	1660878.0
BON_B17-23_1	96845043.0	6435145.0	12388301.0	6605263.0	2345864.0
BON_B18-24_1	32983378.0	1760243.0	4286082.0	2051171.0	591106.0
BON_B18-25_1	34002598.0	2028293.0	4702658.0	2145671.0	813358.0
BON_B18-54_1	35658806.0	3089932.0	4387248.0	2296048.0	899171.0
BON_B19-57_1	48739223.0	2562260.0	6128675.0	3299852.0	953376.0
BON_UC219-1_1	20828215.0	1920069.0	2513886.0	1176032.0	1354245.0
BON_UC473_1	22627909.0	2115672.0	2637935.0	1356788.0	1484290.0
CLA_143BN_BB_2	60302628.0	2045136.0	6127571.0	7483140.0	4453467.0
CLA_179CI_GG_2	22814267.0	321026.0	2964724.0	2468360.0	944474.0
CLA_180CJ_DP_2	73897290.0	5848889.0	7231498.0	10723719.0	8623969.0
CLA_214DF_AB_2	29954177.0	3089917.0	3509506.0	1864325.0	589570.0
CLA_329FK_RR_2	26400574.0	2054147.0	3319338.0	1546652.0	482752.0
CLA_338FT_DM_2	24593314.0	1932925.0	3003456.0	1411636.0	505305.0
CLA_62R_CaM_3	28726417.0	1533557.0	3550258.0	1879220.0	551417.0
CLA_79Z_CP_2	22593824.0	876385.0	2421650.0	2273458.0	837370.0
HK018_0047_2	37534957.0	1990007.0	4404793.0	2695475.0	941365.0
HK060-0154	46641880.0	982974.0	5490048.0	2806232.0	1954475.0
HK069-0177_2	36210527.0	899415.0	4304396.0	2046624.0	829207.0
HK072-001_2	54911070.0	1359230.0	6651683.0	3708335.0	1207565.0
ICCV_458_10CC06258_02	47413224.0	1805482.0	5644411.0	3315763.0	1515212.0
INMR_GB_408	35434149.0	2748868.0	4268306.0	2601728.0	685441.0
INMR_GI_456	34844818.0	1514506.0	4408123.0	2692350.0	857167.0
INMR_HW_389	82822729.0	6714627.0	10165327.0	6584100.0	1597971.0
INMR_HZ_401	90552089.0	4813290.0	11413777.0	6583108.0	1651907.0
INMR_IG_561	90221193.0	5820745.0	10938311.0	6783448.0	1517266.0
INMR_IK_581	78916529.0	8254911.0	9286583.0	7009598.0	1480387.0
K1157-1-4	55144174.0	2140555.0	7187798.0	5017303.0	997590.0
LIA_EDW01_1	21978286.0	629576.0	2587384.0	1743336.0	602075.0
LIA_MAS02_2	65262867.0	3722673.0	8024953.0	6872031.0	2030826.0
LIA_TIS03_2	19287780.0	1781108.0	2304205.0	1517170.0	479305.0
MAN_1001_01_M1_D1	61903555.0	1911177.0	7492393.0	3912517.0	997397.0
MAN_1438-01-M1	66949350.0	3019108.0	7799702.0	4804319.0	971547.0
MBEL028_001_3	28321774.0	634419.0	3455241.0	1345221.0	434830.0
MBEL028_002_1	30539969.0	577422.0	3825306.0	1546766.0	520316.0
MBRU030_2	27676588.0	850766.0	3365893.0	1262341.0	413870.0
MCOP008_001_2	31264025.0	747322.0	3795363.0	1706256.0	578208.0
MESP021_001_2	31673765.0	669443.0	4020406.0	1531679.0	586080.0
MESP039_2	44796927.0	1065439.0	5300765.0	2289030.0	902010.0
MGLA003_001_2	30804808.0	558856.0	3629797.0	1789479.0	574452.0
MMAD002_001_2	24582365.0	507809.0	3055141.0	1232449.0	563426.0
MTEH041_001_2	32341478.0	1247421.0	3706272.0	1539841.0	976992.0
M_0146-01-H1	52222215.0	4283811.0	5293747.0	6056721.0	2972639.0
NH11-441	39542261.0	2472033.0	3861619.0	2842844.0	488107.0
NH12-1413	41184945.0	2534448.0	3955171.0	3263379.0	483527.0
