Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA rate	Chimeric Alignment Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads excluded from exon counts	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
1179-1	0.938836	1.0	0.0	0.0	0.00828649	0.953348	0.924323	0.00623504	0.0104024	0.824959	0.873999	0.878704	0.0686445	0.0273633	0.947349	0.0252877	0.897928	0.0668736	0.0175017	0.964801	0.0176972	0.0	0.0139946	0.0	0.506331	0.496131	0.260915	28446974.0	1195606.0	0.0	34172601.0	33736396.0	6286478472.0	6095085696.0	82716822.0	80198496.0	39196426.0	63403317.0	35049099.0	33218365.0	143154423.0	0.0	142387829.0	4457898.0	154337659.0	4119761.0	11183236.0	22269672.0	20527489.0	0.0	162915318.0	162915318.0	102599743.0	162835615.0	0.0	0.0	162915318.0	2279931.0	12381564168.0	78705706.0	201976111.0	173529137.0	0.0	76.0	27003.0	0.0	8094.0	0.563245	0.578947	0.290473	0.349697	0.342857	0.813953	0.0	0.0	0.89121	0.248709	0.238431
1211-1	0.925647	1.0	0.0	0.0	0.00814918	0.937471	0.913824	0.00669648	0.00963948	0.802356	0.816435	0.866805	0.0519987	0.025585	0.918804	0.0556108	0.910293	0.0525657	0.0152423	0.962859	0.0218984	0.0	0.0176384	0.0	0.500868	0.50465	0.254416	114657826.0	1430220.0	0.0	73021109.0	70582189.0	13052867304.0	12723618964.0	171748254.0	167416039.0	87408309.0	122649039.0	73275037.0	71907417.0	293989451.0	0.0	276905527.0	8677526.0	311625565.0	18861202.0	17636114.0	73764674.0	62258766.0	0.0	339164293.0	339164293.0	210057348.0	339158966.0	0.0	0.0	339164293.0	5982321.0	25776486268.0	164256826.0	481065510.0	366407684.0	0.0	76.0	29094.0	0.0	10525.0	0.59281	0.634146	0.293949	0.345982	0.375	0.848684	0.0	0.0	0.885466	0.226224	0.221837
1258-1	0.94201	1.0	0.0	0.0	0.00766362	0.950713	0.933307	0.00606203	0.00929509	0.836815	0.864876	0.88833	0.0542918	0.0223357	0.942622	0.0350428	0.914038	0.053504	0.0137411	0.967542	0.018717	0.0	0.0106231	0.0	0.504295	0.498455	0.293727	85446316.0	1421188.0	0.0	78095016.0	77457773.0	14416930960.0	14152988204.0	189696460.0	186223529.0	87395893.0	131553252.0	79448279.0	76980519.0	333940890.0	0.0	325124174.0	8396421.0	354350267.0	13173301.0	20409377.0	58567773.0	50795815.0	0.0	375919989.0	375919989.0	218949145.0	375906248.0	0.0	0.0	375919989.0	3993442.0	28569919164.0	183276180.0	484507884.0	399061568.0	0.0	76.0	28741.0	0.0	10525.0	0.543077	0.555556	0.296153	0.361444	0.310345	0.797468	0.0	0.0	0.870336	0.218518	0.213952
126BG_CB_M1	0.94846	1.0	0.0	0.0	0.0107342	0.950214	0.946706	0.010972	0.0104955	0.852703	0.84028	0.899039	0.0240395	0.0477408	0.923079	0.0291804	0.965725	0.0109408	0.00637919	0.976665	0.0169555	0.0	0.0328905	0.0	0.490676	0.510407	0.263964	50870793.0	316100.0	0.0	23215764.0	22221982.0	4078551476.0	4063494280.0	53665151.0	53467030.0	44749845.0	42648281.0	22365768.0	23166711.0	96316048.0	0.0	90021048.0	5114577.0	98891448.0	3126156.0	2575400.0	19458542.0	17111133.0	0.0	107132181.0	107132181.0	87398126.0	107124612.0	0.0	0.0	107132181.0	3523629.0	8142045756.0	53054954.0	163824633.0	112953840.0	0.0	76.0	22706.0	0.0	5516.0	0.535712	0.538462	0.305153	0.374723	0.294872	0.8	0.0	0.0	0.943514	0.245136	0.234086
146BO_JB_M1	0.956775	1.0	0.0	0.0	0.0108278	0.959039	0.95451	0.0109178	0.0107374	0.872846	0.873887	0.91228	0.0291833	0.0364878	0.941463	0.0220488	0.954753	0.0204413	0.00941227	0.975194	0.0153939	0.0	0.0123729	0.0	0.491784	0.508277	0.282734	29540741.0	302145.0	0.0	21503057.0	20700783.0	3795113048.0	3777194072.0	49935698.0	49699922.0	41434163.0	40557328.0	20807829.0	21397659.0	90895600.0	0.0	87070294.0	3635484.0	93803292.0	2196844.0	2907692.0	13734192.0	12565326.0	0.0	99635620.0	99635620.0	81991491.0	99618058.0	0.0	0.0	99635620.0	1232785.0	7572307120.0	49363151.0	133677730.0	104136989.0	0.0	76.0	22898.0	0.0	5672.0	0.514432	0.509346	0.304416	0.384506	0.261905	0.777778	0.0	0.0	0.91072	0.233615	0.219875
149BP_AB_M1	0.975206	1.0	0.0	0.0	0.00474086	0.976072	0.974341	0.00424947	0.00523312	0.887329	0.882042	0.909889	0.0311741	0.0314412	0.941063	0.0274959	0.955809	0.0228406	0.00837904	0.97865	0.0129709	0.0	0.0162508	0.0	0.495398	0.506945	0.295798	81841949.0	323717.0	0.0	51978054.0	50702259.0	9154571640.0	9138336824.0	120454890.0	120241274.0	38902082.0	47822035.0	51030009.0	52130618.0	219006753.0	0.0	212304008.0	7567775.0	226510239.0	6618150.0	7503486.0	31424154.0	28392156.0	0.0	240696164.0	240696164.0	86724117.0	240637085.0	0.0	0.0	240696164.0	3911498.0	18292908464.0	119763420.0	328657632.0	246815683.0	0.0	76.0	24504.0	0.0	8643.0	0.525749	0.525097	0.300815	0.37152	0.285714	0.785714	0.0	0.0	0.868357	0.210332	0.198753
153BR_JB_M1	0.95655	1.0	0.0	0.0	0.00988685	0.957992	0.955108	0.0102481	0.00952447	0.873428	0.880341	0.913103	0.0313787	0.0375981	0.944481	0.0179205	0.956898	0.0202185	0.00897805	0.977116	0.0139058	0.0	0.0131465	0.0	0.493998	0.507032	0.29886	39774442.0	358808.0	0.0	25369251.0	24635291.0	4524911028.0	4511291220.0	59538303.0	59359095.0	46371933.0	42967666.0	24767368.0	25338072.0	108565529.0	0.0	104670237.0	4470318.0	112296379.0	2130701.0	3730850.0	15914885.0	14227161.0	0.0	118897398.0	118897398.0	89339599.0	118884365.0	0.0	0.0	118897398.0	1563087.0	9036202248.0	58964928.0	164072595.0	124298153.0	0.0	76.0	22473.0	0.0	5800.0	0.512225	0.502217	0.303671	0.373936	0.263158	0.772727	0.0	0.0	0.927952	0.239792	0.231158
163BV_JE_M1	0.95594	1.0	0.0	0.0	0.0104136	0.958232	0.953649	0.0105422	0.0102843	0.871044	0.871063	0.911191	0.0309238	0.0343776	0.942115	0.0235076	0.954318	0.0207145	0.009539	0.975033	0.0154281	0.0	0.0144374	0.0	0.493545	0.506379	0.28051	33012029.0	416145.0	0.0	22659329.0	21977721.0	3953314268.0	3934406228.0	52017293.0	51768503.0	41676743.0	40462603.0	22081754.0	22545753.0	94568683.0	0.0	90403964.0	3567910.0	97778135.0	2439751.0	3209452.0	14653256.0	13381832.0	0.0	103785796.0	103785796.0	82139346.0	103777113.0	0.0	0.0	103785796.0	1498399.0	7887720496.0	51414446.0	141581375.0	108569346.0	0.0	76.0	22011.0	0.0	5048.0	0.513537	0.5	0.303756	0.386765	0.259542	0.780488	0.0	0.0	0.957537	0.255707	0.246708
164BW_KC_M1	0.959704	1.0	0.0	0.0	0.0102289	0.960951	0.958456	0.0106712	0.00978548	0.888234	0.877949	0.925529	0.0231641	0.0296879	0.948693	0.021619	0.965999	0.0131519	0.00689443	0.979151	0.0139544	0.0	0.0141863	0.0	0.493267	0.507449	0.290996	35474783.0	359589.0	0.0	26331177.0	25524516.0	4556251984.0	4544420912.0	59950684.0	59795012.0	48620577.0	44469328.0	25631426.0	26296591.0	110828115.0	0.0	105130588.0	3554997.0	113601919.0	2588780.0	2773804.0	15794755.0	14615108.0	0.0	119745696.0	119745696.0	93089905.0	119742946.0	0.0	0.0	119745696.0	1698746.0	9100672896.0	59377175.0	160248385.0	124773602.0	0.0	76.0	21853.0	0.0	5524.0	0.516333	0.507042	0.305302	0.381091	0.26138	0.779559	0.0	0.0	0.9556	0.243795	0.233019
167BZ_SP_M1	0.971048	1.0	0.0	0.0	0.00578505	0.974314	0.967783	0.00512402	0.00645054	0.907209	0.887951	0.934257	0.0169639	0.024723	0.951221	0.0240557	0.970326	0.0108425	0.00631927	0.981168	0.0125125	0.0	0.0229761	0.0	0.49347	0.508484	0.264177	32151049.0	444159.0	0.0	27577586.0	26572712.0	4733761384.0	4702029256.0	62286334.0	61868806.0	24255879.0	30330637.0	26866596.0	27490055.0	115992860.0	0.0	110243741.0	3069485.0	118099018.0	2986637.0	2106158.0	14885837.0	13911399.0	0.0	124155140.0	124155140.0	54586516.0	124130548.0	0.0	0.0	124155140.0	2852599.0	9435790640.0	61443915.0	160007873.0	127856824.0	0.0	76.0	22680.0	0.0	6582.0	0.55497	0.575	0.305198	0.378343	0.314286	0.825	0.0	0.0	0.934691	0.233719	0.223013
