Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
1179-1	86633710.0	152.0	76969620.0	88.84	145.27	37919894.0	37918549.0	37494639.0	391372.0	21885.0	11998.0	0.81	0.01	1.49	0.0	1.38	6131195.0	7.08	12009.0	0.01	0.24	2.71	0.03	283561	3201880	35445
1211-1	182985118.0	152.0	149232351.0	81.55	145.62	67371318.0	67366901.0	66686574.0	621603.0	44443.0	18698.0	0.81	0.01	1.42	0.0	1.35	24140380.0	13.19	82139.0	0.04	0.28	4.0	0.24	590369	8433848	506031
1258-1	199256021.0	152.0	172635677.0	86.64	146.69	94940477.0	94937170.0	93937637.0	926248.0	50025.0	26567.0	0.76	0.01	1.45	0.0	1.37	18295653.0	9.18	56122.0	0.03	0.25	3.14	0.06	599172	7525596	143801
126BG_CB_M1	56400330.0	152.0	46728578.0	82.85	148.53	25122256.0	25121513.0	24865502.0	235375.0	13790.0	7589.0	1.08	0.01	1.38	0.0	1.37	6919862.0	12.27	40362.0	0.07	0.69	3.44	0.09	443354	2210345	57829
146BO_JB_M1	52002871.0	152.0	45201499.0	86.92	148.54	25761398.0	25761059.0	25531439.0	209279.0	13066.0	7614.0	1.08	0.01	1.38	0.0	1.47	4689201.0	9.02	20249.0	0.04	0.72	2.7	0.02	437844	1641916	12162
149BP_AB_M1	123214813.0	152.0	107326495.0	87.11	150.43	62515082.0	62513585.0	61822699.0	645188.0	29066.0	18129.0	0.45	0.01	1.35	0.0	1.39	12750153.0	10.35	107236.0	0.09	0.15	1.53	0.26	234350	2390372	406207
153BR_JB_M1	62068642.0	152.0	54141206.0	87.23	148.81	32553339.0	32552794.0	32222713.0	298480.0	22140.0	10006.0	0.99	0.01	1.39	0.0	1.37	5326818.0	8.58	22789.0	0.04	0.63	2.81	0.11	457474	2040479	79876
163BV_JE_M1	54207878.0	152.0	46883471.0	86.49	148.59	26253652.0	26253133.0	25979395.0	253825.0	12146.0	8286.0	1.05	0.01	1.41	0.0	1.41	5017228.0	9.26	20712.0	0.04	0.69	2.79	0.05	446930	1807151	32386
164BW_KC_M1	62303748.0	152.0	54435494.0	87.37	148.74	31675916.0	31675373.0	31355217.0	300377.0	12535.0	7787.0	1.02	0.01	1.33	0.0	1.41	5462368.0	8.77	14079.0	0.02	0.68	2.53	0.03	501984	1867676	22146
167BZ_SP_M1	63839314.0	152.0	56472442.0	88.46	149.57	29291476.0	29290662.0	28993512.0	275730.0	13751.0	8483.0	0.55	0.01	1.37	0.0	1.38	5699510.0	8.93	5689.0	0.01	0.2	1.7	0.03	172194	1463650	25829
193CP_LS	126132688.0	202.0	115553553.0	91.61	200.65	96372075.0	96371345.0	95207587.0	1067823.0	44938.0	51727.0	0.19	0.01	1.61	0.01	1.53	7679668.0	6.09	13260.0	0.01	0.01	0.33	0.08	68719	2267734	549754
204H_AM_M1	60547315.0	152.0	51910804.0	85.74	148.77	26031104.0	26030119.0	25729216.0	281417.0	12560.0	7911.0	1.04	0.01	1.38	0.0	1.36	6245442.0	10.31	11114.0	0.02	0.65	2.65	0.06	460408	1877048	42499
205E_BD_M1	59692537.0	152.0	51011384.0	85.46	148.62	28583274.0	28582718.0	28263744.0	298606.0	12966.0	7958.0	1.04	0.01	1.43	0.0	1.39	6005053.0	10.06	27376.0	0.05	0.69	3.03	0.12	475943	2090009	82773
210DB_BW_M1	50911737.0	152.0	44514445.0	87.43	148.18	22206225.0	22205299.0	22034324.0	159233.0	9843.0	2825.0	1.05	0.01	1.41	0.0	1.54	3933698.0	7.73	25373.0	0.05	0.74	3.28	0.1	437933	1941108	59180
