Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
431-1_A_3	0.853317	20718	0.00216029	90.17	41335282.0	38.47447030691702	49.0	101.0	0.0	101326828.0
431-2_A_2	0.836092	20651	0.00183895	91.34	33734119.0	33.35192491818225	48.0	101.0	0.0	79683636.0
432-3_A_2	0.876711	20269	0.00240145	92.89	35878473.0	34.85933321061462	49.0	101.0	0.0	82294283.0
437-2_A_2	0.874536	21088	0.00338655	93.5	39456345.0	37.29239851924264	48.0	101.0	0.0	89994041.0
437-3_A_2	0.849763	21030	0.00248249	93.01	38618513.0	36.94344549031072	48.0	101.0	0.0	88503194.0
447-3_A_3	0.847294	22453	0.00311141	90.39	46869278.0	39.56782652310743	49.0	101.0	9.090909090909092	113037041.0
B15-25_1_2	0.73993	13601	0.0731069	75.34	7948541.0	89.78111994665626	46.0	101.0	9.090909090909092	27076085.0
B16-47_1_2	0.871409	13910	0.107801	87.36	24137698.0	90.13640413415423	46.0	101.0	9.090909090909092	61947966.0
CLA_388HV_XX_1	0.851032	18717	0.0184977	89.68	7455927.0	32.69473314420412	49.0	76.0	9.090909090909092	17660348.0
CLA_62R_CaM_2	0.890562	8766	0.0263053	90.86	407720.0	24.582360795106737	50.0	76.0	0.0	927594.0
MAN_0063_01_02	0.862561	14504	0.0104899	92.02	1600202.0	27.462852429736685	50.0	101.0	0.0	3754521.0
MAN_0063_01_03	0.702633	7799	0.0558546	75.58	262809.0	55.155455344329376	48.0	101.0	9.090909090909092	898628.0
MUN_FAM1_CTRL_01	0.892355	21711	0.0221521	91.85	44410106.0	74.13027797951271	48.0	101.0	9.090909090909092	101635135.0
MUN_FAM1_CTRL_02	0.923895	17274	0.0218217	90.75	24312084.0	74.32723668509155	50.0	101.0	9.090909090909092	57732901.0
MUN_FAM1_CTRL_03	0.886146	21134	0.0237923	93.25	36566571.0	64.89266975066262	47.0	101.0	9.090909090909092	82282571.0
MUN_FAM1_CTRL_04	0.905347	17880	0.0461294	88.05	34251595.0	76.89181341817331	51.0	101.0	9.090909090909092	85536429.0
MUN_FAM2_TOTALMDC1A1_02	0.847027	24933	0.0182203	93.31	50040317.0	78.45538755303924	48.0	101.0	9.090909090909092	113511407.0
MUN_FAM2_TOTALMDC1A1_03	0.87598	22824	0.0183696	88.78	41027811.0	62.67155933198196	49.0	101.0	9.090909090909092	100875500.0
MUN_FAM2_TOTALMDC1A1_04	0.814429	19902	0.0210575	92.31	11758513.0	54.055089907999985	47.0	101.0	9.090909090909092	27647538.0
MUN_FAM2_TOTALMDC1A1_05	0.909607	22749	0.0197781	93.51	39946028.0	67.91119736589374	48.0	101.0	9.090909090909092	89932926.0
MUN_FAM3_PARTIALMDC1A1_01	0.887569	24896	0.0245575	94.02	129908861.0	87.53359986292843	48.0	101.0	9.090909090909092	291359316.0
