Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA Rate	Chimeric Alignment Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads excluded from exon counts	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
431-1_A_3	0.98153	1	0	0	0.00617808	0.983361	0.979699	0.00726559	0.00508651	0.853317	0.893639	0.869374	0.0735577	0.0224921	0.942932	0.0345763	0.892383	0.0700132	0.0128165	0.962396	0.0247873	0	0.00216029	0	0.01086	0.989671	0.44928	19951026	558058	0	39274749	409041	4553998292	4537038069	45089092	44921169	33087467	23077705	431207	39193394	78252571	0	80436647	2024517	84873519	3112225	6620948	8823062	9573614	0	90010261	90010261	56165172	90010185	0	0	90010261	194448	9091036361	44724165	111655045	91704019	0	101	20718	0	8350	0.398385	0.333333	0.306345	0.354479	0.12357	0.642857	0	0	0.922841	0.192575	0.194441
431-2_A_2	0.982121	1	0	0	0.00596182	0.983235	0.981007	0.00716682	0.00475408	0.836092	0.903684	0.851313	0.0920758	0.0267893	0.943388	0.0298222	0.871007	0.0879724	0.0162916	0.95898	0.0247287	0	0.00183895	0	0.0121506	0.988097	0.419302	13581743	587532	0	31350916	377271	3668894488	3660580370	36325688	36243370	26294304	17402706	385617	31317320	61778960	0	65579477	1944076	68460813	2164169	6681853	6156276	6989581	0	72569058	72569058	43697010	72568941	0	0	72569058	133451	7329474858	36018519	87471900	73890157	0	101	20651	0	7700	0.408563	0.343023	0.305017	0.360306	0.135417	0.660377	0	0	0.911567	0.195323	0.19578
432-3_A_2	0.98552	1	0	0	0.00521465	0.986607	0.984434	0.00633135	0.00409549	0.876711	0.919097	0.889592	0.0645382	0.0202459	0.95413	0.0256243	0.906088	0.0601106	0.0128886	0.966199	0.0209128	0	0.00240145	0	0.00979745	0.990608	0.448419	10537159	562327	0	33051159	312925	3849491376	3841010709	38113776	38029809	24372479	15730802	327021	33004208	67736697	0	69983307	1541594	72650865	1951126	4914168	5254519	6160278	0	76143585	76143585	40103281	76143439	0	0	76143585	182855	7690502085	37829923	87799473	77262314	0	101	20269	0	8096	0.399709	0.333333	0.303953	0.353	0.129032	0.637931	0	0	0.907312	0.187763	0.186496
437-2_A_2	0.987096	1	0	0	0.00552378	0.988764	0.985428	0.00644767	0.00459676	0.874536	0.92328	0.885968	0.066553	0.0214531	0.952521	0.0260261	0.902162	0.0622578	0.0140135	0.96442	0.0215666	0	0.00338655	0	0.0106114	0.98982	0.427797	11495496	364018	0	35995859	369942	4215257725	4201033693	41735225	41594393	27178605	19311134	386062	35970127	73827364	0	76936574	1787680	79373196	2168742	5545832	5470587	6393044	0	83329618	83329618	46489739	83329456	0	0	83329618	282200	8416291418	41419751	95914435	84418939	0	101	21088	0	8700	0.417684	0.367347	0.304714	0.368727	0.145299	0.666667	0	0	0.895644	0.18993	0.188369
437-3_A_2	0.985698	1	0	0	0.00524783	0.987969	0.983427	0.00558895	0.00490513	0.849763	0.920778	0.862093	0.0846523	0.0211854	0.946746	0.0320691	0.876214	0.0822735	0.0161515	0.958487	0.0253614	0	0.00248249	0	0.0102654	0.989941	0.431477	9954995	523995	0	35599981	360508	4144304619	4125251676	41032719	40844076	23162324	20234914	369240	35478573	70585425	0	75390320	1734590	77516488	2625717	6931063	5634003	6486475	0	81876795	81876795	43397238	81876714	0	0	81876795	203258	8269556295	40684077	93019817	83064822	0	101	21030	0	8427	0.410803	0.351351	0.303591	0.357664	0.140152	0.66055	0	0	0.90182	0.19411	0.194792
447-3_A_3	0.980671	1	0	0	0.00439189	0.982265	0.979077	0.0041995	0.0045849	0.847294	0.900312	0.863995	0.0737639	0.0326166	0.937759	0.0296246	0.896929	0.063789	0.01496	0.960718	0.0243217	0	0.00311141	0	0.0114014	0.988666	0.417272	25615993	99901	0	43580807	497939	5145541455	5128842115	50945955	50780615	21608695	23515227	502612	43435433	87891239	0	91585618	3317976	95394990	3013604	7503751	9940130	10140952	0	101726570	101726570	45123922	101724220	0	0	101726570	316513	10274383570	50513868	129347631	103731638	0	101	22453	0	9256	0.39455	0.333333	0.297818	0.339494	0.134328	0.625	0	0	0.907868	0.19033	0.18871
B15-25_1_2	0.806735	1	0	0	0.00501351	0.807644	0.805827	0.00414832	0.00588065	0.73993	0.912254	0.917191	0.0224103	0.0172386	0.939601	0.0431604	0.937873	0.0157741	0.0082574	0.953647	0.0380956	0	0.0731069	0	0.0280837	0.972197	0.0802617	2647711	8248	0	7596503	219391	860719677	858782800	8521977	8502800	3570543	5050197	219502	7671569	15614965	0	15530922	293484	15996496	734797	381531	5240743	1493855	0	17024777	17024777	8620740	17022519	0	0	17024777	1244628	1719502477	8449681	23751010	21103299	0	101	13601	0	707	0.622857	0.653061	0.304643	0.392847	0.384615	0.917808	0	0	2.59221	0.970582	0.867383
B16-47_1_2	0.938033	1	0	0	0.00477808	0.938975	0.93709	0.00378645	0.00577171	0.871409	0.912101	0.928975	0.0165693	0.0107158	0.945545	0.0437396	0.945926	0.0127199	0.0063541	0.958646	0.0349996	0	0.107801	0	0.0209691	0.979612	0.0785949	5757420	47366	0	23588019	496199	2620639425	2615377325	25946925	25894825	9922908	15095205	505213	23841777	48159703	0	47284928	555528	49018686	2267536	858983	7021108	4556822	0	51841750	51841750	25018113	51837999	0	0	51841750	5588618	5236016750	25732983	61023886	55266466	0	101	13910	0	1678	0.714628	0.821918	0.282341	0.230175	0.529412	0.945205	0	0	2.84442	1.04083	0.975597
CLA_388HV_XX_1	0.978266	1	0	0	0.00411313	0.982999	0.973532	0.00328915	0.00494512	0.851032	0.897585	0.86994	0.0631259	0.0499711	0.933066	0.0169633	0.912	0.0567146	0.0161385	0.968715	0.015147	0	0.0184977	0	0.506024	0.501466	0.222773	5729263	14899	0	3348488	3342636	622465460	616470884	8190335	8111459	2047381	3048522	3430152	3362290	14181577	0	14632244	814619	15210643	276532	1029066	1716627	1669550	0	16301794	16301794	5095903	16299124	0	0	16301794	301546	1238936344	8070767	22393240	16663977	0	76	18717	0	1597	0.603859	0.653333	0.305311	0.357905	0.388158	0.877358	0	0	1.21062	0.456702	0.41776
CLA_62R_CaM_2	0.949633	1	0	0	0.00439617	0.956236	0.94303	0.00361632	0.00518695	0.890562	0.929721	0.937796	0.0312637	0.0157689	0.96906	0.0151715	0.951239	0.0270011	0.00850439	0.97824	0.0132555	0	0.0263053	0	0.499035	0.503982	0.272464	90737	1287	0	188129	183657	32666396	32215260	429821	423885	118132	167099	187404	186606	800602	0	793708	13462	827292	12952	26690	85852	59998	0	853706	853706	285231	853379	0	0	853706	22457	64881656	421122	989722	898985	0	76	8766	0	119	0.63553	0.623188	0.302792	0.393928	0.440476	0.944444	0	0	2.65184	1.04504	0.879653
MAN_0063_01_02	0.956796	1	0	0	0.00535264	0.958347	0.955246	0.00607246	0.00463049	0.862561	0.933184	0.90151	0.0554502	0.0200146	0.95696	0.0230254	0.915629	0.050771	0.0133146	0.9664	0.0202857	0	0.0104899	0	0.0188235	0.981867	0.312279	347099	13154	0	1379072	25512	168368111	167823317	1667011	1661617	1022409	777104	26457	1381425	3000791	0	3106223	66621	3185364	76643	184573	281681	222405	0	3328628	3328628	1799513	3323068	0	0	3328628	34917	336191428	1651421	3826029	3478930	0	101	14504	0	506	0.629035	0.711111	0.310743	0.343587	0.38961	0.909091	0	0	1.6465	0.65679	0.58265
MAN_0063_01_03	0.843903	1	0	0	0.00634012	0.847716	0.840091	0.00675585	0.00592061	0.702633	0.859144	0.8326	0.0798826	0.0466216	0.912482	0.0408961	0.878573	0.0661243	0.0177619	0.944698	0.0375403	0	0.0558546	0	0.0453354	0.956025	0.161005	235184	265	0	243934	11243	29778638	29510786	294838	292186	201180	174722	11584	244426	488756	0	504338	27368	535649	24007	46893	174238	82686	0	587024	587024	375902	564545	0	0	587024	32788	59289424	289911	930790	695606	0	101	7799	0	59	0.644282	0.629874	0.308843	0.457977	0.368535	1	0	0	3.35504	1.2196	1.05421
MUN_FAM1_CTRL_01	0.990354	1	0	0	0.00210229	0.992578	0.988129	0.00199428	0.0022108	0.892355	0.91834	0.901047	0.0594379	0.0176162	0.960485	0.0218988	0.91344	0.0565852	0.0111335	0.970025	0.018841	0	0.0221521	0	0.0152998	0.985253	0.386717	11843542	2144615	0	40375374	604264	4848376225	4826644964	48003725	47788564	9669005	10670738	627333	40370615	86313359	0	87969899	1687499	92007050	2097740	5693691	5960254	7822390	0	95792289	95792289	20339743	95789851	0	0	95792289	2122003	9675021189	47596337	108568851	96725309	0	101	21711	0	6644	0.470989	0.454545	0.302312	0.383203	0.202873	0.722222	0	0	0.917019	0.253361	0.238577
MUN_FAM1_CTRL_02	0.983531	1	0	0	0.00197881	0.984405	0.982656	0.00185331	0.00210453	0.923895	0.917235	0.939366	0.0213481	0.0221111	0.960714	0.0171753	0.9698	0.0102244	0.00528757	0.980024	0.0146884	0	0.0218217	0	0.0131294	0.987737	0.423247	12978783	424684	0	22979932	285847	2664100331	2659367976	26377231	26330376	4937401	5596713	305726	23024735	49511708	0	48345265	1165425	50636913	905269	1125205	4574498	4362342	0	52707607	52707607	10534114	52702668	0	0	52707607	1150168	5323468307	26263729	66568989	53590206	0	101	17274	0	3898	0.440806	0.390244	0.302531	0.358502	0.178571	0.68	0	0	1.15837	0.371812	0.357118
MUN_FAM1_CTRL_03	0.989485	1	0	0	0.00207442	0.990714	0.988255	0.00200947	0.00213953	0.886146	0.935782	0.895563	0.0654788	0.0173399	0.961042	0.0216181	0.904844	0.0633418	0.0126999	0.968185	0.0191147	0	0.0237923	0	0.0167694	0.984013	0.389486	7698960	1186176	0	32855325	534816	3924724761	3914983311	38858661	38762211	7886630	8376242	560361	32918836	69514396	0	72636198	1345935	74596918	1678019	5082522	4197905	4984674	0	77620872	77620872	16262872	77616146	0	0	77620872	1846779	7839708072	38656494	86144708	78445748	0	101	21134	0	5968	0.475034	0.456311	0.302163	0.38647	0.207792	0.732558	0	0	0.942808	0.273498	0.256453
MUN_FAM1_CTRL_04	0.986531	1	0	0	0.00215455	0.987923	0.985138	0.00192112	0.00238865	0.905347	0.885366	0.917708	0.0291189	0.0348387	0.946827	0.0183341	0.973415	0.00788288	0.00450303	0.981298	0.0141992	0	0.0461294	0	0.0129583	0.987709	0.444962	31772315	637431	0	32966870	410772	3881975400	3871032757	38435400	38327057	7457726	9246525	432803	33010461	70445537	0	67962849	2674307	72680779	1407371	2235242	8788664	8799608	0	76762457	76762457	16704251	76747468	0	0	76762457	3541008	7753008157	38198454	109582812	77810497	0	101	17880	0	4270	0.432985	0.380952	0.312017	0.379475	0.153374	0.695	0	0	1.08046	0.326441	0.316775
MUN_FAM2_TOTALMDC1A1_02	0.987349	1	0	0	0.00244301	0.989017	0.985682	0.00223361	0.00265311	0.847027	0.937224	0.857879	0.0937906	0.0204892	0.95167	0.0278409	0.866398	0.0921473	0.0159642	0.958545	0.0254907	0	0.0182203	0	0.0161417	0.983989	0.33398	10282890	1008062	0	44803747	729154	5357945768	5339882322	53048968	52870122	11967566	14167291	735072	44812507	90865787	0	99269921	2170200	100800003	2948887	9934216	6312360	6649169	0	105919090	105919090	26134857	105869462	0	0	105919090	1929873	10697828090	52754242	117559086	107276196	0	101	24933	0	9442	0.495164	0.493697	0.29145	0.361306	0.25	0.738462	0	0	0.840443	0.23407	0.215522
MUN_FAM2_TOTALMDC1A1_03	0.986782	1	0	0	0.00215089	0.98882	0.984743	0.00208741	0.00221464	0.87598	0.891676	0.887714	0.0520249	0.0425526	0.939739	0.0177082	0.938883	0.0339333	0.0114698	0.972816	0.0157143	0	0.0183696	0	0.0155804	0.984914	0.390213	36340827	1139167	0	37722279	578273	4616372660	4597342038	45706660	45518238	9636262	10181458	597032	37754281	80981642	0	81343033	3881860	85727607	1615431	4745965	9404394	9881865	0	91224898	91224898	19817720	91152411	0	0	91224898	1675762	9213714698	45381144	128787723	92446896	0	101	22824	0	8308	0.47647	0.46	0.29836	0.377004	0.217391	0.727273	0	0	0.882503	0.239436	0.221499
MUN_FAM2_TOTALMDC1A1_04	0.964774	1	0	0	0.0023232	0.966555	0.962992	0.00228753	0.002359	0.814429	0.948698	0.844166	0.107049	0.0214113	0.951215	0.0273735	0.852299	0.10504	0.016849	0.957339	0.0258119	0	0.0210575	0	0.0165531	0.983606	0.280393	2071946	102661	0	10555898	175753	1243811667	1239226671	12314967	12269571	2845255	2923334	177674	10544539	20753425	0	23323298	526387	23385186	672965	2631761	1889886	1261240	0	24584538	24584538	5768589	24575714	0	0	24584538	517690	2483038338	12250182	27554128	25482182	0	101	19902	0	2983	0.467577	0.444444	0.29727	0.369646	0.206897	0.714286	0	0	0.997035	0.333333	0.293007
MUN_FAM2_TOTALMDC1A1_05	0.989826	1	0	0	0.00202518	0.991086	0.988566	0.00201681	0.00203358	0.909607	0.938423	0.918956	0.0437128	0.017087	0.962669	0.0202444	0.929458	0.0409452	0.0121874	0.970403	0.0174091	0	0.0197781	0	0.0161272	0.984513	0.374051	8508504	882731	0	35335557	558341	4277041344	4266164856	42346944	42239256	8625977	8675578	579205	35492887	77730981	0	79377602	1445321	81428483	1712396	3697502	4750810	5208598	0	84586200	84586200	17301555	84521614	0	0	84586200	1672953	8543206200	42148439	93964112	85455608	0	101	22749	0	8003	0.546281	0.571429	0.295312	0.365836	0.298851	0.8	0	0	0.938137	0.269312	0.250031
