Module	Section	Sample Name	Source
STAR	SummaryLog	MUN_FAM2_TOTALMDC1A1_03	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM2_TOTALMDC1A1_03.Log.final.out
STAR	SummaryLog	WAL_OTH2405f-Dec19	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2405f-Dec19.Log.final.out
STAR	SummaryLog	NH12-843_MyoD_Day5	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/NH12-843_MyoD_Day5.Log.final.out
STAR	SummaryLog	MUN_FAM5_SIBLINGMDC1A_01_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM5_SIBLINGMDC1A_01_R1.Log.final.out
STAR	SummaryLog	WAL_OTH2405f-Feb20C	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2405f-Feb20C.Log.final.out
STAR	SummaryLog	MUN_FAM5_SIBLINGMDC1A_01_R2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM5_SIBLINGMDC1A_01_R2.Log.final.out
STAR	SummaryLog	MUN_FAM3_PARTIALMDC1A1_03	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM3_PARTIALMDC1A1_03.Log.final.out
STAR	SummaryLog	MUN_FAM2_TOTALMDC1A1_04	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM2_TOTALMDC1A1_04.Log.final.out
STAR	SummaryLog	WAL_OTH2407d-Feb20B	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2407d-Feb20B.Log.final.out
STAR	SummaryLog	B16-47_1_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/B16-47_1_2.Log.final.out
STAR	SummaryLog	MUN_FAM1_CTRL_02	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM1_CTRL_02.Log.final.out
STAR	SummaryLog	431-1_A_3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/431-1_A_3.Log.final.out
STAR	SummaryLog	MUN_FAM4_ATYPICALMDC1A_01_R3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM4_ATYPICALMDC1A_01_R3.Log.final.out
STAR	SummaryLog	WAL_OTH2419f-Dec19	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2419f-Dec19.Log.final.out
STAR	SummaryLog	MUN_FAM1_CTRL_01	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM1_CTRL_01.Log.final.out
STAR	SummaryLog	MAN_0063_01_02	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MAN_0063_01_02.Log.final.out
STAR	SummaryLog	WAL_OTH2407d-Feb20A	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2407d-Feb20A.Log.final.out
STAR	SummaryLog	MUN_FAM1_CTRL_04	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM1_CTRL_04.Log.final.out
STAR	SummaryLog	MUN_FAM4_ATYPICALMDC1A_01_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM4_ATYPICALMDC1A_01_R1.Log.final.out
STAR	SummaryLog	447-3_A_3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/447-3_A_3.Log.final.out
STAR	SummaryLog	MAN_0063_01_03	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MAN_0063_01_03.Log.final.out
STAR	SummaryLog	B15-25_1_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/B15-25_1_2.Log.final.out
STAR	SummaryLog	WAL_OTH2407d-Dec19	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2407d-Dec19.Log.final.out
STAR	SummaryLog	CLA_388HV_XX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/CLA_388HV_XX_1.Log.final.out
STAR	SummaryLog	MUN_FAM4_ATYPICALMDC1A_01_R2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM4_ATYPICALMDC1A_01_R2.Log.final.out
STAR	SummaryLog	MUN_FAM1_CTRL_03	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM1_CTRL_03.Log.final.out
STAR	SummaryLog	WAL_OTH2419f-Feb20A	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2419f-Feb20A.Log.final.out
STAR	SummaryLog	MUN_FAM3_PARTIALMDC1A1_02	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM3_PARTIALMDC1A1_02.Log.final.out
STAR	SummaryLog	437-3_A_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/437-3_A_2.Log.final.out
STAR	SummaryLog	MUN_FAM5_SIBLINGMDC1A_01_R3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM5_SIBLINGMDC1A_01_R3.Log.final.out
STAR	SummaryLog	T757	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/T757.Log.final.out
STAR	SummaryLog	MUN_FAM2_TOTALMDC1A1_05	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM2_TOTALMDC1A1_05.Log.final.out
STAR	SummaryLog	431-2_A_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/431-2_A_2.Log.final.out
STAR	SummaryLog	WAL_OTH2406d-Feb20B	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2406d-Feb20B.Log.final.out
STAR	SummaryLog	437-2_A_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/437-2_A_2.Log.final.out
STAR	SummaryLog	432-3_A_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/432-3_A_2.Log.final.out
STAR	SummaryLog	WAL_OTH2406d-Feb20A	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2406d-Feb20A.Log.final.out
STAR	SummaryLog	MUN_FAM2_TOTALMDC1A1_02	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM2_TOTALMDC1A1_02.Log.final.out
STAR	SummaryLog	MUN_FAM3_PARTIALMDC1A1_01	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM3_PARTIALMDC1A1_01.Log.final.out
STAR	SummaryLog	WAL_OTH2419f-Feb20B	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2419f-Feb20B.Log.final.out
STAR	SummaryLog	CLA_62R_CaM_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/CLA_62R_CaM_2.Log.final.out
STAR	SummaryLog	WAL_OTH2405f-Feb20A	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2405f-Feb20A.Log.final.out
STAR	SummaryLog	MUN_FAM3_PARTIALMDC1A1_05	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/MUN_FAM3_PARTIALMDC1A1_05.Log.final.out
STAR	SummaryLog	WAL_OTH2406d-Dec19	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/WAL_OTH2406d-Dec19.Log.final.out
STAR	ReadsPerGene	447-3_A_3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/447-3_A_3.ReadsPerGene.out.tab
STAR	ReadsPerGene	WAL_OTH2405f-Feb20C	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/WAL_OTH2405f-Feb20C.ReadsPerGene.out.tab
STAR	ReadsPerGene	MAN_0063_01_02	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MAN_0063_01_02.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM3_PARTIALMDC1A1_01	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM3_PARTIALMDC1A1_01.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM2_TOTALMDC1A1_04	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM2_TOTALMDC1A1_04.ReadsPerGene.out.tab
STAR	ReadsPerGene	432-3_A_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/432-3_A_2.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM1_CTRL_04	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM1_CTRL_04.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM1_CTRL_01	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM1_CTRL_01.ReadsPerGene.out.tab
STAR	ReadsPerGene	B16-47_1_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/B16-47_1_2.ReadsPerGene.out.tab
STAR	ReadsPerGene	WAL_OTH2407d-Feb20B	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/WAL_OTH2407d-Feb20B.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM4_ATYPICALMDC1A_01_R3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM4_ATYPICALMDC1A_01_R3.ReadsPerGene.out.tab
STAR	ReadsPerGene	WAL_OTH2419f-Feb20A	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/WAL_OTH2419f-Feb20A.ReadsPerGene.out.tab
STAR	ReadsPerGene	431-1_A_3	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/431-1_A_3.ReadsPerGene.out.tab
STAR	ReadsPerGene	WAL_OTH2406d-Feb20A	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/WAL_OTH2406d-Feb20A.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM5_SIBLINGMDC1A_01_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM5_SIBLINGMDC1A_01_R1.ReadsPerGene.out.tab
STAR	ReadsPerGene	MAN_0063_01_03	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MAN_0063_01_03.ReadsPerGene.out.tab
STAR	ReadsPerGene	CLA_388HV_XX_1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/CLA_388HV_XX_1.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM3_PARTIALMDC1A1_05	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM3_PARTIALMDC1A1_05.ReadsPerGene.out.tab
STAR	ReadsPerGene	T757	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/T757.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM2_TOTALMDC1A1_05	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM2_TOTALMDC1A1_05.ReadsPerGene.out.tab
STAR	ReadsPerGene	CLA_62R_CaM_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/CLA_62R_CaM_2.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM4_ATYPICALMDC1A_01_R2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM4_ATYPICALMDC1A_01_R2.ReadsPerGene.out.tab
STAR	ReadsPerGene	WAL_OTH2406d-Dec19	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/WAL_OTH2406d-Dec19.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM4_ATYPICALMDC1A_01_R1	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM4_ATYPICALMDC1A_01_R1.ReadsPerGene.out.tab
STAR	ReadsPerGene	437-2_A_2	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/437-2_A_2.ReadsPerGene.out.tab
STAR	ReadsPerGene	NH12-843_MyoD_Day5	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/NH12-843_MyoD_Day5.ReadsPerGene.out.tab
STAR	ReadsPerGene	WAL_OTH2419f-Dec19	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/WAL_OTH2419f-Dec19.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM3_PARTIALMDC1A1_03	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM3_PARTIALMDC1A1_03.ReadsPerGene.out.tab
STAR	ReadsPerGene	WAL_OTH2405f-Feb20A	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/WAL_OTH2405f-Feb20A.ReadsPerGene.out.tab
STAR	ReadsPerGene	MUN_FAM2_TOTALMDC1A1_03	/Users/weisburd/project__rnaseq/code/rnaseq_methods/pipelines/multiqc/data/x/star/genecounts/MUN_FAM2_TOTALMDC1A1_03.ReadsPerGene.out.tab
