Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
431-1_A_3	45839708.0	202.0	41335282.0	90.17	199.53	36529153.0	36520564.0	36208753.0	252559.0	30945.0	36896.0	0.54	0.01	1.81	0.01	1.58	3623198.0	7.9	14448.0	0.03	0.15	0.49	0.55	109258	356909	400613
431-2_A_2	36933448.0	202.0	33734119.0	91.34	199.39	27839506.0	27839222.0	27582318.0	215362.0	26275.0	15551.0	0.54	0.01	1.73	0.01	1.56	2470917.0	6.69	14205.0	0.04	0.11	0.52	0.41	75541	357104	281562
432-3_A_2	38623295.0	202.0	35878473.0	92.89	199.63	31741533.0	31741319.0	31448562.0	245558.0	29516.0	17897.0	0.49	0.01	1.71	0.0	1.47	2115202.0	5.48	8702.0	0.02	0.12	0.6	0.08	93138	465688	62092
437-2_A_2	42200591.0	202.0	39456345.0	93.5	199.6	33291200.0	33290908.0	32998070.0	247923.0	31723.0	13484.0	0.52	0.01	1.63	0.0	1.49	2227955.0	5.28	11850.0	0.03	0.11	0.5	0.06	82819	376449	45174
437-3_A_2	41522194.0	202.0	38618513.0	93.01	199.57	32639629.0	32636470.0	32351536.0	245386.0	29597.0	13110.0	0.47	0.01	1.73	0.0	1.46	2270232.0	5.47	10286.0	0.02	0.19	0.48	0.12	149875	378631	94658
447-3_A_3	51850481.0	202.0	46869278.0	90.39	198.91	39404097.0	39402417.0	39042317.0	312617.0	34404.0	14759.0	0.4	0.01	1.99	0.01	1.5	4073737.0	7.86	12299.0	0.02	0.17	0.91	0.16	122725	656937	115505
B15-25_1_2	10550169.0	202.0	7948541.0	75.34	199.49	1164167.0	1164142.0	1150915.0	10520.0	2454.0	278.0	0.37	0.01	1.24	0.0	1.29	597671.0	5.67	608.0	0.01	0.15	18.56	0.01	16052	1986226	1070
B16-47_1_2	27628704.0	202.0	24137698.0	87.36	199.54	3121761.0	3121742.0	3047659.0	70278.0	3480.0	344.0	0.35	0.01	1.11	0.0	1.22	1858349.0	6.73	437.0	0.0	0.1	5.41	0.0	29623	1602597	0
CLA_388HV_XX_1	8313999.0	152.0	7455927.0	89.68	149.68	3385584.0	3385518.0	3358244.0	24736.0	1679.0	925.0	0.39	0.01	1.48	0.0	1.43	688463.0	8.28	1958.0	0.02	0.08	1.1	0.04	10994	151161	5497
CLA_62R_CaM_2	448750.0	152.0	407720.0	90.86	149.08	220412.0	220411.0	218985.0	1289.0	93.0	45.0	0.42	0.01	1.38	0.0	1.4	20940.0	4.67	211.0	0.05	0.16	3.6	0.01	844	18983	53
MAN_0063_01_02	1738989.0	202.0	1600202.0	92.02	198.89	973004.0	973002.0	967881.0	4338.0	428.0	357.0	0.5	0.01	1.72	0.01	2.12	67316.0	3.87	199.0	0.01	0.22	3.34	0.02	4380	66494	398
MAN_0063_01_03	347731.0	202.0	262809.0	75.58	197.41	80737.0	80729.0	80223.0	436.0	39.0	39.0	0.58	0.01	1.62	0.01	1.77	33477.0	9.63	146.0	0.04	0.57	13.85	0.12	2011	48865	423
MUN_FAM1_CTRL_01	48351290.0	202.0	44410106.0	91.85	200.55	33504302.0	33503975.0	33095375.0	383056.0	15606.0	10265.0	0.19	0.01	1.59	0.01	1.49	2646034.0	5.47	2578.0	0.01	0.01	0.28	0.05	38017	1064471	190084
MUN_FAM1_CTRL_02	26790304.0	202.0	24312084.0	90.75	201.0	20825544.0	20825469.0	20604091.0	206537.0	8234.0	6682.0	0.19	0.0	1.47	0.0	1.49	1887455.0	7.05	5514.0	0.02	0.01	1.23	0.05	4537	558030	22684
MUN_FAM1_CTRL_03	39215304.0	202.0	36566571.0	93.25	200.86	27721232.0	27720975.0	27442144.0	249336.0	12738.0	17014.0	0.19	0.01	1.63	0.01	1.53	1753423.0	4.47	1650.0	0.0	0.01	0.57	0.07	13749	783671	96240
MUN_FAM1_CTRL_04	38899214.0	202.0	34251595.0	88.05	200.81	31410843.0	31410694.0	31078485.0	310871.0	14580.0	6907.0	0.21	0.01	1.48	0.0	1.46	3955554.0	10.17	9955.0	0.03	0.01	0.79	0.04	8120	641508	32481
MUN_FAM2_TOTALMDC1A1_02	53626751.0	202.0	50040317.0	93.31	200.77	32527917.0	32527581.0	32204182.0	295618.0	17395.0	10722.0	0.22	0.01	1.71	0.01	1.55	2550874.0	4.76	4346.0	0.01	0.02	0.79	0.06	23706	936390	71118
MUN_FAM2_TOTALMDC1A1_03	46214218.0	202.0	41027811.0	88.78	200.69	32827267.0	32827026.0	32517536.0	278633.0	17967.0	13131.0	0.2	0.01	1.67	0.01	1.56	4194855.0	9.08	12059.0	0.03	0.01	0.74	0.04	12399	917500	49595
MUN_FAM2_TOTALMDC1A1_04	12738163.0	202.0	11758513.0	92.31	200.7	6390920.0	6390807.0	6325315.0	58413.0	4715.0	2477.0	0.21	0.01	1.82	0.01	1.57	506472.0	3.98	1310.0	0.01	0.02	3.1	0.06	2968	459997	8903
MUN_FAM2_TOTALMDC1A1_05	42719378.0	202.0	39946028.0	93.51	200.91	29107119.0	29106906.0	28844363.0	241029.0	13652.0	8075.0	0.19	0.01	1.59	0.01	1.54	2001261.0	4.68	1936.0	0.0	0.01	0.6	0.06	11495	689689	68969
MUN_FAM3_PARTIALMDC1A1_01	138172974.0	202.0	129908861.0	94.02	200.79	95435220.0	95434430.0	94339745.0	1006423.0	53481.0	35571.0	0.18	0.01	1.61	0.01	1.52	6187333.0	4.48	8411.0	0.01	0.01	0.8	0.08	23240	1859208	185921
MUN_FAM3_PARTIALMDC1A1_02	21016322.0	202.0	19578742.0	93.16	200.76	14814548.0	14814423.0	14673777.0	128804.0	7132.0	4835.0	0.19	0.01	1.66	0.01	1.54	973562.0	4.63	1067.0	0.01	0.01	1.38	0.06	3193	440602	19157
MUN_FAM3_PARTIALMDC1A1_03	38478690.0	202.0	35859079.0	93.19	200.69	20242741.0	20242451.0	20002374.0	220091.0	12995.0	7281.0	0.19	0.01	1.89	0.01	1.53	1642750.0	4.27	3968.0	0.01	0.01	1.02	0.07	8844	902137	61911
MUN_FAM3_PARTIALMDC1A1_05	12972899.0	202.0	11529253.0	88.87	200.8	8784304.0	8784239.0	8697172.0	79338.0	5120.0	2674.0	0.2	0.0	1.53	0.0	1.49	818710.0	6.31	500.0	0.0	0.03	4.34	0.05	4238	613134	7064
MUN_FAM4_ATYPICALMDC1A_01_R1	34328325.0	202.0	32135621.0	93.61	200.77	23395711.0	23395470.0	23186941.0	190054.0	11335.0	7381.0	0.19	0.01	1.7	0.01	1.59	1464133.0	4.27	2468.0	0.01	0.01	0.52	0.08	11903	618973	95227
MUN_FAM4_ATYPICALMDC1A_01_R2	117366126.0	202.0	106831044.0	91.02	200.67	84798475.0	84797752.0	83926922.0	783783.0	53009.0	34761.0	0.17	0.01	1.64	0.01	1.57	8636963.0	7.36	29880.0	0.03	0.01	0.73	0.06	23353	1704768	140118
MUN_FAM4_ATYPICALMDC1A_01_R3	43907967.0	202.0	40305337.0	91.8	200.78	31747073.0	31746845.0	31457698.0	260013.0	18233.0	11129.0	0.19	0.01	1.68	0.01	1.57	2723269.0	6.2	4859.0	0.01	0.01	0.71	0.05	11357	806359	56786
MUN_FAM5_SIBLINGMDC1A_01_R1	33568363.0	202.0	31171165.0	92.86	200.57	24159449.0	24159219.0	23925969.0	213843.0	12878.0	6759.0	0.2	0.01	1.67	0.01	1.56	1645747.0	4.9	2419.0	0.01	0.02	0.61	0.06	21711	662188	65133
MUN_FAM5_SIBLINGMDC1A_01_R2	34314732.0	202.0	32149666.0	93.69	200.82	24772713.0	24772499.0	24525106.0	230052.0	10688.0	6867.0	0.19	0.01	1.64	0.01	1.55	1503223.0	4.38	2244.0	0.01	0.01	0.48	0.06	11993	575650	71956
MUN_FAM5_SIBLINGMDC1A_01_R3	35157958.0	202.0	31856404.0	90.61	200.83	24335721.0	24335505.0	24106833.0	210332.0	11325.0	7231.0	0.18	0.01	1.64	0.01	1.55	1754368.0	4.99	2955.0	0.01	0.02	3.15	0.06	9562	1505984	28685
NH12-843_MyoD_Day5	46398099.0	202.0	42485862.0	91.57	200.0	33458037.0	33457786.0	33157441.0	262697.0	28308.0	9591.0	0.22	0.01	1.77	0.01	1.53	3084181.0	6.65	7621.0	0.02	0.08	1.39	0.07	42620	740522	37292
T757	30783860.0	152.0	28387363.0	92.22	149.26	9666684.0	9666485.0	9563961.0	91205.0	7684.0	3834.0	0.32	0.01	1.57	0.01	1.47	1861413.0	6.05	8112.0	0.03	0.07	0.63	0.06	48537	436832	41603
WAL_OTH2405f-Dec19	69521240.0	202.0	65840734.0	94.71	200.66	42094826.0	42093583.0	41653143.0	377699.0	38058.0	25926.0	0.25	0.01	1.98	0.01	1.54	2967115.0	4.27	3717.0	0.01	0.02	0.27	0.04	43011	580642	86021
WAL_OTH2405f-Feb20A	57670844.0	202.0	53510762.0	92.79	200.32	35686013.0	35685291.0	35322192.0	307091.0	40004.0	16726.0	0.25	0.01	1.96	0.01	1.56	2894112.0	5.02	2551.0	0.0	0.02	1.35	0.05	17795	1201138	44487
WAL_OTH2405f-Feb20C	66505235.0	202.0	61934630.0	93.13	200.49	41268423.0	41267825.0	40826243.0	377358.0	45382.0	19440.0	0.24	0.01	1.96	0.01	1.55	2811977.0	4.23	3244.0	0.0	0.02	1.49	0.07	22220	1655394	77770
WAL_OTH2406d-Dec19	59991679.0	202.0	56477287.0	94.14	200.74	36459990.0	36459210.0	36088430.0	312460.0	40503.0	18597.0	0.23	0.01	1.95	0.01	1.54	2859089.0	4.77	2858.0	0.0	0.01	0.33	0.07	15913	525139	111393
WAL_OTH2406d-Feb20A	62861219.0	202.0	58232659.0	92.64	200.45	37917046.0	37916416.0	37521779.0	335806.0	41163.0	18298.0	0.24	0.01	1.92	0.01	1.55	2805592.0	4.46	2813.0	0.0	0.02	2.15	0.06	16324	1754858	48973
WAL_OTH2406d-Feb20B	63282257.0	202.0	56526618.0	89.32	200.54	37872606.0	37872096.0	37478647.0	335437.0	40899.0	17623.0	0.24	0.01	1.92	0.01	1.55	4588036.0	7.25	4227.0	0.01	0.02	2.72	0.05	15508	2109098	38770
WAL_OTH2407d-Dec19	63786282.0	202.0	60172855.0	94.34	200.54	38449499.0	38448597.0	38053395.0	330888.0	44176.0	21040.0	0.25	0.01	1.97	0.01	1.53	2707183.0	4.24	3464.0	0.01	0.02	0.52	0.06	30093	782409	90278
WAL_OTH2407d-Feb20A	74916006.0	202.0	69405123.0	92.64	200.36	45471470.0	45470866.0	44976693.0	414870.0	56411.0	23496.0	0.24	0.01	1.97	0.01	1.54	3858113.0	5.15	8078.0	0.01	0.02	1.48	0.06	21086	1560349	63257
WAL_OTH2407d-Feb20B	82840560.0	202.0	76750845.0	92.65	200.3	50376620.0	50375620.0	49835508.0	451529.0	63195.0	26388.0	0.22	0.01	1.98	0.01	1.54	4050327.0	4.89	12516.0	0.02	0.02	1.54	0.06	25023	1926780	75069
WAL_OTH2419f-Dec19	63860658.0	202.0	60218366.0	94.3	200.6	38985599.0	38985025.0	38579720.0	341873.0	43498.0	20508.0	0.25	0.01	1.96	0.01	1.55	2942858.0	4.61	3827.0	0.01	0.02	0.34	0.06	33124	563110	99372
WAL_OTH2419f-Feb20A	67279047.0	202.0	62939980.0	93.55	200.44	41473576.0	41473020.0	41021974.0	381854.0	48654.0	21094.0	0.25	0.01	1.94	0.01	1.55	2893636.0	4.3	2965.0	0.0	0.02	1.38	0.06	19760	1363427	59279
WAL_OTH2419f-Feb20B	53516035.0	202.0	49598401.0	92.68	200.22	33388120.0	33387519.0	33040608.0	292356.0	38881.0	16275.0	0.23	0.01	1.95	0.01	1.55	2554120.0	4.77	2481.0	0.0	0.02	1.76	0.09	14557	1280972	65504
