accuracy	model
7.639007698887938513e-01 	gnb
8.229255774165953330e-01 	gnb
8.755346449957228661e-01 	gnb
9.084687767322497942e-01 	gnb
9.208725406330197094e-01 	gnb
9.208725406330197094e-01 	gnb
9.260051325919589349e-01 	gnb
9.332763045337895136e-01 	gnb
9.392643284858853692e-01 	gnb
9.422583404619332414e-01 	gnb
9.529512403763901185e-01 	gnb
9.550898203592814717e-01 	gnb
9.602224123182206972e-01 	gnb
9.679213002566295909e-01 	gnb
9.700598802395209441e-01 	gnb
9.041916167664670878e-01 	knn_7
9.311377245508981604e-01 	knn_7
9.503849443969204502e-01 	knn_7
9.589392643284858631e-01 	knn_7
9.610778443113772163e-01 	knn_7
9.670658682634730718e-01 	knn_7
9.683490162532079060e-01 	knn_7
9.713430282292557782e-01 	knn_7
9.726261762189906124e-01 	knn_7
9.713430282292557782e-01 	knn_7
9.730538922155688164e-01 	knn_7
9.726261762189906124e-01 	knn_7
9.764756201881950037e-01 	knn_7
9.811804961505560252e-01 	knn_7
9.811804961505560252e-01 	knn_7
6.706586826347304964e-01 	lin_svm
8.041060735671513582e-01 	lin_svm
8.712574850299401596e-01 	lin_svm
9.059024807527801260e-01 	lin_svm
9.114627887082976665e-01 	lin_svm
9.242942686056458967e-01 	lin_svm
9.277159965782719730e-01 	lin_svm
9.319931565440547905e-01 	lin_svm
9.371257485029940160e-01 	lin_svm
9.443969204448245947e-01 	lin_svm
9.525235243798118034e-01 	lin_svm
9.555175363558596757e-01 	lin_svm
9.610778443113772163e-01 	lin_svm
9.666381522668947568e-01 	lin_svm
9.683490162532079060e-01 	lin_svm
5.748502994011975842e-01	rbf_svm
7.074422583404619269e-01	rbf_svm
7.664670658682635196e-01	rbf_svm
7.874251497005988476e-01	rbf_svm
7.827202737382378261e-01	rbf_svm
7.510692899914457321e-01	rbf_svm
7.258340461933275867e-01	rbf_svm
6.984602224123181990e-01	rbf_svm
6.582549187339606922e-01	rbf_svm
6.338751069289991769e-01	rbf_svm
6.193327630453379085e-01	rbf_svm
5.859709153122326653e-01	rbf_svm
5.568862275449101285e-01	rbf_svm
5.384944396920444687e-01	rbf_svm
5.273738237810093876e-01	rbf_svm
4.615055603079555313e-01	sig_svm
5.889649272882805375e-01	sig_svm
6.886227544910179521e-01	sig_svm
6.702309666381522923e-01	sig_svm
6.129170230966638488e-01	sig_svm
5.838323353293413120e-01	sig_svm
5.376390076988879496e-01	sig_svm
5.158254918733961025e-01	sig_svm
4.713430282292557782e-01	sig_svm
4.358426005132591818e-01	sig_svm
4.217279726261762285e-01	sig_svm
3.969204448246364536e-01	sig_svm
3.656971770744225636e-01	sig_svm
3.083832335329341201e-01	sig_svm
2.882805816937553667e-01	sig_svm
